Var1,Var2,PIP,trial,df,case
5,10,0,13,3,1
6,10,0,13,3,1
7,10,0,13,3,1
8,10,0,13,3,1
9,10,0,13,3,1
1,2,0,14,3,1
1,3,0,14,3,1
2,3,0,14,3,1
1,4,0,14,3,1
2,4,0,14,3,1
3,4,0,14,3,1
1,5,0,14,3,1
2,5,0,14,3,1
3,5,1.6e-4,14,3,1
4,5,3.1999999999999997e-4,14,3,1
1,6,0,14,3,1
2,6,0,14,3,1
3,6,0,14,3,1
4,6,0,14,3,1
5,6,0,14,3,1
1,7,0,14,3,1
2,7,0,14,3,1
3,7,0,14,3,1
4,7,0,14,3,1
5,7,0,14,3,1
6,7,0,14,3,1
1,8,0,14,3,1
2,8,0,14,3,1
3,8,0,14,3,1
4,8,3.2e-4,14,3,1
5,8,0,14,3,1
6,8,0,14,3,1
7,8,0,14,3,1
1,9,0,14,3,1
2,9,0,14,3,1
3,9,0,14,3,1
4,9,0.0024000000000000002,14,3,1
5,9,0.5,14,3,1
6,9,0,14,3,1
7,9,0,14,3,1
8,9,0,14,3,1
1,10,0,14,3,1
2,10,0,14,3,1
3,10,0.00352,14,3,1
4,10,9.6e-4,14,3,1
5,10,0.00368,14,3,1
6,10,0,14,3,1
7,10,0.008,14,3,1
8,10,0,14,3,1
9,10,0.0012799999999999999,14,3,1
1,2,0,15,4,1
1,3,0,15,4,1
2,3,0,15,4,1
1,4,0,15,4,1
2,4,0,15,4,1
3,4,0,15,4,1
1,5,0,15,4,1
2,5,0,15,4,1
3,5,0,15,4,1
4,5,0,15,4,1
1,6,0,15,4,1
2,6,0,15,4,1
3,6,0,15,4,1
4,6,0,15,4,1
5,6,0,15,4,1
1,7,0,15,4,1
2,7,0,15,4,1
3,7,0,15,4,1
4,7,0,15,4,1
5,7,0,15,4,1
6,7,0,15,4,1
1,8,0,15,4,1
2,8,0,15,4,1
3,8,0,15,4,1
4,8,0,15,4,1
5,8,0,15,4,1
6,8,0,15,4,1
7,8,0,15,4,1
1,9,0,15,4,1
2,9,0,15,4,1
3,9,0,15,4,1
4,9,0,15,4,1
5,9,0,15,4,1
6,9,0,15,4,1
7,9,0,15,4,1
8,9,0,15,4,1
1,10,0,15,4,1
2,10,0,15,4,1
3,10,0,15,4,1
4,10,0,15,4,1
5,10,0,15,4,1
6,10,0,15,4,1
7,10,0,15,4,1
8,10,0,15,4,1
9,10,0,15,4,1
1,2,0,16,2,1
1,3,0,16,2,1
2,3,0,16,2,1
1,4,0,16,2,1
2,4,0,16,2,1
3,4,3.2e-4,16,2,1
1,5,0,16,2,1
2,5,0,16,2,1
3,5,9.6e-4,16,2,1
4,5,0.14656,16,2,1
1,6,0,16,2,1
2,6,0,16,2,1
3,6,4.8e-4,16,2,1
4,6,0.00736,16,2,1
5,6,0.0012799999999999999,16,2,1
1,7,0,16,2,1
2,7,0,16,2,1
3,7,0,16,2,1
4,7,1.5999999999999999e-4,16,2,1
5,7,1.5999999999999999e-4,16,2,1
6,7,0,16,2,1
1,8,0,16,2,1
2,8,0,16,2,1
3,8,0,16,2,1
4,8,0.00384,16,2,1
5,8,8e-4,16,2,1
6,8,0,16,2,1
7,8,1.6e-4,16,2,1
1,9,0,16,2,1
2,9,0.00128,16,2,1
3,9,0.00672,16,2,1
4,9,0.3896,16,2,1
5,9,3.1999999999999997e-4,16,2,1
6,9,0,16,2,1
7,9,0.0012799999999999999,16,2,1
8,9,1.5999999999999999e-4,16,2,1
1,10,0,16,2,1
2,10,1.6e-4,16,2,1
3,10,6.4e-4,16,2,1
4,10,0.0064,16,2,1
5,10,0.00688,16,2,1
6,10,4.8e-4,16,2,1
7,10,6.399999999999999e-4,16,2,1
8,10,1.5999999999999999e-4,16,2,1
9,10,0.0272,16,2,1
1,2,0,17,3,1
1,3,0,17,3,1
2,3,0,17,3,1
1,4,0,17,3,1
2,4,0,17,3,1
3,4,0.0016,17,3,1
1,5,1.6e-4,17,3,1
2,5,0,17,3,1
3,5,0.00128,17,3,1
4,5,0.0016,17,3,1
1,6,0,17,3,1
2,6,0,17,3,1
3,6,0,17,3,1
4,6,0,17,3,1
5,6,0,17,3,1
1,7,0,17,3,1
2,7,0,17,3,1
3,7,0,17,3,1
4,7,0.0024000000000000002,17,3,1
5,7,0,17,3,1
6,7,0,17,3,1
1,8,0,17,3,1
2,8,0,17,3,1
3,8,0,17,3,1
4,8,3.1999999999999997e-4,17,3,1
5,8,0,17,3,1
6,8,0,17,3,1
7,8,0,17,3,1
1,9,1.6e-4,17,3,1
2,9,0,17,3,1
3,9,0,17,3,1
4,9,0,17,3,1
5,9,1,17,3,1
6,9,0,17,3,1
7,9,0,17,3,1
8,9,0,17,3,1
1,10,0,17,3,1
2,10,3.1999999999999997e-4,17,3,1
3,10,3.2e-4,17,3,1
4,10,0.00368,17,3,1
5,10,0.01584,17,3,1
6,10,1.6e-4,17,3,1
7,10,1.5999999999999999e-4,17,3,1
8,10,0,17,3,1
9,10,8e-4,17,3,1
1,2,0,18,4,1
