variable,PIP,trial,df,case
Cd,0.14624,28,3,1
Co,0.0464,28,3,1
Hg,0.99488,28,3,1
Ni,1,28,3,1
Tl,0.07456,28,3,1
Pb,0.61264,28,3,1
Mo,0.16128,28,3,1
Sb,1,28,3,1
Sn,0.95776,28,3,1
As,0.02544,29,3,1
Cd,0.0584,29,3,1
Co,0.0056,29,3,1
Hg,1,29,3,1
Ni,1,29,3,1
Tl,0.01024,29,3,1
Pb,0.06784,29,3,1
Mo,0.05296,29,3,1
Sb,1,29,3,1
Sn,0.54416,29,3,1
As,9.6e-4,2,4,1
Cd,6.4e-4,2,4,1
Co,0.00752,2,4,1
Hg,1,2,4,1
Ni,1,2,4,1
Tl,0.00832,2,4,1
Pb,0.00512,2,4,1
Mo,0.02528,2,4,1
Sb,1,2,4,1
Sn,0.20752,2,4,1
As,0.00576,30,3,1
Cd,0.04864,30,3,1
Co,0.00736,30,3,1
Hg,0.93904,30,3,1
Ni,1,30,3,1
Tl,0.00224,30,3,1
Pb,0.03184,30,3,1
Mo,0.0024,30,3,1
Sb,1,30,3,1
Sn,0.03216,30,3,1
As,0.03456,31,2,1
Cd,0.1056,31,2,1
Co,0.06576,31,2,1
Hg,0.99952,31,2,1
Ni,0.9976,31,2,1
Tl,0.0232,31,2,1
Pb,0.70112,31,2,1
Mo,0.01904,31,2,1
Sb,1,31,2,1
Sn,0.05616,31,2,1
As,0.00928,32,3,1
Cd,0.0488,32,3,1
Co,0.04448,32,3,1
Hg,1,32,3,1
Ni,1,32,3,1
Tl,0.00976,32,3,1
Pb,0.0056,32,3,1
Mo,0.01584,32,3,1
Sb,1,32,3,1
Sn,0.512,32,3,1
As,0.01136,33,3,1
Cd,0.02016,33,3,1
Co,0.01104,33,3,1
Hg,0.99968,33,3,1
Ni,1,33,3,1
Tl,0.07744,33,3,1
Pb,0.12096,33,3,1
Mo,0.00496,33,3,1
Sb,1,33,3,1
Sn,0.82768,33,3,1
As,0.00144,34,4,1
Cd,0.0024,34,4,1
Co,0.016,34,4,1
Hg,1,34,4,1
Ni,1,34,4,1
Tl,8e-4,34,4,1
Pb,0.00944,34,4,1
Mo,0.00384,34,4,1
Sb,1,34,4,1
Sn,0.9992,34,4,1
As,0.00816,35,2,1
Cd,0.01904,35,2,1
Co,0.01168,35,2,1
Hg,1,35,2,1
Ni,0.99984,35,2,1
Tl,0.04448,35,2,1
Pb,0.01648,35,2,1
Mo,0.00992,35,2,1
Sb,1,35,2,1
Sn,0.99824,35,2,1
As,0.41648,36,3,1
Cd,0.03968,36,3,1
Co,0.03184,36,3,1
Hg,1,36,3,1
Ni,1,36,3,1
Tl,0.0064,36,3,1
Pb,0.15776,36,3,1
Mo,0.0104,36,3,1
Sb,1,36,3,1
Sn,0.06784,36,3,1
As,0.02176,37,3,1
Cd,0.01248,37,3,1
Co,0.00864,37,3,1
Hg,1,37,3,1
Ni,1,37,3,1
Tl,0.00992,37,3,1
Pb,0.00944,37,3,1
Mo,0.01568,37,3,1
Sb,1,37,3,1
Sn,0.91888,37,3,1
As,0.0184,38,3,1
Cd,0.00224,38,3,1
Co,0.024,38,3,1
Hg,1,38,3,1
Ni,1,38,3,1
Tl,0.0096,38,3,1
Pb,0.00368,38,3,1
Mo,0.0048,38,3,1
Sb,1,38,3,1
Sn,0.39616,38,3,1
As,0.00784,39,4,1
Cd,0.01328,39,4,1
Co,0.02192,39,4,1
Hg,1,39,4,1
Ni,1,39,4,1
Tl,8e-4,39,4,1
Pb,0.00512,39,4,1
Mo,0.2464,39,4,1
Sb,1,39,4,1
Sn,0.99984,39,4,1
As,0.00304,3,4,1
Cd,0.00176,3,4,1
Co,0.02432,3,4,1
Hg,1,3,4,1
Ni,1,3,4,1
Tl,0.00288,3,4,1
Pb,0.00496,3,4,1
Mo,0.03424,3,4,1
Sb,1,3,4,1
Sn,0.04064,3,4,1
As,0.052,40,2,1
Cd,0.21024,40,2,1
Co,0.08848,40,2,1
Hg,1,40,2,1
Ni,1,40,2,1
Tl,0.03648,40,2,1
Pb,0.07088,40,2,1
Mo,0.46256,40,2,1
Sb,0.99904,40,2,1
Sn,0.97824,40,2,1
As,0.01664,41,3,1
Cd,0.05296,41,3,1
Co,0.00992,41,3,1
Hg,1,41,3,1
Ni,1,41,3,1
Tl,0.014880000000000001,41,3,1
Pb,0.016,41,3,1
Mo,0.01056,41,3,1
Sb,1,41,3,1
Sn,0.96224,41,3,1
As,0.07504,42,3,1
Cd,0.04304,42,3,1
Co,0.028,42,3,1
Hg,1,42,3,1
Ni,1,42,3,1
Tl,0.01504,42,3,1
Pb,0.0328,42,3,1
Mo,0.1024,42,3,1
Sb,1,42,3,1
Sn,0.05312,42,3,1
As,0.00672,43,3,1
Cd,0.00896,43,3,1
Co,0.02416,43,3,1
Hg,0.99808,43,3,1
Ni,1,43,3,1
Tl,0.0128,43,3,1
Pb,0.012,43,3,1
Mo,0.03968,43,3,1
Sb,1,43,3,1
Sn,0.64,43,3,1
As,0.00912,44,3,1
Cd,0.00368,44,3,1
Co,0.02048,44,3,1
Hg,1,44,3,1
Ni,1,44,3,1
Tl,0.0096,44,3,1
Pb,0.0064,44,3,1
Mo,0.02464,44,3,1
Sb,1,44,3,1
Sn,0.98832,44,3,1
As,0.02368,45,3,1
Cd,0.01264,45,3,1
Co,0.04896,45,3,1
Hg,0.99216,45,3,1
Ni,1,45,3,1
Tl,0.07056,45,3,1
Pb,0.06048,45,3,1
Mo,0.06208,45,3,1
Sb,1,45,3,1
Sn,0.05088,45,3,1
As,0.8288,46,3,1
Cd,0.05744,46,3,1
Co,0.01696,46,3,1
Hg,0.99472,46,3,1
Ni,0.99984,46,3,1
Tl,0.01264,46,3,1
Pb,0.01712,46,3,1
Mo,0.0464,46,3,1
Sb,1,46,3,1
Sn,0.11616,46,3,1
As,0.0536,47,3,1
Cd,0.00736,47,3,1
Co,0.01504,47,3,1
Hg,1,47,3,1
Ni,1,47,3,1
Tl,0.04672,47,3,1
Pb,0.02736,47,3,1
Mo,0.02992,47,3,1
Sb,1,47,3,1
Sn,0.01536,47,3,1
As,0.03376,48,3,1
Cd,0.01168,48,3,1
Co,0.01552,48,3,1
Hg,1,48,3,1
Ni,1,48,3,1
Tl,0.04064,48,3,1
Pb,0.00896,48,3,1
Mo,0.01712,48,3,1
Sb,1,48,3,1
Sn,0.99968,48,3,1
As,0.00144,49,4,1
Cd,0.3104,49,4,1
Co,0.00928,49,4,1
Hg,1,49,4,1
Ni,0.99968,49,4,1
Tl,0.00656,49,4,1
Pb,0.00464,49,4,1
Mo,0.02992,49,4,1
Sb,1,49,4,1
Sn,0.95968,49,4,1
As,0.03664,4,3,1
Cd,0.12464,4,3,1
Co,0.17152,4,3,1
Hg,1,4,3,1
Ni,1,4,3,1
Tl,0.01024,4,3,1
Pb,0.02864,4,3,1
Mo,0.04576,4,3,1
Sb,1,4,3,1
Sn,0.8432,4,3,1
As,0.02064,50,3,1
Cd,0.01616,50,3,1
Co,0.029760000000000002,50,3,1
Hg,1,50,3,1
Ni,1,50,3,1
Tl,0.01216,50,3,1
Pb,0.02544,50,3,1
Mo,0.0688,50,3,1
Sb,1,50,3,1
Sn,0.30416,50,3,1
As,0.13184,51,3,1
Cd,0.04032,51,3,1
Co,0.10192,51,3,1
Hg,0.99968,51,3,1
Ni,1,51,3,1
Tl,0.00736,51,3,1
Pb,0.02288,51,3,1
Mo,0.01664,51,3,1
Sb,1,51,3,1
Sn,0.78912,51,3,1
As,0.04544,52,3,1
Cd,0.01136,52,3,1
Co,0.02352,52,3,1
Hg,1,52,3,1
Ni,1,52,3,1
Tl,0.02944,52,3,1
Pb,0.01312,52,3,1
Mo,0.02288,52,3,1
Sb,1,52,3,1
Sn,0.99392,52,3,1
As,0.00912,53,3,1
Cd,0.00256,53,3,1
Co,0.01408,53,3,1
Hg,1,53,3,1
Ni,1,53,3,1
Tl,0.01232,53,3,1
Pb,0.00896,53,3,1
Mo,0.01888,53,3,1
Sb,1,53,3,1
Sn,0.4592,53,3,1
As,0.02912,54,4,1
Cd,0.11632,54,4,1
Co,0.3064,54,4,1
Hg,0.99984,54,4,1
Ni,1,54,4,1
Tl,0.01408,54,4,1
Pb,0.0208,54,4,1
Mo,0.16256,54,4,1
Sb,1,54,4,1
Sn,0.99776,54,4,1
As,0.0376,55,3,1
Cd,0.07376,55,3,1
Co,0.02464,55,3,1
Hg,0.99872,55,3,1
Ni,1,55,3,1
Tl,0.0208,55,3,1
Pb,0.04416,55,3,1
Mo,0.02368,55,3,1
Sb,1,55,3,1
Sn,0.08,55,3,1
As,0.01216,56,3,1
Cd,0.00832,56,3,1
Co,0.1752,56,3,1
Hg,0.99872,56,3,1
Ni,0.99968,56,3,1
Tl,0.00672,56,3,1
Pb,0.02144,56,3,1
Mo,0.00704,56,3,1
Sb,1,56,3,1
Sn,0.99872,56,3,1
As,0.03152,57,3,1
Cd,0.01152,57,3,1
Co,0.03584,57,3,1
Hg,1,57,3,1
Ni,1,57,3,1
Tl,0.02496,57,3,1
Pb,0.01984,57,3,1
Mo,0.04544,57,3,1
Sb,1,57,3,1
Sn,0.99968,57,3,1
As,0.00896,58,3,1
Cd,0.1432,58,3,1
Co,0.01328,58,3,1
Hg,1,58,3,1
Ni,1,58,3,1
Tl,0.01088,58,3,1
Pb,0.0048,58,3,1
Mo,0.00704,58,3,1
Sb,1,58,3,1
Sn,0.04832,58,3,1
As,0.02848,59,3,1
Cd,0.01264,59,3,1
Co,0.04544,59,3,1
Hg,0.98608,59,3,1
Ni,1,59,3,1
Tl,0.01136,59,3,1
Pb,0.0088,59,3,1
Mo,0.00896,59,3,1
Sb,1,59,3,1
Sn,0.9984,59,3,1
As,0.00576,5,4,1
Cd,0.01024,5,4,1
Co,0.01216,5,4,1
Hg,0.99936,5,4,1
Ni,1,5,4,1
Tl,0.00448,5,4,1
Pb,0.00416,5,4,1
Mo,0.00368,5,4,1
Sb,1,5,4,1
Sn,0.8992,5,4,1
As,0.01792,60,2,1
Cd,0.02192,60,2,1
Co,0.15312,60,2,1
Hg,1,60,2,1
Ni,0.9888,60,2,1
Tl,0.02032,60,2,1
Pb,0.03216,60,2,1
Mo,0.08864,60,2,1
Sb,1,60,2,1
Sn,0.64256,60,2,1
As,0.01456,61,3,1
Cd,0.10672,61,3,1
Co,0.06064,61,3,1
Hg,0.9952,61,3,1
Ni,1,61,3,1
Tl,0.01536,61,3,1
Pb,0.4104,61,3,1
Mo,0.05984,61,3,1
Sb,1,61,3,1
Sn,0.27184,61,3,1
As,0.04336,62,3,1
Cd,0.05696,62,3,1
Co,0.012,62,3,1
Hg,1,62,3,1
Ni,0.99984,62,3,1
Tl,0.00368,62,3,1
Pb,0.11488,62,3,1
Mo,0.11712,62,3,1
Sb,1,62,3,1
Sn,0.90976,62,3,1
As,0.016,63,2,1
Cd,0.01808,63,2,1
Co,0.01184,63,2,1
Hg,1,63,2,1
Ni,1,63,2,1
Tl,0.01328,63,2,1
Pb,0.01024,63,2,1
Mo,0.01136,63,2,1
Sb,1,63,2,1
Sn,0.90032,63,2,1
As,0.00656,64,4,1
Cd,0.00816,64,4,1
Co,0.88672,64,4,1
Hg,1,64,4,1
Ni,0.99952,64,4,1
Tl,0.00368,64,4,1
Pb,0.01376,64,4,1
Mo,0.00448,64,4,1
Sb,1,64,4,1
Sn,0.0648,64,4,1
As,0.01168,65,3,1
Cd,0.01408,65,3,1
Co,0.06608,65,3,1
Hg,0.99968,65,3,1
Ni,1,65,3,1
Tl,0.07536,65,3,1
Pb,0.02352,65,3,1
Mo,0.09344,65,3,1
Sb,1,65,3,1
Sn,1,65,3,1
As,0.0168,66,3,1
Cd,0.01184,66,3,1
Co,0.0608,66,3,1
Hg,0.86864,66,3,1
Ni,1,66,3,1
Tl,0.01424,66,3,1
Pb,0.06048,66,3,1
Mo,0.01712,66,3,1
Sb,1,66,3,1
Sn,0.02384,66,3,1
As,0.02896,67,3,1
Cd,0.00944,67,3,1
Co,0.01776,67,3,1
Hg,0.99984,67,3,1
Ni,1,67,3,1
Tl,0.0088,67,3,1
Pb,0.03152,67,3,1
Mo,0.2432,67,3,1
Sb,1,67,3,1
Sn,0.2072,67,3,1
As,0.0144,68,3,1
Cd,0.01328,68,3,1
Co,0.0176,68,3,1
Hg,0.9992,68,3,1
Ni,1,68,3,1
Tl,0.0544,68,3,1
Pb,0.008,68,3,1
Mo,0.01184,68,3,1
Sb,1,68,3,1
Sn,0.98672,68,3,1
As,0.05216,69,3,1
Cd,0.00656,69,3,1
Co,0.02416,69,3,1
Hg,1,69,3,1
Ni,1,69,3,1
Tl,0.0272,69,3,1
Pb,0.04304,69,3,1
Mo,0.00752,69,3,1
Sb,1,69,3,1
Sn,0.99712,69,3,1
As,0.02864,6,3,1
Cd,0.00848,6,3,1
Co,0.0584,6,3,1
Hg,1,6,3,1
Ni,1,6,3,1
Tl,0.03152,6,3,1
Pb,0.02048,6,3,1
Mo,0.02496,6,3,1
Sb,1,6,3,1
Sn,0.11024,6,3,1
As,0.00656,70,3,1
Cd,0.00704,70,3,1
Co,0.00288,70,3,1
Hg,0.99984,70,3,1
Ni,0.99984,70,3,1
Tl,0.00432,70,3,1
Pb,0.00496,70,3,1
Mo,0.01344,70,3,1
Sb,1,70,3,1
Sn,0.46704,70,3,1
As,0.03344,71,2,1
Cd,0.0848,71,2,1
Co,0.029760000000000002,71,2,1
Hg,1,71,2,1
Ni,0.99856,71,2,1
Tl,0.06864,71,2,1
Pb,0.0312,71,2,1
Mo,0.60736,71,2,1
Sb,1,71,2,1
Sn,0.84224,71,2,1
As,0.01888,72,3,1
Cd,0.01024,72,3,1
Co,0.01296,72,3,1
Hg,1,72,3,1
Ni,1,72,3,1
Tl,0.00608,72,3,1
Pb,0.00624,72,3,1
Mo,0.00368,72,3,1
Sb,1,72,3,1
Sn,0.03312,72,3,1
As,0.00592,73,3,1
Cd,0.02128,73,3,1
Co,0.04544,73,3,1
Hg,0.99888,73,3,1
Ni,0.99952,73,3,1
Tl,0.00416,73,3,1
Pb,0.00672,73,3,1
Mo,0.01552,73,3,1
Sb,1,73,3,1
Sn,0.16656,73,3,1
As,0.2664,74,3,1
Cd,0.03104,74,3,1
Co,0.06896,74,3,1
Hg,1,74,3,1
Ni,1,74,3,1
Tl,0.00768,74,3,1
Pb,0.04992,74,3,1
Mo,0.01424,74,3,1
Sb,1,74,3,1
Sn,0.66352,74,3,1
As,0.06128,75,3,1
Cd,0.04912,75,3,1
Co,0.03392,75,3,1
Hg,1,75,3,1
Ni,1,75,3,1
Tl,0.0304,75,3,1
Pb,0.02288,75,3,1
Mo,0.02768,75,3,1
Sb,1,75,3,1
Sn,0.9992,75,3,1
As,0.01632,76,2,1
Cd,0.0136,76,2,1
Co,0.0296,76,2,1
Hg,1,76,2,1
Ni,1,76,2,1
Tl,0.03184,76,2,1
Pb,0.06064,76,2,1
Mo,0.02064,76,2,1
Sb,1,76,2,1
Sn,0.96864,76,2,1
As,0.06592,77,3,1
Cd,0.00752,77,3,1
Co,0.25856,77,3,1
Hg,0.9536,77,3,1
Ni,1,77,3,1
Tl,0.0568,77,3,1
Pb,0.01264,77,3,1
Mo,0.01632,77,3,1
Sb,1,77,3,1
Sn,0.95616,77,3,1
As,0.0408,78,3,1
Cd,0.37216,78,3,1
Co,0.02944,78,3,1
Hg,1,78,3,1
Ni,1,78,3,1
Tl,0.02992,78,3,1
Pb,0.03104,78,3,1
Mo,0.012,78,3,1
Sb,1,78,3,1
Sn,0.9288,78,3,1
As,0.27008,79,4,1
Cd,0.00752,79,4,1
Co,0.00944,79,4,1
Hg,1,79,4,1
Ni,0.99984,79,4,1
