variable,PIP,df,race,trial,case
Pb,0.00912,3,5,11,1
Mo,0.029760000000000002,3,5,11,1
Sb,0.26848,3,5,11,1
Sn,0.5144,3,5,11,1
As,0.12,2,6,11,1
Cd,0.01552,2,6,11,1
Co,0.01952,2,6,11,1
Hg,0.01056,2,6,11,1
Ni,0.01328,2,6,11,1
Tl,0.0112,2,6,11,1
Pb,0.03184,2,6,11,1
Mo,0.03296,2,6,11,1
Sb,0.84656,2,6,11,1
Sn,0.02768,2,6,11,1
As,0.444,4,1,12,1
Cd,0.72096,4,1,12,1
Co,0.54416,4,1,12,1
Hg,0.29072,4,1,12,1
Ni,0.5432,4,1,12,1
Tl,0.43376,4,1,12,1
Pb,0.3104,4,1,12,1
Mo,0.21344,4,1,12,1
Sb,0.42032,4,1,12,1
Sn,0.36336,4,1,12,1
As,0.02656,4,2,12,1
Cd,0.08976,4,2,12,1
Co,0.10048,4,2,12,1
Hg,0.02816,4,2,12,1
Ni,0.01824,4,2,12,1
Tl,0.05424,4,2,12,1
Pb,0.17168,4,2,12,1
Mo,0.0752,4,2,12,1
Sb,0.05424,4,2,12,1
Sn,0.0304,4,2,12,1
As,0.54064,3,3,12,1
Cd,0.2952,3,3,12,1
Co,0.3248,3,3,12,1
Hg,0.22304,3,3,12,1
Ni,0.3224,3,3,12,1
Tl,0.31904,3,3,12,1
Pb,0.31888,3,3,12,1
Mo,0.27392,3,3,12,1
Sb,0.24752,3,3,12,1
Sn,0.6856,3,3,12,1
As,0.03008,1,4,12,1
Cd,0.0568,1,4,12,1
Co,0.1704,1,4,12,1
Hg,0.06352,1,4,12,1
Ni,0.06816,1,4,12,1
Tl,0.0616,1,4,12,1
Pb,0.03984,1,4,12,1
Mo,0.07552,1,4,12,1
Sb,0.11024,1,4,12,1
Sn,0.36224,1,4,12,1
As,0.09296,2,5,12,1
Cd,0.05856,2,5,12,1
Co,0.08016,2,5,12,1
Hg,0.0128,2,5,12,1
Ni,0.02464,2,5,12,1
Tl,0.01392,2,5,12,1
Pb,0.04096,2,5,12,1
Mo,0.02944,2,5,12,1
Sb,0.97888,2,5,12,1
Sn,0.0784,2,5,12,1
As,0.03488,2,6,12,1
Cd,0.23648,2,6,12,1
Co,0.05696,2,6,12,1
Hg,0.0192,2,6,12,1
Ni,0.3136,2,6,12,1
Tl,0.02896,2,6,12,1
Pb,0.05232,2,6,12,1
Mo,0.1232,2,6,12,1
Sb,0.7912,2,6,12,1
Sn,0.08288,2,6,12,1
As,0.65216,3,1,13,1
Cd,0.44816,3,1,13,1
Co,0.5048,3,1,13,1
Hg,0.67664,3,1,13,1
Ni,0.54848,3,1,13,1
Tl,0.40144,3,1,13,1
Pb,0.50528,3,1,13,1
Mo,0.36896,3,1,13,1
Sb,0.3832,3,1,13,1
Sn,0.664,3,1,13,1
As,0.15856,3,2,13,1
Cd,0.06944,3,2,13,1
Co,0.20144,3,2,13,1
Hg,0.09344,3,2,13,1
Ni,0.52336,3,2,13,1
Tl,0.13536,3,2,13,1
Pb,0.06576,3,2,13,1
Mo,0.81744000000000006,3,2,13,1
Sb,0.11552,3,2,13,1
Sn,0.24528,3,2,13,1
As,0.39872,4,3,13,1
Cd,0.30992,4,3,13,1
Co,0.36672,4,3,13,1
Hg,0.52576,4,3,13,1
Ni,0.32416,4,3,13,1
Tl,0.6448,4,3,13,1
Pb,0.43296,4,3,13,1
Mo,0.26288,4,3,13,1
Sb,0.38576,4,3,13,1
Sn,0.42528,4,3,13,1
As,0.03056,2,4,13,1
Cd,0.07136,2,4,13,1
Co,0.09664,2,4,13,1
Hg,0.54976,2,4,13,1
Ni,0.32528,2,4,13,1
Tl,0.08912,2,4,13,1
Pb,0.06336,2,4,13,1
Mo,0.0664,2,4,13,1
Sb,0.84352,2,4,13,1
Sn,0.10336,2,4,13,1
As,0.03152,2,5,13,1
Cd,0.03088,2,5,13,1
Co,0.03216,2,5,13,1
Hg,0.04912,2,5,13,1
Ni,0.46992,2,5,13,1
Tl,0.06944,2,5,13,1
Pb,0.02448,2,5,13,1
Mo,0.06048,2,5,13,1
Sb,0.96592,2,5,13,1
Sn,0.02496,2,5,13,1
As,0.08736,4,6,13,1
Cd,0.02992,4,6,13,1
Co,0.0616,4,6,13,1
Hg,0.06112,4,6,13,1
Ni,0.6944,4,6,13,1
Tl,0.33568,4,6,13,1
Pb,0.03984,4,6,13,1
Mo,0.2952,4,6,13,1
Sb,0.1184,4,6,13,1
Sn,0.02992,4,6,13,1
As,0.38176,3,1,14,1
Cd,0.60784,3,1,14,1
Co,0.47104,3,1,14,1
Hg,0.49312,3,1,14,1
Ni,0.63104,3,1,14,1
Tl,0.52672,3,1,14,1
Pb,0.36768,3,1,14,1
Mo,0.44896,3,1,14,1
Sb,0.43264,3,1,14,1
Sn,0.46528,3,1,14,1
As,0.11216,4,2,14,1
Cd,0.75504,4,2,14,1
Co,0.34608,4,2,14,1
Hg,0.48048,4,2,14,1
Ni,0.7544,4,2,14,1
Tl,0.13008,4,2,14,1
Pb,0.63168,4,2,14,1
Mo,0.58272,4,2,14,1
Sb,0.18464,4,2,14,1
Sn,0.06976,4,2,14,1
As,0.39904,2,3,14,1
Cd,0.58784,2,3,14,1
Co,0.42864,2,3,14,1
Hg,0.36832,2,3,14,1
Ni,0.49808,2,3,14,1
Tl,0.54288,2,3,14,1
Pb,0.5376,2,3,14,1
Mo,0.43328,2,3,14,1
Sb,0.88096,2,3,14,1
Sn,0.5872,2,3,14,1
As,0.05152,3,4,14,1
Cd,0.02896,3,4,14,1
Co,0.08528,3,4,14,1
Hg,0.96672,3,4,14,1
Ni,0.90768,3,4,14,1
Tl,0.02624,3,4,14,1
Pb,0.02672,3,4,14,1
Mo,0.7008,3,4,14,1
Sb,0.16864,3,4,14,1
Sn,0.93056,3,4,14,1
As,0.04736,4,5,14,1
Cd,0.02992,4,5,14,1
Co,0.84768,4,5,14,1
Hg,0.4832,4,5,14,1
Ni,0.17728,4,5,14,1
Tl,0.44208,4,5,14,1
Pb,0.15616,4,5,14,1
Mo,0.10768,4,5,14,1
Sb,0.14,4,5,14,1
Sn,0.11856,4,5,14,1
As,0.08384,2,6,14,1
Cd,0.36224,2,6,14,1
Co,0.13088,2,6,14,1
Hg,0.08384,2,6,14,1
Ni,0.88752,2,6,14,1
Tl,0.34416,2,6,14,1
Pb,0.28064,2,6,14,1
Mo,0.29968,2,6,14,1
Sb,0.11984,2,6,14,1
Sn,0.06784,2,6,14,1
As,0.41264,4,1,15,1
Cd,0.44352,4,1,15,1
Co,0.21056,4,1,15,1
Hg,0.19632,4,1,15,1
Ni,0.24688,4,1,15,1
Tl,0.60944,4,1,15,1
Pb,0.728,4,1,15,1
Mo,0.4448,4,1,15,1
Sb,0.39776,4,1,15,1
Sn,0.30432,4,1,15,1
As,0.01328,3,2,15,1
Cd,0.02128,3,2,15,1
Co,0.00272,3,2,15,1
Hg,0.00544,3,2,15,1
Ni,0.00192,3,2,15,1
Tl,0.0136,3,2,15,1
Pb,0.00176,3,2,15,1
Mo,0.22608,3,2,15,1
Sb,0.00192,3,2,15,1
Sn,0.01104,3,2,15,1
As,0.47392,3,3,15,1
Cd,0.56848,3,3,15,1
Co,0.4608,3,3,15,1
Hg,0.516,3,3,15,1
Ni,0.492,3,3,15,1
Tl,0.3752,3,3,15,1
Pb,0.49216,3,3,15,1
Mo,0.57584,3,3,15,1
Sb,0.47696,3,3,15,1
Sn,0.46112,3,3,15,1
As,0.02128,2,4,15,1
Cd,0.05776,2,4,15,1
Co,0.0976,2,4,15,1
Hg,0.06656,2,4,15,1
Ni,0.17552,2,4,15,1
Tl,0.03456,2,4,15,1
Pb,0.0528,2,4,15,1
Mo,0.04144,2,4,15,1
Sb,0.99344,2,4,15,1
Sn,0.18032,2,4,15,1
As,0.0544,2,5,15,1
Cd,0.05344,2,5,15,1
Co,0.04416,2,5,15,1
Hg,0.10016,2,5,15,1
Ni,0.59168,2,5,15,1
Tl,0.02032,2,5,15,1
Pb,0.18288,2,5,15,1
Mo,0.12448,2,5,15,1
Sb,0.9952,2,5,15,1
Sn,0.03088,2,5,15,1
As,0.19936,3,6,15,1
Cd,0.20064,3,6,15,1
Co,0.04544,3,6,15,1
Hg,0.16096,3,6,15,1
Ni,0.47536,3,6,15,1
Tl,0.32336,3,6,15,1
Pb,0.94736,3,6,15,1
Mo,0.19664,3,6,15,1
Sb,0.46864,3,6,15,1
Sn,0.82464,3,6,15,1
As,0.33168,4,1,16,1
Cd,0.41808,4,1,16,1
Co,0.46976,4,1,16,1
Hg,0.41168,4,1,16,1
Ni,0.43408,4,1,16,1
Tl,0.69584,4,1,16,1
Pb,0.45568,4,1,16,1
Mo,0.39712,4,1,16,1
Sb,0.57952,4,1,16,1
Sn,0.62352,4,1,16,1
As,0.08656,4,2,16,1
Cd,0.1264,4,2,16,1
Co,0.5048,4,2,16,1
Hg,0.8456,4,2,16,1
Ni,0.23376,4,2,16,1
Tl,0.03936,4,2,16,1
Pb,0.05872,4,2,16,1
Mo,0.28688,4,2,16,1
Sb,0.11872,4,2,16,1
Sn,0.05216,4,2,16,1
As,0.53552,4,3,16,1
Cd,0.39296,4,3,16,1
Co,0.34928,4,3,16,1
Hg,0.3648,4,3,16,1
Ni,0.48032,4,3,16,1
Tl,0.5072,4,3,16,1
Pb,0.49152,4,3,16,1
Mo,0.49472,4,3,16,1
Sb,0.41088,4,3,16,1
Sn,0.6,4,3,16,1
As,0.1224,1,4,16,1
Cd,0.07168,1,4,16,1
Co,0.09808,1,4,16,1
Hg,0.04832,1,4,16,1
Ni,0.76992,1,4,16,1
Tl,0.14032,1,4,16,1
Pb,0.34912,1,4,16,1
Mo,0.14592,1,4,16,1
Sb,0.07024,1,4,16,1
Sn,0.06848,1,4,16,1
As,0.02912,1,5,16,1
Cd,0.07536,1,5,16,1
Co,0.06096,1,5,16,1
Hg,0.08304,1,5,16,1
Ni,0.14704,1,5,16,1
Tl,0.04272,1,5,16,1
Pb,0.12352,1,5,16,1
Mo,0.03808,1,5,16,1
Sb,0.58304,1,5,16,1
Sn,0.14704,1,5,16,1
As,0.28224,4,6,16,1
Cd,1,4,6,16,1
Co,1,4,6,16,1
Hg,1,4,6,16,1
Ni,0.21328,4,6,16,1
Tl,1,4,6,16,1
Pb,0.2432,4,6,16,1
Mo,0.91008,4,6,16,1
Sb,1,4,6,16,1
Sn,0.076,4,6,16,1
As,0.47408,2,1,17,1
Cd,0.62128,2,1,17,1
Co,0.32512,2,1,17,1
Hg,0.43312,2,1,17,1
Ni,0.37376,2,1,17,1
Tl,0.85584,2,1,17,1
Pb,0.63712,2,1,17,1
Mo,0.50416,2,1,17,1
Sb,0.57008,2,1,17,1
Sn,0.6488,2,1,17,1
As,0.33328,3,2,17,1
Cd,0.36832,3,2,17,1
Co,0.63536,3,2,17,1
Hg,0.28624,3,2,17,1
Ni,0.68832,3,2,17,1
Tl,0.53728,3,2,17,1
Pb,0.14992,3,2,17,1
Mo,0.28016,3,2,17,1
Sb,0.26016,3,2,17,1
Sn,0.27424,3,2,17,1
As,0.4096,4,3,17,1
Cd,0.47488,4,3,17,1
Co,0.44944,4,3,17,1
Hg,0.58096,4,3,17,1
Ni,0.4728,4,3,17,1
Tl,0.48048,4,3,17,1
Pb,0.47104,4,3,17,1
Mo,0.57136,4,3,17,1
Sb,0.4896,4,3,17,1
Sn,0.51328,4,3,17,1
As,0.0472,2,4,17,1
Cd,0.0312,2,4,17,1
Co,0.01696,2,4,17,1
Hg,0.0216,2,4,17,1
Ni,0.06048,2,4,17,1
Tl,0.02736,2,4,17,1
Pb,0.04416,2,4,17,1
Mo,0.04352,2,4,17,1
Sb,0.83888,2,4,17,1
Sn,0.06096,2,4,17,1
As,0.14368,3,5,17,1
Cd,0.08976,3,5,17,1
Co,0.15056,3,5,17,1
Hg,0.23456,3,5,17,1
Ni,0.08832,3,5,17,1
Tl,0.08384,3,5,17,1
Pb,0.46544,3,5,17,1
Mo,0.3032,3,5,17,1
Sb,0.98848,3,5,17,1
Sn,0.06448,3,5,17,1
As,0.05168,1,6,17,1
Cd,0.05584,1,6,17,1
Co,0.06896,1,6,17,1
Hg,0.11616,1,6,17,1
Ni,0.05168,1,6,17,1
Tl,0.08064,1,6,17,1
Pb,0.0544,1,6,17,1
Mo,0.80704,1,6,17,1
Sb,0.07552,1,6,17,1
Sn,0.04304,1,6,17,1
As,0.21872,3,1,18,1
Cd,0.37184,3,1,18,1
Co,0.25424,3,1,18,1
Hg,0.25168,3,1,18,1
Ni,0.21808,3,1,18,1
Tl,0.24704,3,1,18,1
Pb,0.22736,3,1,18,1
Mo,0.47312,3,1,18,1
Sb,0.2648,3,1,18,1
Sn,0.4632,3,1,18,1
As,8e-4,4,2,18,1
Cd,0.00832,4,2,18,1
Co,0.00128,4,2,18,1
Hg,0,4,2,18,1
Ni,1.6e-4,4,2,18,1
Tl,0.00224,4,2,18,1
Pb,4.8e-4,4,2,18,1
Mo,0,4,2,18,1
Sb,6.4e-4,4,2,18,1
Sn,0.00192,4,2,18,1
As,0.56096,3,3,18,1
Cd,0.32272,3,3,18,1
Co,0.52464,3,3,18,1
Hg,0.41664,3,3,18,1
Ni,0.64752,3,3,18,1
Tl,0.5224,3,3,18,1
Pb,0.29792,3,3,18,1
Mo,0.6312,3,3,18,1
Sb,0.37568,3,3,18,1
Sn,0.19984,3,3,18,1
As,0.03104,4,4,18,1
Cd,0.0424,4,4,18,1
Co,0.4496,4,4,18,1
Hg,0.60512,4,4,18,1
Ni,0.19088,4,4,18,1
Tl,0.036,4,4,18,1
Pb,0.06016,4,4,18,1
Mo,0.04752,4,4,18,1
Sb,0.08848,4,4,18,1
Sn,0.97024,4,4,18,1
As,0.03664,3,5,18,1
Cd,0.04816,3,5,18,1
Co,0.0424,3,5,18,1
Hg,0.2536,3,5,18,1
Ni,0.844,3,5,18,1
Tl,0.05056,3,5,18,1
Pb,0.06016,3,5,18,1
Mo,0.02224,3,5,18,1
Sb,0.78864,3,5,18,1
Sn,0.03648,3,5,18,1
As,0.1304,1,6,18,1
Cd,0.12336,1,6,18,1
Co,0.05744,1,6,18,1
Hg,0.18512,1,6,18,1
Ni,0.12288,1,6,18,1
Tl,0.08272,1,6,18,1
Pb,0.08096,1,6,18,1
Mo,0.13472,1,6,18,1
Sb,0.04304,1,6,18,1
Sn,0.16256,1,6,18,1
As,0.51776,3,1,19,1
Cd,0.43728,3,1,19,1
Co,0.50736,3,1,19,1
Hg,0.66208,3,1,19,1
Ni,0.43728,3,1,19,1
Tl,0.44144,3,1,19,1
Pb,0.36832,3,1,19,1
Mo,0.48256,3,1,19,1
Sb,0.29888,3,1,19,1
Sn,0.35168,3,1,19,1
As,0.35056,4,2,19,1
Cd,0.51984,4,2,19,1
Co,0.556,4,2,19,1
Hg,0.20464,4,2,19,1
Ni,0.692,4,2,19,1
Tl,0.52128,4,2,19,1
Pb,0.16752,4,2,19,1
Mo,0.18464,4,2,19,1
Sb,0.268,4,2,19,1
Sn,0.38128,4,2,19,1
As,0.52256,4,3,19,1
Cd,0.50752,4,3,19,1
Co,0.53456,4,3,19,1
Hg,0.46864,4,3,19,1
Ni,0.47808,4,3,19,1
Tl,0.51168,4,3,19,1
Pb,0.5424,4,3,19,1
Mo,0.43968,4,3,19,1
Sb,0.47168,4,3,19,1
Sn,0.48336,4,3,19,1
As,0.0224,2,4,19,1
Cd,0.028,2,4,19,1
Co,0.19296,2,4,19,1
Hg,0.99984,2,4,19,1
Ni,0.4976,2,4,19,1
Tl,0.0368,2,4,19,1
Pb,0.036,2,4,19,1
Mo,0.07888,2,4,19,1
Sb,0.97536,2,4,19,1
Sn,0.94704,2,4,19,1
As,0.02944,3,5,19,1
Cd,0.40064,3,5,19,1
Co,0.5232,3,5,19,1
Hg,0.16768,3,5,19,1
Ni,0.15568,3,5,19,1
Tl,0.03456,3,5,19,1
Pb,0.0368,3,5,19,1
Mo,0.04112,3,5,19,1
Sb,0.92944,3,5,19,1
Sn,0.31152,3,5,19,1
As,0.33744,1,6,19,1
Cd,0.06048,1,6,19,1
Co,0.088,1,6,19,1
Hg,0.06128,1,6,19,1
Ni,0.67056,1,6,19,1
Tl,0.06544,1,6,19,1
Pb,0.08208,1,6,19,1
Mo,0.07888,1,6,19,1
Sb,0.09344,1,6,19,1
Sn,0.16096,1,6,19,1
As,0.64896,3,1,1,1
Cd,0.46736,3,1,1,1
Co,0.46128,3,1,1,1
Hg,0.43808,3,1,1,1
Ni,0.5328,3,1,1,1
Tl,0.4904,3,1,1,1
Pb,0.37568,3,1,1,1
Mo,0.41552,3,1,1,1
Sb,0.54336,3,1,1,1
Sn,0.45504,3,1,1,1
As,0.36704,3,2,1,1
Cd,0.75728,3,2,1,1
Co,0.27984,3,2,1,1
Hg,0.38384,3,2,1,1
Ni,0.35024,3,2,1,1
Tl,0.42848,3,2,1,1
Pb,0.61264,3,2,1,1
Mo,0.59184,3,2,1,1
Sb,0.49184,3,2,1,1
Sn,0.42976,3,2,1,1
As,0.43024,4,3,1,1
Cd,0.5544,4,3,1,1
Co,0.49664,4,3,1,1
Hg,0.46192,4,3,1,1
Ni,0.40832,4,3,1,1
Tl,0.31568,4,3,1,1
Pb,0.44768,4,3,1,1
Mo,0.32688,4,3,1,1
Sb,0.66704,4,3,1,1
Sn,0.3008,4,3,1,1
As,0.11136,2,4,1,1
Cd,0.01984,2,4,1,1
Co,0.02416,2,4,1,1
Hg,0.24304,2,4,1,1
Ni,0.1168,2,4,1,1
Tl,0.012,2,4,1,1
Pb,0.0688,2,4,1,1
Mo,0.71568,2,4,1,1
Sb,0.10672,2,4,1,1
Sn,0.08064,2,4,1,1
As,0.02576,2,5,1,1
Cd,0.06512,2,5,1,1
Co,0.12848,2,5,1,1
Hg,0.06032,2,5,1,1
Ni,0.52416,2,5,1,1
Tl,0.144,2,5,1,1
Pb,0.07872,2,5,1,1
Mo,0.02288,2,5,1,1
Sb,0.6696,2,5,1,1
Sn,0.436,2,5,1,1
As,0.03152,3,6,1,1
Cd,0.35248,3,6,1,1
Co,0.1616,3,6,1,1
Hg,0.11376,3,6,1,1
Ni,0.15536,3,6,1,1
Tl,0.13552,3,6,1,1
Pb,0.08,3,6,1,1
Mo,0.02896,3,6,1,1
Sb,0.52352,3,6,1,1
Sn,0.10736,3,6,1,1
As,0.2712,3,1,20,1
Cd,0.24656,3,1,20,1
Co,0.64,3,1,20,1
Hg,0.5184,3,1,20,1
Ni,0.46736,3,1,20,1
Tl,0.31248,3,1,20,1
Pb,0.25904,3,1,20,1
Mo,0.3264,3,1,20,1
Sb,0.2952,3,1,20,1
Sn,0.37984,3,1,20,1
As,0.10656,4,2,20,1
Cd,0.4072,4,2,20,1
Co,0.4144,4,2,20,1
Hg,0.19424,4,2,20,1
Ni,0.06224,4,2,20,1
Tl,0.27376,4,2,20,1
Pb,0.36896,4,2,20,1
Mo,0.20416,4,2,20,1
Sb,0.7984,4,2,20,1
Sn,0.13312,4,2,20,1
As,0.36416,3,3,20,1
Cd,0.71712,3,3,20,1
Co,0.49536,3,3,20,1
Hg,0.42304,3,3,20,1
Ni,0.4424,3,3,20,1
Tl,0.5184,3,3,20,1
Pb,0.46896,3,3,20,1
Mo,0.51776,3,3,20,1
Sb,0.42944,3,3,20,1
Sn,0.40288,3,3,20,1
As,0.01248,2,4,20,1
Cd,0.0128,2,4,20,1
Co,0.39264,2,4,20,1
Hg,0.04304,2,4,20,1
Ni,0.0552,2,4,20,1
