est,sd,race,trial,case
NA,NA,1,1,1
0.6516369540698632,2.6922566883942216,2,1,1
NA,NA,3,1,1
1.499191862845079,0.747664010309843,4,1,1
1.2230496119450178,0.8841258064549699,5,1,1
1.0894142835437877,1.2610737445398026,6,1,1
1.5822755853601969,3.505371344163103,1,10,1
1.2524741876252192,1.8036371321099995,2,10,1
NA,NA,3,10,1
1.3697282704569202,0.7996974405525823,4,10,1
0.5213009745088986,0.6617999785623797,5,10,1
0.886959913040017,7.467293826471317,6,10,1
0.33562161487176034,1.5452614039002497,1,100,1
0.04636184174702951,1.087773475683078,2,100,1
NA,NA,3,100,1
1.1254279697865672,0.8966562772434464,4,100,1
1.8915595744676525,0.8389383696965172,5,100,1
0.09283171635954646,0.9378114677400963,6,100,1
NA,NA,1,11,1
-1.0709694358915525,1.283542035681329,2,11,1
NA,NA,3,11,1
0.3360396627902871,0.7026865140418389,4,11,1
1.6511055522348,0.6989173896074643,5,11,1
-0.27240370309371364,1.4762205013221001,6,11,1
0.6910712859857249,1.1993980624112768,1,12,1
1.0851577537154906,1.3248164278779218,2,12,1
NA,NA,3,12,1
1.3372581413124531,0.97923270260740225,4,12,1
0.07180543810711804,0.6906092834864473,5,12,1
0.3646520877621988,0.9339321348941839,6,12,1
0.3165399887150948,2.3797126487349662,1,13,1
-0.1276845173357879,0.8856225390532154,2,13,1
1.6435739876397406,5.557912797234351,3,13,1
1.1832408792312554,0.884507301220848,4,13,1
0.3730074311273821,1.0296918801060266,5,13,1
0.6623236598993993,0.8294192625799863,6,13,1
0.9967497063445929,3.5129370789299994,1,14,1
1.0472336072335202,2.2242014349557926,2,14,1
-0.193013619684125,1.1550794526901489,3,14,1
1.6954847309444552,0.8355441105276715,4,14,1
0.2526891389103243,0.6595416322571941,5,14,1
1.054792286090593,1.019019461644238,6,14,1
0.6817113913279025,2.030777040412933,1,15,1
0.40498420950576675,1.3371379847237437,2,15,1
NA,NA,3,15,1
1.4644960508531053,1.2016913734338608,4,15,1
0.9082740888308356,0.6857546556553559,5,15,1
1.2688401181305267,1.6530938607358832,6,15,1
0.3332662532167474,1.913401017917199,1,16,1
1.748697348518371,1.3356883662499006,2,16,1
NA,NA,3,16,1
0.42523062350113383,0.8968539332815886,4,16,1
0.9694609598459545,0.7374368605354684,5,16,1
1.0275616342839367,0.8467176258937515,6,16,1
0.09431591011311014,0.6879145757616789,1,17,1
0.7259597593374938,1.8861185969013112,2,17,1
NA,NA,3,17,1
0.4911986741131069,0.9647457097926299,4,17,1
1.142607401866111,0.9853238272924558,5,17,1
1.1230079016706562,0.9985624862821902,6,17,1
1.9416833090938512,2.633976823114647,1,18,1
-0.16906872462784683,1.146369158184842,2,18,1
0.8620981976153392,2.458424898032186,3,18,1
0.95325633128138,1.2719744788918375,4,18,1
2.1395511471334325,0.8214404773769487,5,18,1
1.925887892083358,1.309718051646762,6,18,1
2.9621787920379625,5.292338240603775,1,19,1
0.31170589834303986,1.7796978306419877,2,19,1
NA,NA,3,19,1
3.882624146764034,0.75987183492143,4,19,1
0.722169074519571,0.6159474726266377,5,19,1
-0.277769274058727,1.2569764521400604,6,19,1
0.7478856525163213,1.9022988825384832,1,2,1
3.091659942459837,2.4346369186661647,2,2,1
-0.03281544063416275,3.777160364535448,3,2,1
1.3009270348462918,0.7873632985906732,4,2,1
1.9270331879567744,0.8851608987035915,5,2,1
1.9733111458350792,1.5909612248708063,6,2,1
-0.2805642858431773,6.982448941889983,1,20,1
-0.004096766658154394,2.5502446169719684,2,20,1
-0.06028127998324506,1.7141143296639185,3,20,1
1.1658980357674176,0.8577136532051796,4,20,1
1.7239109575413205,0.8491015654364551,5,20,1
0.2628135987620499,1.024179975611731,6,20,1
NA,NA,1,21,1
-0.22876947422944216,2.8614509245097044,2,21,1
NA,NA,3,21,1
0.22502098921869607,0.8760580228470193,4,21,1
0.40135295628883005,0.6228745559572131,5,21,1
0.44473360039890775,1.4227032380493314,6,21,1
-0.5923169602869129,1.1113050728018303,1,22,1
2.209114424553669,2.7561651490987216,2,22,1
NA,NA,3,22,1
1.5256837730592872,0.8362777515590782,4,22,1
3.218882094157455,0.8700463955584036,5,22,1
0.07678176443722151,1.0759284922595247,6,22,1
-0.3421967931373784,1.1139902249658291,1,23,1
4.079624104212101,2.55279393532753,2,23,1
NA,NA,3,23,1
2.4655033663403088,1.1825257370336668,4,23,1
0.31529054343331,0.70659794786422,5,23,1
0.8450423017448536,2.3869822990966933,6,23,1
0.3259003881642446,1.9765341064905313,1,24,1
2.5652682076149467,1.4752405863132259,2,24,1
NA,NA,3,24,1
-0.67598129252384,0.9109253499661104,4,24,1
1.317059903847169,0.8796194627192637,5,24,1
2.344244408074772,1.0587698089934803,6,24,1
0.12543531405422265,1.6260178814435156,1,25,1
-0.19294669754381832,1.5421018357668326,2,25,1
0.20066921601615828,1.0542056761225895,3,25,1
0.6206359098841476,0.9306219467331257,4,25,1
0.43376535318897447,0.7887455643466731,5,25,1
0.12134645603892036,0.9189013105064764,6,25,1
-1.4164010140144174,2.1389203259178475,1,26,1
0.3907471369298188,1.6256576953721642,2,26,1
NA,NA,3,26,1
-0.46077406867036874,0.9156309455702465,4,26,1
1.1062919293576272,0.6490875340801483,5,26,1
0.0724876753974042,0.74091898250775,6,26,1
-1.796661213815252,2.617226715407484,1,27,1
0.41477015903739467,0.7341871591356062,2,27,1
NA,NA,3,27,1
0.7995110293484631,0.6232046528761918,4,27,1
2.4688094642689378,0.9914281384720025,5,27,1
0.18247219013870009,0.950061248297756,6,27,1
NA,NA,1,28,1
1.2421099972659755,1.6070007872146472,2,28,1
-2.157209547240812,3.9150746508484806,3,28,1
