variable,PIP,race,trial,case
As,0.43144,5,11,1
Cd,0.28084,5,11,1
Co,0.36084,5,11,1
Hg,0.96704,5,11,1
Ni,0.81936,5,11,1
Tl,0.3332,5,11,1
Pb,0.77172,5,11,1
Mo,0.52892,5,11,1
Sb,0.99352,5,11,1
Sn,0.79292,5,11,1
As,0.35468,1,12,1
Cd,0.41376,1,12,1
Co,0.58312,1,12,1
Hg,0.92228,1,12,1
Ni,0.47144,1,12,1
Tl,0.39692,1,12,1
Pb,0.43516,1,12,1
Mo,0.42752,1,12,1
Sb,0.7798,1,12,1
Sn,0.43004,1,12,1
As,0.2972,2,12,1
Cd,0.2528,2,12,1
Co,0.24556,2,12,1
Hg,0.99604,2,12,1
Ni,0.2444,2,12,1
Tl,0.25112,2,12,1
Pb,0.28632,2,12,1
Mo,0.35184,2,12,1
Sb,0.44776,2,12,1
Sn,0.26416,2,12,1
As,0.25432,3,12,1
Cd,0.26656,3,12,1
Co,0.41588,3,12,1
Hg,0.97292,3,12,1
Ni,0.30004,3,12,1
Tl,0.23736,3,12,1
Pb,0.24256,3,12,1
Mo,0.36108,3,12,1
Sb,0.36996,3,12,1
Sn,0.35104,3,12,1
As,0.15844,4,12,1
Cd,0.18824,4,12,1
Co,0.60376,4,12,1
Hg,0.97624,4,12,1
Ni,0.46696,4,12,1
Tl,0.20812,4,12,1
Pb,0.19224,4,12,1
Mo,0.21832,4,12,1
Sb,1,4,12,1
Sn,0.2948,4,12,1
As,0.14892,5,12,1
Cd,0.12916,5,12,1
Co,0.1554,5,12,1
Hg,0.67208,5,12,1
Ni,0.89612,5,12,1
Tl,0.29908,5,12,1
Pb,0.25112,5,12,1
Mo,0.20596,5,12,1
Sb,0.99992,5,12,1
Sn,0.30388,5,12,1
As,0.38168,1,13,1
Cd,0.44108,1,13,1
Co,0.55188,1,13,1
Hg,0.44968,1,13,1
Ni,0.43996,1,13,1
Tl,0.52744,1,13,1
Pb,0.5228,1,13,1
Mo,0.4052,1,13,1
Sb,0.73828,1,13,1
Sn,0.65428,1,13,1
As,0.40684,2,13,1
Cd,0.42432,2,13,1
Co,0.43132,2,13,1
Hg,0.90428,2,13,1
Ni,0.37868,2,13,1
Tl,0.53408,2,13,1
Pb,0.4584,2,13,1
Mo,0.39884,2,13,1
Sb,0.84524,2,13,1
Sn,0.3828,2,13,1
As,0.39264,3,13,1
Cd,0.40524,3,13,1
Co,0.40804,3,13,1
Hg,0.52832,3,13,1
Ni,0.77588,3,13,1
Tl,0.5172,3,13,1
Pb,0.4008,3,13,1
Mo,0.56268,3,13,1
Sb,0.75436,3,13,1
Sn,0.46796,3,13,1
As,0.03212,4,13,1
Cd,0.067,4,13,1
Co,0.11424,4,13,1
Hg,1,4,13,1
Ni,0.99568,4,13,1
Tl,0.06768,4,13,1
Pb,0.15924,4,13,1
Mo,0.10136,4,13,1
Sb,0.33016,4,13,1
Sn,0.314,4,13,1
As,0.32396,5,13,1
Cd,0.36912,5,13,1
Co,0.30412,5,13,1
Hg,0.5136,5,13,1
Ni,0.99412,5,13,1
Tl,0.55872,5,13,1
Pb,0.3244,5,13,1
Mo,0.38492,5,13,1
Sb,0.97128,5,13,1
Sn,0.424,5,13,1
As,0.41076,1,14,1
Cd,0.39624,1,14,1
Co,0.39712,1,14,1
Hg,0.59192,1,14,1
Ni,0.55496,1,14,1
Tl,0.4062,1,14,1
Pb,0.32592,1,14,1
Mo,0.32764,1,14,1
Sb,0.72796,1,14,1
Sn,0.40584,1,14,1
As,0.28568,2,14,1
Cd,0.28676,2,14,1
Co,0.3976,2,14,1
Hg,0.88484,2,14,1
Ni,0.85512,2,14,1
Tl,0.80604,2,14,1
Pb,0.45004,2,14,1
Mo,0.323,2,14,1
Sb,0.529,2,14,1
Sn,0.49172,2,14,1
As,0.66956,3,14,1
Cd,0.64672,3,14,1
Co,0.78308,3,14,1
Hg,0.80364,3,14,1
Ni,0.68704,3,14,1
Tl,0.70404,3,14,1
Pb,0.89112,3,14,1
Mo,0.83,3,14,1
Sb,0.70624,3,14,1
Sn,0.60296,3,14,1
As,0.3328,4,14,1
Cd,0.4964,4,14,1
Co,0.68048,4,14,1
Hg,0.70964,4,14,1
Ni,0.7038,4,14,1
Tl,0.293,4,14,1
Pb,0.40312,4,14,1
Mo,0.59608,4,14,1
Sb,1,4,14,1
Sn,0.62344,4,14,1
As,0.26448,5,14,1
Cd,0.35296,5,14,1
Co,0.55508,5,14,1
Hg,0.33556,5,14,1
Ni,0.99884,5,14,1
Tl,0.17032,5,14,1
Pb,0.89672,5,14,1
Mo,0.19132,5,14,1
Sb,1,5,14,1
Sn,0.40216,5,14,1
As,0.39956,1,15,1
Cd,0.427,1,15,1
Co,0.60096,1,15,1
Hg,0.64012,1,15,1
Ni,0.61556,1,15,1
Tl,0.54304,1,15,1
Pb,0.47368,1,15,1
Mo,0.40912,1,15,1
Sb,0.4686,1,15,1
Sn,0.55072,1,15,1
As,0.28676,2,15,1
Cd,0.35324,2,15,1
Co,0.29168,2,15,1
Hg,0.31548,2,15,1
Ni,0.32964,2,15,1
Tl,0.29916,2,15,1
Pb,0.29768,2,15,1
Mo,0.27516,2,15,1
Sb,0.36796,2,15,1
Sn,0.32956,2,15,1
As,0.47764,3,15,1
Cd,0.5526,3,15,1
Co,0.49048,3,15,1
Hg,0.49728,3,15,1
Ni,0.5314,3,15,1
Tl,0.42972,3,15,1
Pb,0.4882,3,15,1
Mo,0.45784,3,15,1
Sb,0.43284,3,15,1
Sn,0.50588,3,15,1
As,0.15392,4,15,1
Cd,0.19996,4,15,1
Co,0.19736,4,15,1
Hg,0.98252,4,15,1
Ni,0.98272,4,15,1
Tl,0.28444,4,15,1
Pb,0.50948,4,15,1
Mo,0.27776,4,15,1
Sb,1,4,15,1
Sn,0.37404,4,15,1
As,0.46552,5,15,1
Cd,0.54444,5,15,1
Co,0.68224,5,15,1
Hg,0.99168,5,15,1
Ni,0.96516,5,15,1
Tl,0.69736,5,15,1
Pb,0.6046,5,15,1
Mo,0.64928,5,15,1
Sb,0.99892,5,15,1
Sn,0.75568,5,15,1
As,0.58764,1,16,1
Cd,0.81292,1,16,1
Co,0.65012,1,16,1
Hg,0.8828,1,16,1
Ni,0.66204,1,16,1
Tl,0.66884,1,16,1
Pb,0.68456,1,16,1
