variable,PIP,race,trial,case
Ni,0.66356,1,12,1
Tl,0.53672,1,12,1
Pb,0.54828,1,12,1
Mo,0.57084,1,12,1
Sb,0.7388,1,12,1
Sn,0.56092,1,12,1
As,0.3278,2,12,1
Cd,0.39304,2,12,1
Co,0.38692,2,12,1
Hg,0.38608,2,12,1
Ni,0.35444,2,12,1
Tl,0.30656,2,12,1
Pb,0.40048,2,12,1
Mo,0.33924,2,12,1
Sb,0.34664,2,12,1
Sn,0.339,2,12,1
NA,NA,3,12,1
As,0.33624,4,12,1
Cd,0.36392,4,12,1
Co,0.49652,4,12,1
Hg,0.43364,4,12,1
Ni,0.36416,4,12,1
Tl,0.4406,4,12,1
Pb,0.32724,4,12,1
Mo,0.34916,4,12,1
Sb,0.45528,4,12,1
Sn,0.49388,4,12,1
As,0.12592,5,12,1
Cd,0.23132,5,12,1
Co,0.3316,5,12,1
Hg,0.16756,5,12,1
Ni,0.15852,5,12,1
Tl,0.11776,5,12,1
Pb,0.15948,5,12,1
Mo,0.14596,5,12,1
Sb,0.81848,5,12,1
Sn,0.23708,5,12,1
As,0.37896,6,12,1
Cd,0.40784,6,12,1
Co,0.40556,6,12,1
Hg,0.38564,6,12,1
Ni,0.74028,6,12,1
Tl,0.38292,6,12,1
Pb,0.38244,6,12,1
Mo,0.47072,6,12,1
Sb,0.73316,6,12,1
Sn,0.41512,6,12,1
As,0.67828,1,13,1
Cd,0.56476,1,13,1
Co,0.54976,1,13,1
Hg,0.595,1,13,1
Ni,0.66696,1,13,1
Tl,0.4888,1,13,1
Pb,0.47572,1,13,1
Mo,0.47824,1,13,1
Sb,0.52276,1,13,1
Sn,0.56028,1,13,1
As,0.4432,2,13,1
Cd,0.34012,2,13,1
Co,0.55088,2,13,1
Hg,0.32584,2,13,1
Ni,0.44908,2,13,1
Tl,0.42788,2,13,1
Pb,0.33172,2,13,1
Mo,0.57516,2,13,1
Sb,0.39416,2,13,1
Sn,0.43292,2,13,1
As,0.63528,3,13,1
Cd,0.58304,3,13,1
Co,0.60584,3,13,1
Hg,0.6924,3,13,1
Ni,0.57492,3,13,1
Tl,0.66344,3,13,1
Pb,0.58876,3,13,1
Mo,0.6264,3,13,1
Sb,0.62928,3,13,1
Sn,0.56088,3,13,1
As,0.3936,4,13,1
Cd,0.45616,4,13,1
Co,0.36528,4,13,1
Hg,0.60612,4,13,1
Ni,0.41568,4,13,1
Tl,0.41204,4,13,1
Pb,0.40704,4,13,1
Mo,0.37804,4,13,1
Sb,0.8982,4,13,1
Sn,0.47468,4,13,1
As,0.2476,5,13,1
Cd,0.26508,5,13,1
Co,0.25888,5,13,1
Hg,0.31288,5,13,1
Ni,0.51384,5,13,1
Tl,0.37212,5,13,1
Pb,0.2742,5,13,1
Mo,0.36264,5,13,1
Sb,0.89148,5,13,1
Sn,0.24668,5,13,1
As,0.33692,6,13,1
Cd,0.3168,6,13,1
Co,0.60228,6,13,1
Hg,0.39196,6,13,1
Ni,0.4722,6,13,1
Tl,0.3624,6,13,1
Pb,0.2884,6,13,1
Mo,0.27508,6,13,1
Sb,0.45896,6,13,1
Sn,0.30076,6,13,1
As,0.55528,1,14,1
Cd,0.5798,1,14,1
Co,0.5632,1,14,1
Hg,0.59592,1,14,1
Ni,0.71068,1,14,1
Tl,0.59484,1,14,1
Pb,0.57796,1,14,1
Mo,0.59536,1,14,1
Sb,0.57496,1,14,1
Sn,0.55528,1,14,1
As,0.365,2,14,1
Cd,0.43056,2,14,1
Co,0.37144,2,14,1
Hg,0.46708,2,14,1
Ni,0.48236,2,14,1
Tl,0.40924,2,14,1
Pb,0.56384,2,14,1
Mo,0.4046,2,14,1
Sb,0.39724,2,14,1
Sn,0.38336,2,14,1
As,0.59588,3,14,1
Cd,0.72352,3,14,1
Co,0.64456,3,14,1
Hg,0.51644,3,14,1
Ni,0.6064,3,14,1
Tl,0.61504,3,14,1
Pb,0.60804,3,14,1
Mo,0.60144,3,14,1
Sb,0.8124,3,14,1
Sn,0.65744,3,14,1
As,0.49088,4,14,1
Cd,0.4394,4,14,1
Co,0.56244,4,14,1
Hg,0.81596,4,14,1
Ni,0.91604,4,14,1
Tl,0.59768,4,14,1
Pb,0.52028,4,14,1
Mo,0.86312,4,14,1
Sb,0.64796,4,14,1
Sn,0.8654,4,14,1
As,0.40048,5,14,1
Cd,0.43208,5,14,1
Co,0.68148,5,14,1
Hg,0.42264,5,14,1
Ni,0.65252,5,14,1
Tl,0.55252,5,14,1
Pb,0.49112,5,14,1
Mo,0.38652,5,14,1
Sb,0.70056,5,14,1
Sn,0.47368,5,14,1
As,0.44384,6,14,1
Cd,0.52792,6,14,1
Co,0.45624,6,14,1
Hg,0.50076,6,14,1
Ni,0.71964,6,14,1
Tl,0.49716,6,14,1
Pb,0.45916,6,14,1
Mo,0.48548,6,14,1
Sb,0.52396,6,14,1
Sn,0.56384,6,14,1
As,0.55712,1,15,1
Cd,0.55324,1,15,1
Co,0.46944,1,15,1
Hg,0.45508,1,15,1
Ni,0.487,1,15,1
Tl,0.40036,1,15,1
Pb,0.67904,1,15,1
Mo,0.45628,1,15,1
Sb,0.46092,1,15,1
Sn,0.50392,1,15,1
As,0.4988,2,15,1
Cd,0.57932,2,15,1
Co,0.41748,2,15,1
Hg,0.47892,2,15,1
Ni,0.42148,2,15,1
Tl,0.53728,2,15,1
Pb,0.4588,2,15,1
Mo,0.62432,2,15,1
Sb,0.4698,2,15,1
Sn,0.4546,2,15,1
NA,NA,3,15,1
As,0.42108,4,15,1
Cd,0.44924,4,15,1
Co,0.53812,4,15,1
Hg,0.55132,4,15,1
Ni,0.66856,4,15,1
Tl,0.47384,4,15,1
Pb,0.52892,4,15,1
Mo,0.43428,4,15,1
Sb,0.98952,4,15,1
Sn,0.6078,4,15,1
As,0.23232,5,15,1
Cd,0.3004,5,15,1
Co,0.31356,5,15,1
Hg,0.47856,5,15,1
Ni,0.75476,5,15,1
Tl,0.31648,5,15,1
Pb,0.47484,5,15,1
Mo,0.596,5,15,1
Sb,0.98488,5,15,1
Sn,0.2802,5,15,1
As,0.62048,6,15,1
Cd,0.57168,6,15,1
Co,0.54944,6,15,1
Hg,0.65736000000000006,6,15,1
Ni,0.76024,6,15,1
Tl,0.7594,6,15,1
Pb,0.878,6,15,1
Mo,0.68368,6,15,1
Sb,0.76092,6,15,1
Sn,0.83068,6,15,1
As,0.49852,1,16,1
Cd,0.53288,1,16,1
Co,0.50796,1,16,1
Hg,0.48504,1,16,1
Ni,0.56168,1,16,1
Tl,0.55452,1,16,1
Pb,0.53536,1,16,1
Mo,0.52348,1,16,1
Sb,0.5982,1,16,1
Sn,0.52328,1,16,1
As,0.35948,2,16,1
Cd,0.6262,2,16,1
Co,0.35504,2,16,1
Hg,0.58424,2,16,1
Ni,0.41824,2,16,1
Tl,0.35444,2,16,1
Pb,0.31752,2,16,1
Mo,0.39224,2,16,1
Sb,0.3282,2,16,1
Sn,0.3822,2,16,1
NA,NA,3,16,1
As,0.37152,4,16,1
Cd,0.3426,4,16,1
Co,0.50808,4,16,1
Hg,0.32872,4,16,1
Ni,0.73176,4,16,1
Tl,0.53972,4,16,1
Pb,0.64296,4,16,1
Mo,0.49084,4,16,1
Sb,0.43716,4,16,1
Sn,0.3412,4,16,1
As,0.41416,5,16,1
Cd,0.49636,5,16,1
Co,0.56836,5,16,1
Hg,0.55484,5,16,1
Ni,0.60424,5,16,1
Tl,0.41576,5,16,1
Pb,0.53076,5,16,1
Mo,0.42792,5,16,1
Sb,0.75672,5,16,1
Sn,0.55728,5,16,1
As,0.29652,6,16,1
Cd,0.246,6,16,1
Co,0.29568,6,16,1
Hg,0.46532,6,16,1
Ni,0.56188,6,16,1
Tl,0.28556,6,16,1
Pb,0.26432,6,16,1
Mo,0.3182,6,16,1
Sb,0.28984,6,16,1
Sn,0.28092,6,16,1
As,0.53992,1,17,1
Cd,0.52632,1,17,1
Co,0.51444,1,17,1
Hg,0.51116,1,17,1
Ni,0.63216,1,17,1
Tl,0.79908,1,17,1
Pb,0.83816,1,17,1
Mo,0.87676,1,17,1
Sb,0.58656,1,17,1
Sn,0.8682,1,17,1
As,0.61804,2,17,1
Cd,0.50252,2,17,1
Co,0.82236,2,17,1
Hg,0.54096,2,17,1
Ni,0.60568,2,17,1
Tl,0.53824,2,17,1
Pb,0.52544,2,17,1
Mo,0.8084,2,17,1
Sb,0.5372,2,17,1
Sn,0.52808,2,17,1
