est,sd,race,trial,case
3.7146038158408334,0.787667922162899,1,1,1
1.2827944977348058,0.9200590942982234,2,1,1
0.8966129551857911,1.0659713303746121,3,1,1
1.0810147518146538,0.42713237498798234,4,1,1
1.79873154732568,0.4500480687704768,5,1,1
1.1791698326539892,1.2476583571464295,1,10,1
1.8227418979288847,0.829538765367556,2,10,1
-0.059639914659983084,1.1466289335256654,3,10,1
0.694799859383219,0.40988323506539226,4,10,1
1.525923707539325,0.3994012911971317,5,10,1
1.636939890861596,1.280030662801776,1,100,1
1.812019971459926,0.795463977328596,2,100,1
0.32154398384174465,1.086419922189776,3,100,1
1.1548240928460127,0.4414412003326636,4,100,1
0.4408654195662436,0.4468705169756098,5,100,1
1.397181461660363,0.9706287055468281,1,11,1
1.375561930556077,0.8561227313014764,2,11,1
-0.019638638633569627,2.146766474919689,3,11,1
1.509285371603705,0.5192024339644534,4,11,1
1.5336602518685005,0.495448833759206,5,11,1
3.774536984687729,1.3012636763455352,1,12,1
3.059603666405218,0.8420908046177317,2,12,1
3.01122513042717,0.9090477415022525,3,12,1
1.5518473535551234,0.459914749182996,4,12,1
0.987572142350333,0.47910843286186183,5,12,1
0.21308181755274758,1.3219193488932734,1,13,1
2.306834920900263,0.9110618647080329,2,13,1
1.024668788022642,0.8683120543571028,3,13,1
1.9587752937449205,0.43921263345583156,4,13,1
0.6226477703218194,0.4109436346798018,5,13,1
1.1410570283847306,0.9024151956323904,1,14,1
1.9101900874600246,0.7268000733011762,2,14,1
1.6948123023804897,1.872808794308551,3,14,1
0.7850364398086711,0.5077203860117417,4,14,1
0.5497843934439075,0.3474841457618409,5,14,1
1.240049572776134,0.8388739773495013,1,15,1
0.9213570842500334,0.7491083437161132,2,15,1
1.3901453260090069,1.8762805945999377,3,15,1
1.4248802529768763,0.4919857922570076,4,15,1
1.7097750706712342,0.4695660651684047,5,15,1
-0.6383385266383108,1.7212650583514266,1,16,1
1.4597426301804144,0.6788526806525048,2,16,1
0.4776729015050982,2.048378972292389,3,16,1
1.0598827944352749,0.5495827672366311,4,16,1
1.1945671751046203,0.45953698447916824,5,16,1
0.41959012868624,0.8963144813977943,1,17,1
0.6240865026292157,0.6220318566385495,2,17,1
1.5230990618677183,1.1793707584135125,3,17,1
2.3022014156227737,0.6685831644911779,4,17,1
1.4948380280958427,0.45288863136228696,5,17,1
0.9872033375610776,1.2709982053903197,1,18,1
