variable,PIP,trial,case
Tl,0.01836,3,1
Pb,0.03296,3,1
Mo,0.05468,3,1
Sb,1,3,1
Sn,0.15752,3,1
As,0.05872,30,1
Cd,0.0588,30,1
Co,0.03156,30,1
Hg,0.99484,30,1
Ni,1,30,1
Tl,0.0528,30,1
Pb,0.1054,30,1
Mo,0.03052,30,1
Sb,1,30,1
Sn,0.46604,30,1
As,0.24784,31,1
Cd,0.38232,31,1
Co,0.1572,31,1
Hg,1,31,1
Ni,1,31,1
Tl,0.18232,31,1
Pb,0.72968,31,1
Mo,0.21164,31,1
Sb,1,31,1
Sn,0.38544,31,1
As,0.08084,32,1
Cd,0.08812,32,1
Co,0.0462,32,1
Hg,1,32,1
Ni,1,32,1
Tl,0.07212,32,1
Pb,0.08376,32,1
Mo,0.02008,32,1
Sb,1,32,1
Sn,0.7976,32,1
As,0.07376,33,1
Cd,0.32324,33,1
Co,0.16244,33,1
Hg,1,33,1
Ni,1,33,1
Tl,0.223,33,1
Pb,0.35144,33,1
Mo,0.0512,33,1
Sb,1,33,1
Sn,0.97796,33,1
As,0.55996,34,1
Cd,0.31576,34,1
Co,0.34904,34,1
Hg,1,34,1
Ni,1,34,1
Tl,0.48224,34,1
Pb,0.31364,34,1
Mo,0.17896,34,1
Sb,1,34,1
Sn,1,34,1
As,0.13412,35,1
Cd,0.22036,35,1
Co,0.13668,35,1
Hg,1,35,1
Ni,1,35,1
Tl,0.33324,35,1
Pb,0.19476,35,1
Mo,0.1092,35,1
Sb,1,35,1
Sn,0.99884,35,1
As,0.17128,36,1
Cd,0.0834,36,1
Co,0.22628,36,1
Hg,1,36,1
Ni,1,36,1
Tl,0.24128,36,1
Pb,0.17276,36,1
Mo,0.13696,36,1
Sb,1,36,1
Sn,0.7794,36,1
As,0.09452,37,1
Cd,0.30368,37,1
Co,0.07152,37,1
Hg,1,37,1
Ni,1,37,1
Tl,0.11148,37,1
Pb,0.47772,37,1
Mo,0.08716,37,1
Sb,1,37,1
Sn,0.94924,37,1
As,0.04548,38,1
Cd,0.06528,38,1
Co,0.03536,38,1
Hg,1,38,1
Ni,1,38,1
Tl,0.04252,38,1
Pb,0.0714,38,1
Mo,0.1274,38,1
Sb,1,38,1
Sn,0.52856,38,1
As,0.12744,39,1
Cd,0.423,39,1
Co,0.34036,39,1
Hg,1,39,1
Ni,1,39,1
Tl,0.54872,39,1
Pb,0.23116,39,1
Mo,0.95972,39,1
Sb,1,39,1
Sn,0.99628,39,1
As,0.09068,4,1
Cd,0.30752,4,1
Co,0.30936,4,1
Hg,1,4,1
Ni,1,4,1
Tl,0.10092,4,1
Pb,0.14144,4,1
Mo,0.15984,4,1
Sb,1,4,1
Sn,0.91936,4,1
As,0.8452,40,1
Cd,0.75856,40,1
Co,0.71196,40,1
Hg,1,40,1
Ni,1,40,1
Tl,0.7426,40,1
Pb,0.82244,40,1
Mo,0.88996,40,1
Sb,1,40,1
Sn,0.99248,40,1
As,0.15488,41,1
Cd,0.24632,41,1
Co,0.19044,41,1
Hg,1,41,1
Ni,1,41,1
Tl,0.16076,41,1
Pb,0.1118,41,1
Mo,0.31008,41,1
Sb,1,41,1
Sn,0.99712,41,1
As,0.08288,42,1
Cd,0.20632,42,1
Co,0.10748,42,1
Hg,1,42,1
Ni,1,42,1
Tl,0.2854,42,1
Pb,0.20492,42,1
Mo,0.14964,42,1
Sb,1,42,1
Sn,0.12568,42,1
As,0.03908,43,1
Cd,0.1398,43,1
Co,0.46216,43,1
Hg,1,43,1
Ni,1,43,1
Tl,0.30084,43,1
Pb,0.13612,43,1
Mo,0.188,43,1
Sb,1,43,1
Sn,0.99652,43,1
As,0.07816,44,1
Cd,0.06104,44,1
Co,0.11824,44,1
Hg,1,44,1
Ni,0.9996,44,1
Tl,0.043,44,1
Pb,0.06188,44,1
Mo,0.11132,44,1
Sb,1,44,1
Sn,0.99884,44,1
As,0.07248,45,1
Cd,0.02504,45,1
Co,0.23684,45,1
Hg,1,45,1
Ni,1,45,1
Tl,0.07452,45,1
Pb,0.20248,45,1
Mo,0.02916,45,1
Sb,1,45,1
Sn,0.05844,45,1
As,0.78868,46,1
Cd,0.7066,46,1
Co,0.37488,46,1
Hg,0.99972,46,1
Ni,1,46,1
Tl,0.2338,46,1
Pb,0.27496,46,1
Mo,0.6668,46,1
Sb,1,46,1
Sn,0.61236,46,1
As,0.02608,47,1
Cd,0.00816,47,1
Co,0.02576,47,1
Hg,1,47,1
Ni,1,47,1
Tl,0.04592,47,1
Pb,0.02676,47,1
Mo,0.04464,47,1
Sb,1,47,1
Sn,0.01076,47,1
As,0.34556,48,1
Cd,0.1822,48,1
Co,0.24124,48,1
Hg,1,48,1
Ni,1,48,1
Tl,0.46132,48,1
Pb,0.23636,48,1
Mo,0.53852,48,1
Sb,1,48,1
Sn,0.99956,48,1
As,0.08652,49,1
