PIP,trial,df,case
0,1633,3,17
0,1634,2,17
0,1635,3,17
0,1636,3,17
0,1637,4,17
0,1638,3,17
0,1639,2,17
0,1640,2,17
0,1641,4,17
0,1642,3,17
0,1643,2,17
0,1644,3,17
0,1645,2,17
0,1646,2,17
0.3736,1647,1,17
0,1648,3,17
4.8e-4,1649,1,17
0,1650,4,17
0,1651,2,17
0,1652,3,17
0,1653,2,17
0,1654,3,17
0,1655,2,17
0,1656,3,17
0,1657,3,17
0,1658,1,17
0,1659,2,17
0,1660,3,17
0,1661,3,17
0,1662,4,17
1.5999999999999999e-4,1663,2,17
0,1664,2,17
0,1665,3,17
0,1666,3,17
0,1667,3,17
0,1668,2,17
0,1669,4,17
0,1670,3,17
0,1671,2,17
0,1672,4,17
0,1673,2,17
0,1674,3,17
0,1675,2,17
0,1676,2,17
9.6e-4,1677,1,17
0,1678,3,17
0,1679,2,17
0,1680,3,17
0,1681,3,17
0,1682,2,17
0,1683,3,17
0,1684,3,17
0,1685,4,17
0,1686,2,17
0,1687,3,17
0,1688,2,17
0,1689,2,17
0.0016,1690,2,17
0.08192,1691,1,17
0,1692,3,17
0,1693,4,17
0,1694,3,17
0,1695,2,17
0,1696,2,17
0,1697,4,17
0,1698,2,17
0,1699,2,17
1.5999999999999999e-4,1700,2,17
