variable,PIP,trial,df,case
LBX180LA,0.27104,17,3,1
LBX187LA,0.42016,17,3,1
LBX194LA,0.96336,17,3,1
LBXPCBLA,0.98368,17,3,1
LBXHXCLA,0.22832,17,3,1
LBX118LA,0.38144,17,3,1
LBXD03LA,0.32816,17,3,1
LBXD05LA,0.26416,17,3,1
LBXD07LA,0.07872,17,3,1
LBXF03LA,0.13712,17,3,1
LBXF04LA,0.5392,17,3,1
LBXF05LA,0.76832,17,3,1
LBXF08LA,0.06496,17,3,1
LBX074LA,0.26304,18,3,1
LBX099LA,0.09456,18,3,1
LBX138LA,0.05536,18,3,1
LBX153LA,0.05216,18,3,1
LBX170LA,0.04976,18,3,1
LBX180LA,0.12144,18,3,1
LBX187LA,0.05536,18,3,1
LBX194LA,0.99552,18,3,1
LBXPCBLA,0.15696,18,3,1
LBXHXCLA,0.20976,18,3,1
LBX118LA,0.24576,18,3,1
LBXD03LA,0.13696,18,3,1
LBXD05LA,0.99904,18,3,1
LBXD07LA,0.02944,18,3,1
LBXF03LA,0.0416,18,3,1
LBXF04LA,0.70192,18,3,1
LBXF05LA,0.03936,18,3,1
LBXF08LA,0.02512,18,3,1
LBX074LA,0.8456,19,2,1
LBX099LA,0.11376,19,2,1
LBX138LA,0.14192,19,2,1
LBX153LA,0.22368,19,2,1
LBX170LA,0.1632,19,2,1
LBX180LA,0.11824,19,2,1
LBX187LA,0.31104,19,2,1
LBX194LA,0.98272,19,2,1
LBXPCBLA,0.37648,19,2,1
LBXHXCLA,0.1056,19,2,1
LBX118LA,0.28368,19,2,1
LBXD03LA,0.1016,19,2,1
LBXD05LA,0.99216,19,2,1
LBXD07LA,0.15024,19,2,1
LBXF03LA,0.29824,19,2,1
LBXF04LA,0.90736000000000006,19,2,1
LBXF05LA,0.11664,19,2,1
LBXF08LA,0.05808,19,2,1
LBX074LA,0.87456,1,1,1
LBX099LA,0.14768,1,1,1
LBX138LA,0.2016,1,1,1
LBX153LA,0.22496,1,1,1
LBX170LA,0.27488,1,1,1
LBX180LA,0.17744,1,1,1
LBX187LA,0.20752,1,1,1
LBX194LA,0.8224,1,1,1
LBXPCBLA,0.1368,1,1,1
LBXHXCLA,0.15376,1,1,1
LBX118LA,0.25792,1,1,1
LBXD03LA,0.23968,1,1,1
LBXD05LA,0.97184,1,1,1
LBXD07LA,0.128,1,1,1
LBXF03LA,0.08128,1,1,1
LBXF04LA,0.1616,1,1,1
LBXF05LA,0.12384,1,1,1
LBXF08LA,0.06016,1,1,1
LBX074LA,0.42688,20,2,1
LBX099LA,0.10784,20,2,1
LBX138LA,0.19776,20,2,1
LBX153LA,0.12624,20,2,1
LBX170LA,0.13072,20,2,1
LBX180LA,0.14384,20,2,1
LBX187LA,0.10864,20,2,1
LBX194LA,0.99664,20,2,1
LBXPCBLA,0.07808,20,2,1
LBXHXCLA,0.12336,20,2,1
LBX118LA,0.71152,20,2,1
LBXD03LA,0.4336,20,2,1
LBXD05LA,0.9552,20,2,1
LBXD07LA,0.10096,20,2,1
LBXF03LA,0.1,20,2,1
LBXF04LA,0.99584,20,2,1
LBXF05LA,0.25904,20,2,1
LBXF08LA,0.20976,20,2,1
LBX074LA,0.9936,21,1,1
LBX099LA,0.12848,21,1,1
LBX138LA,0.1848,21,1,1
LBX153LA,0.28096,21,1,1
LBX170LA,0.53648,21,1,1
LBX180LA,0.20688,21,1,1
LBX187LA,0.24208,21,1,1
LBX194LA,0.58848,21,1,1
LBXPCBLA,0.52112,21,1,1
LBXHXCLA,0.1432,21,1,1
LBX118LA,0.1576,21,1,1
LBXD03LA,0.2064,21,1,1
LBXD05LA,0.9176,21,1,1
LBXD07LA,0.1464,21,1,1
LBXF03LA,0.13248,21,1,1
LBXF04LA,0.1088,21,1,1
LBXF05LA,0.15136,21,1,1
LBXF08LA,0.09232,21,1,1
LBX074LA,0.69648,22,3,1
LBX099LA,0.208,22,3,1
LBX138LA,0.22704,22,3,1
LBX153LA,0.60336,22,3,1
LBX170LA,0.30656,22,3,1
LBX180LA,0.46368,22,3,1
LBX187LA,0.13392,22,3,1
LBX194LA,0.60688,22,3,1
LBXPCBLA,0.32368,22,3,1
LBXHXCLA,0.13376,22,3,1
LBX118LA,0.85824,22,3,1
LBXD03LA,0.03792,22,3,1
LBXD05LA,0.08224,22,3,1
LBXD07LA,0.05136,22,3,1
LBXF03LA,0.04496,22,3,1
LBXF04LA,0.99984,22,3,1
LBXF05LA,0.53616,22,3,1
LBXF08LA,0.08352,22,3,1
LBX074LA,0.404,23,2,1
LBX099LA,0.23664,23,2,1
LBX138LA,0.41552,23,2,1
LBX153LA,0.41104,23,2,1
LBX170LA,0.46768,23,2,1
LBX180LA,0.56352,23,2,1
LBX187LA,0.37008,23,2,1
LBX194LA,0.97904,23,2,1
LBXPCBLA,0.532,23,2,1
LBXHXCLA,0.33456,23,2,1
LBX118LA,0.76752,23,2,1
LBXD03LA,0.21168,23,2,1
LBXD05LA,0.99904,23,2,1
LBXD07LA,0.21344,23,2,1
LBXF03LA,0.06128,23,2,1
LBXF04LA,0.60992,23,2,1
LBXF05LA,0.56384,23,2,1
LBXF08LA,0.33104,23,2,1
LBX074LA,0.8008,24,3,1
LBX099LA,0.05936,24,3,1
LBX138LA,0.1064,24,3,1
LBX153LA,0.0968,24,3,1
LBX170LA,0.636,24,3,1
LBX180LA,0.12336,24,3,1
LBX187LA,0.29744,24,3,1
LBX194LA,0.49008,24,3,1
LBXPCBLA,0.99664,24,3,1
LBXHXCLA,0.05936,24,3,1
LBX118LA,0.22048,24,3,1
LBXD03LA,0.0672,24,3,1
LBXD05LA,0.10768,24,3,1
LBXD07LA,0.70176,24,3,1
LBXF03LA,0.06992,24,3,1
LBXF04LA,0.99968,24,3,1
LBXF05LA,0.10176,24,3,1
LBXF08LA,0.03648,24,3,1
LBX074LA,0.35008,25,2,1
LBX099LA,0.4144,25,2,1
LBX138LA,0.14784,25,2,1
LBX153LA,0.15264,25,2,1
LBX170LA,0.18624,25,2,1
LBX180LA,0.1848,25,2,1
LBX187LA,0.27264,25,2,1
LBX194LA,0.99248,25,2,1
LBXPCBLA,0.90752,25,2,1
LBXHXCLA,0.1168,25,2,1
LBX118LA,0.13376,25,2,1
LBXD03LA,0.16784,25,2,1
LBXD05LA,0.07856,25,2,1
LBXD07LA,0.18288,25,2,1
LBXF03LA,0.116,25,2,1
LBXF04LA,0.9536,25,2,1
LBXF05LA,0.08928,25,2,1
LBXF08LA,0.05008,25,2,1
LBX074LA,0.59648,26,3,1
LBX099LA,0.17936,26,3,1
LBX138LA,0.1208,26,3,1
LBX153LA,0.16896,26,3,1
LBX170LA,0.54784,26,3,1
LBX180LA,0.2912,26,3,1
LBX187LA,0.13984,26,3,1
LBX194LA,0.88608,26,3,1
LBXPCBLA,0.17696,26,3,1
LBXHXCLA,0.96912,26,3,1
LBX118LA,0.35344,26,3,1
LBXD03LA,0.30768,26,3,1
LBXD05LA,0.87568,26,3,1
LBXD07LA,0.19424,26,3,1
LBXF03LA,0.22816,26,3,1
LBXF04LA,0.21696,26,3,1
LBXF05LA,0.64672,26,3,1
LBXF08LA,0.64192,26,3,1
LBX074LA,0.82704,27,3,1
LBX099LA,0.08768,27,3,1
LBX138LA,0.13616,27,3,1
LBX153LA,0.13696,27,3,1
LBX170LA,0.05744,27,3,1
LBX180LA,0.07296,27,3,1
LBX187LA,0.18608,27,3,1
LBX194LA,0.94544,27,3,1
LBXPCBLA,0.32256,27,3,1
LBXHXCLA,0.04544,27,3,1
LBX118LA,0.2792,27,3,1
LBXD03LA,0.0912,27,3,1
LBXD05LA,0.61296,27,3,1
LBXD07LA,0.08384,27,3,1
LBXF03LA,0.08208,27,3,1
LBXF04LA,0.90528,27,3,1
LBXF05LA,0.044,27,3,1
LBXF08LA,0.0456,27,3,1
LBX074LA,0.99104,28,4,1
LBX099LA,0.06144,28,4,1
LBX138LA,0.03136,28,4,1
LBX153LA,0.0584,28,4,1
LBX170LA,0.09136,28,4,1
LBX180LA,0.07008,28,4,1
LBX187LA,0.04704,28,4,1
LBX194LA,0.5488,28,4,1
LBXPCBLA,0.32544,28,4,1
LBXHXCLA,0.06928,28,4,1
LBX118LA,0.39536,28,4,1
LBXD03LA,0.06608,28,4,1
LBXD05LA,1,28,4,1
LBXD07LA,0.056,28,4,1
LBXF03LA,0.03008,28,4,1
LBXF04LA,1,28,4,1
LBXF05LA,0.10032,28,4,1
LBXF08LA,0.02224,28,4,1
LBX074LA,0.79584,29,2,1
LBX099LA,0.30736,29,2,1
LBX138LA,0.2584,29,2,1
LBX153LA,0.3008,29,2,1
LBX170LA,0.2656,29,2,1
LBX180LA,0.45264,29,2,1
LBX187LA,0.40976,29,2,1
LBX194LA,0.7784,29,2,1
LBXPCBLA,0.11936,29,2,1
LBXHXCLA,0.5184,29,2,1
LBX118LA,0.55808,29,2,1
LBXD03LA,0.11904000000000001,29,2,1
LBXD05LA,0.97632,29,2,1
LBXD07LA,0.128,29,2,1
LBXF03LA,0.07552,29,2,1
LBXF04LA,0.99968,29,2,1
LBXF05LA,0.29376,29,2,1
LBXF08LA,0.2232,29,2,1
LBX074LA,0.75248,2,2,1
LBX099LA,0.10496,2,2,1
LBX138LA,0.29248,2,2,1
LBX153LA,0.1352,2,2,1
LBX170LA,0.1184,2,2,1
LBX180LA,0.2344,2,2,1
LBX187LA,0.08576,2,2,1
LBX194LA,0.53408,2,2,1
LBXPCBLA,0.98336,2,2,1
LBXHXCLA,0.07568,2,2,1
LBX118LA,0.23552,2,2,1
LBXD03LA,0.16592,2,2,1
LBXD05LA,0.67776,2,2,1
LBXD07LA,0.47456,2,2,1
LBXF03LA,0.1176,2,2,1
LBXF04LA,0.93648,2,2,1
LBXF05LA,0.0624,2,2,1
LBXF08LA,0.09968,2,2,1
LBX074LA,0.85424,30,2,1
LBX099LA,0.42304,30,2,1
LBX138LA,0.20016,30,2,1
LBX153LA,0.27696,30,2,1
LBX170LA,0.2096,30,2,1
LBX180LA,0.29792,30,2,1
LBX187LA,0.224,30,2,1
LBX194LA,0.51376,30,2,1
LBXPCBLA,0.7416,30,2,1
LBXHXCLA,0.25072,30,2,1
LBX118LA,0.27136,30,2,1
LBXD03LA,0.19792,30,2,1
LBXD05LA,0.37248,30,2,1
LBXD07LA,0.26928,30,2,1
LBXF03LA,0.0896,30,2,1
LBXF04LA,0.99856,30,2,1
LBXF05LA,0.1024,30,2,1
LBXF08LA,0.05344,30,2,1
LBX074LA,0.35536,31,2,1
LBX099LA,0.07008,31,2,1
LBX138LA,0.27616,31,2,1
LBX153LA,0.15216,31,2,1
LBX170LA,0.10608,31,2,1
LBX180LA,0.07696,31,2,1
LBX187LA,0.05328,31,2,1
LBX194LA,0.1136,31,2,1
LBXPCBLA,0.0928,31,2,1
LBXHXCLA,0.1768,31,2,1
LBX118LA,0.59472,31,2,1
LBXD03LA,0.06208,31,2,1
LBXD05LA,0.64896,31,2,1
LBXD07LA,0.16704,31,2,1
LBXF03LA,0.02544,31,2,1
LBXF04LA,0.99984,31,2,1
LBXF05LA,0.06128,31,2,1
LBXF08LA,0.03232,31,2,1
LBX074LA,0.364,32,3,1
LBX099LA,0.6808,32,3,1
LBX138LA,0.17824,32,3,1
LBX153LA,0.14224,32,3,1
LBX170LA,0.18064,32,3,1
LBX180LA,0.3352,32,3,1
LBX187LA,0.17504,32,3,1
LBX194LA,0.9784,32,3,1
LBXPCBLA,0.14928,32,3,1
LBXHXCLA,0.66096,32,3,1
LBX118LA,0.35056,32,3,1
LBXD03LA,0.08272,32,3,1
LBXD05LA,0.98992,32,3,1
LBXD07LA,0.21472,32,3,1
LBXF03LA,0.13184,32,3,1
LBXF04LA,0.84304,32,3,1
LBXF05LA,0.18352,32,3,1
LBXF08LA,0.05456,32,3,1
LBX074LA,0.84848,33,3,1
LBX099LA,0.13776,33,3,1
LBX138LA,0.21008,33,3,1
LBX153LA,0.46064,33,3,1
LBX170LA,0.22464,33,3,1
LBX180LA,0.13296,33,3,1
LBX187LA,0.2224,33,3,1
LBX194LA,0.98432,33,3,1
LBXPCBLA,0.30464,33,3,1
LBXHXCLA,0.12624,33,3,1
LBX118LA,0.33392,33,3,1
LBXD03LA,0.15728,33,3,1
LBXD05LA,0.81984,33,3,1
LBXD07LA,0.296,33,3,1
LBXF03LA,0.07312,33,3,1
LBXF04LA,0.88144,33,3,1
LBXF05LA,0.30544,33,3,1
LBXF08LA,0.10192,33,3,1
