mod,case,size,var,variable,sensitivity
Oracle MLR,11,Large,Ni:Co,Int,0.98
Oracle MLR,11,Large,Sb,Sb,0.83
Oracle MLR,11,Large,Sb^2,Sb^2,1
Oracle MLR,11,Large,Sn*,Sn*,0.94
Oracle MLR,11,Small,Hg,Hg,0.84
Oracle MLR,11,Small,Ni*,Ni*,0.27666666666666667
Oracle MLR,11,Small,Ni:Co,Int,0.5
Oracle MLR,11,Small,Sb^2,Sb^2,0.95
Oracle MLR,11,Small,Sn*,Sn*,0.32
Oracle MLR,12,Large,Hg,Hg,1
Oracle MLR,12,Large,I(Ni * ((Co - 1)^2)),Int,0.53
Oracle MLR,12,Large,Ni*,Ni*,0.765
Oracle MLR,12,Large,Sb,Sb,0.73
Oracle MLR,12,Large,Sb^2,Sb^2,1
Oracle MLR,12,Large,Sn*,Sn*,0.95
Oracle MLR,12,Small,Hg,Hg,0.89
Oracle MLR,12,Small,I(Ni * ((Co - 1)^2)),Int,0.16
Oracle MLR,12,Small,Ni*,Ni*,0.48
Oracle MLR,12,Small,Sb^2,Sb^2,0.95
Oracle MLR,12,Small,Sn*,Sn*,0.35
Oracle MLR,13,Large,Hg,Hg,1
Oracle MLR,13,Large,I(Ni * ((Co - 1)^2)),Int,0.97
Oracle MLR,13,Large,Ni*,Ni*,0.985
Oracle MLR,13,Large,Sb,Sb,0.83
Oracle MLR,13,Large,Sb^2,Sb^2,1
Oracle MLR,13,Large,Sn*,Sn*,0.91
Oracle MLR,13,Small,Hg,Hg,0.84
Oracle MLR,13,Small,I(Ni * ((Co - 1)^2)),Int,0.54
Oracle MLR,13,Small,Ni*,Ni*,0.695
Oracle MLR,13,Small,Sb^2,Sb^2,0.96
Oracle MLR,13,Small,Sn*,Sn*,0.42
Oracle MLR,14,Large,Hg,Hg,1
Oracle MLR,14,Large,Hg:Ni:Tl,Int,0.45
Oracle MLR,14,Large,Ni*,Ni*,0.725
Oracle MLR,14,Large,Sb,Sb,0.84
Oracle MLR,14,Large,Sb^2,Sb^2,1
Oracle MLR,14,Large,Sn*,Sn*,0.93
Oracle MLR,14,Small,Hg,Hg,0.89
Oracle MLR,14,Small,Hg:Ni:Tl,Int,0.19
Oracle MLR,14,Small,Ni*,Ni*,0.56
Oracle MLR,14,Small,Sb^2,Sb^2,0.98
Oracle MLR,14,Small,Sn*,Sn*,0.34
Oracle MLR,15,Large,Hg,Hg,1
Oracle MLR,15,Large,Hg:Ni:Tl,Int,0.97
Oracle MLR,15,Large,Ni*,Ni*,0.985
Oracle MLR,15,Large,Sb,Sb,0.79
Oracle MLR,15,Large,Sb^2,Sb^2,1
Oracle MLR,15,Large,Sn*,Sn*,0.91
Oracle MLR,15,Small,Hg,Hg,0.85
Oracle MLR,15,Small,Hg:Ni:Tl,Int,0.5
Oracle MLR,15,Small,Ni*,Ni*,0.725
Oracle MLR,15,Small,Sb^2,Sb^2,1
Oracle MLR,15,Small,Sn*,Sn*,0.36
Oracle MLR,16,Large,Hg,Hg,1
Oracle MLR,16,Large,I(Hg * ((Ni - 1)^2) * Tl),Int,0.48
Oracle MLR,16,Large,Ni*,Ni*,0.74
Oracle MLR,16,Large,Sb,Sb,0.79
Oracle MLR,16,Large,Sb^2,Sb^2,1
Oracle MLR,16,Large,Sn*,Sn*,0.93
Oracle MLR,16,Small,Hg,Hg,0.91
Oracle MLR,16,Small,I(Hg * ((Ni - 1)^2) * Tl),Int,0.1
Oracle MLR,16,Small,Ni*,Ni*,0.505
Oracle MLR,16,Small,Sb^2,Sb^2,0.96
Oracle MLR,16,Small,Sn*,Sn*,0.33
Oracle MLR,17,Large,Hg,Hg,1
Oracle MLR,17,Large,I(Hg * ((Ni - 1)^2) * Tl),Int,0.96
Oracle MLR,17,Large,Ni*,Ni*,0.98
Oracle MLR,17,Large,Sb,Sb,0.78
Oracle MLR,17,Large,Sb^2,Sb^2,1
Oracle MLR,17,Large,Sn*,Sn*,0.93
Oracle MLR,17,Small,Hg,Hg,0.83
Oracle MLR,17,Small,I(Hg * ((Ni - 1)^2) * Tl),Int,0.49
Oracle MLR,17,Small,Ni*,Ni*,0.7
Oracle MLR,17,Small,Sb^2,Sb^2,0.95
Oracle MLR,17,Small,Sn*,Sn*,0.45
