size,case,trial,variable,p
Large,1,14,Sb^2,2.2380367085805394e-17
Large,1,14,Sn*,3.164302343385289e-4
Small,1,15,Int,0.9392048378697264
Small,1,15,Hg,0.01138798164877362
Small,1,15,Ni*,4.847142904459968e-4
Small,1,15,Sb^2,4.4856892327002735e-8
Small,1,15,Sn*,0.8053443971771044
Large,1,15,Int,0.32334011480584535
Large,1,15,Hg,1.3046546829019958e-10
Large,1,15,Ni*,7.148657256086814e-8
Large,1,15,Sb^2,4.796808102869901e-13
Large,1,15,Sn*,0.00193453941512435
Small,1,16,Int,0.43956033589397625
Small,1,16,Hg,0.03245174253609975
Small,1,16,Ni*,8.623923482732288e-5
Small,1,16,Sb^2,0.03578693953283579
Small,1,16,Sn*,0.08629796443403595
Large,1,16,Int,0.591588812946362
Large,1,16,Hg,6.348124365052843e-9
Large,1,16,Ni*,5.263318279396107e-11
Large,1,16,Sb^2,4.228305025980531e-16
Large,1,16,Sn*,8.018718360169918e-4
Small,1,17,Int,0.9810696585189866
Small,1,17,Hg,0.01652235896276179
Small,1,17,Ni*,0.02066504713933728
Small,1,17,Sb^2,3.5386047717716173e-6
Small,1,17,Sn*,0.7274651694495573
Large,1,17,Int,0.7371053159761995
Large,1,17,Hg,9.668282348878892e-12
Large,1,17,Ni*,5.246036229217997e-15
Large,1,17,Sb^2,3.153242953716462e-17
Large,1,17,Sn*,0.26494161492194335
Small,1,18,Int,0.9335937153379584
Small,1,18,Hg,2.731448581671837e-4
Small,1,18,Ni*,9.82650023360305e-6
Small,1,18,Sb^2,0.00500414529163604
Small,1,18,Sn*,0.05061859509909128
Large,1,18,Int,0.6213318077359189
Large,1,18,Hg,1.384854006218908e-9
Large,1,18,Ni*,2.8921281287865893e-13
Large,1,18,Sb^2,2.5198130843410858e-17
Large,1,18,Sn*,1.5962835645751247e-4
Small,1,19,Int,0.30086793383165206
Small,1,19,Hg,1.9297522078431117e-6
Small,1,19,Ni*,1.639235050583328e-5
Small,1,19,Sb^2,1.1245071106470262e-5
Small,1,19,Sn*,0.06965147090440568
Large,1,19,Int,0.9155231721313726
Large,1,19,Hg,3.659923658191378e-10
Large,1,19,Ni*,1.4247723541134012e-14
Large,1,19,Sb^2,4.514487870876805e-13
Large,1,19,Sn*,0.00830438106331339
Small,1,20,Int,0.8735177597115737
Small,1,20,Hg,0.00145021838857299
Small,1,20,Ni*,0.00295474764128287
Small,1,20,Sb^2,0.01434642580959591
Small,1,20,Sn*,0.22287677296024777
Large,1,20,Int,0.9436166334553656
Large,1,20,Hg,1.1871518623663268e-7
Large,1,20,Ni*,8.802517144482689e-13
Large,1,20,Sb^2,2.0035611108534749e-22
Large,1,20,Sn*,0.00141446073793371
Small,1,21,Int,0.5663389604782014
Small,1,21,Hg,0.14163667918341466
Small,1,21,Ni*,2.4525541847278454e-5
Small,1,21,Sb^2,1.9832549219681506e-6
Small,1,21,Sn*,0.6813092935179179
Large,1,21,Int,0.0061390202063938
Large,1,21,Hg,1.705088007394841e-8
Large,1,21,Ni*,2.3485652064677188e-12
Large,1,21,Sb^2,2.017836537938069e-15
Large,1,21,Sn*,9.767593769493622e-6
Small,1,22,Int,0.4387601081925979
Small,1,22,Hg,3.618707779489226e-4
Small,1,22,Ni*,0.00386427133390886
Small,1,22,Sb^2,0.00281269150368924
Small,1,22,Sn*,0.09488931651689352
Large,1,22,Int,0.25370671458545296
Large,1,22,Hg,3.652176256844952e-7
Large,1,22,Ni*,5.3036596104919586e-8
Large,1,22,Sb^2,1.1902387436025397e-11
Large,1,22,Sn*,1.4033073837229702e-5
Small,1,23,Int,0.6834417170675156
Small,1,23,Hg,0.00572216023852804
Small,1,23,Ni*,6.915984573237609e-5
Small,1,23,Sb^2,1.3588680690365803e-6
Small,1,23,Sn*,0.01705024696011201
Large,1,23,Int,0.0755540927475755
Large,1,23,Hg,4.0976654959273465e-6
Large,1,23,Ni*,1.592231312413443e-13
Large,1,23,Sb^2,7.8594073424413875e-22
Large,1,23,Sn*,0.00602439410418183
Small,1,24,Int,0.06560512826743162
Small,1,24,Hg,0.13772164997405056
Small,1,24,Ni*,8.133061929853125e-4
Small,1,24,Sb^2,0.00110378528331078
Small,1,24,Sn*,0.00798651591807854
Large,1,24,Int,0.29537335939872766
Large,1,24,Hg,1.0484235713696244e-10
Large,1,24,Ni*,1.1695567069870605e-14
Large,1,24,Sb^2,6.774276970580358e-16
Large,1,24,Sn*,1.9809635145802385e-6
Small,1,25,Int,0.8893505533184443
Small,1,25,Hg,0.05422343403286629
Small,1,25,Ni*,0.01644748185006576
Small,1,25,Sb^2,5.356168969015148e-5
Small,1,25,Sn*,0.21329711404363377
Large,1,25,Int,0.5459746428826057
Large,1,25,Hg,7.874717346973038e-12
Large,1,25,Ni*,1.977142618801226e-11
Large,1,25,Sb^2,3.621890335344033e-13
Large,1,25,Sn*,1.0726166634632384e-5
Small,1,26,Int,0.3282313882881719
Small,1,26,Hg,0.19289178388372336
Small,1,26,Ni*,0.0182326029832046
Small,1,26,Sb^2,0.00364310127120747
Small,1,26,Sn*,0.00747054605700281
Large,1,26,Int,0.03420241577386519
Large,1,26,Hg,9.241460356000414e-6
Large,1,26,Ni*,8.484973625953663e-13
Large,1,26,Sb^2,3.163019289191118e-13
Large,1,26,Sn*,4.302772545494575e-5
Small,1,27,Int,0.9388342384659912
Small,1,27,Hg,5.4072082338396626e-5
Small,1,27,Ni*,0.00350180218449219
Small,1,27,Sb^2,4.907644580787583e-4
Small,1,27,Sn*,0.15445800661003925
Large,1,27,Int,0.35886643245192773
Large,1,27,Hg,1.0581352717473529e-7
Large,1,27,Ni*,1.1453247488218096e-15
Large,1,27,Sb^2,8.473655923813638e-21
Large,1,27,Sn*,1.4757695623205246e-7
Small,1,28,Int,0.38170373500570376
Small,1,28,Hg,0.2849474368004538
Small,1,28,Ni*,0.00100360758817342
Small,1,28,Sb^2,8.768977905624478e-6
Small,1,28,Sn*,0.95238503630292
Large,1,28,Int,0.02497619112104879
Large,1,28,Hg,4.733768176769213e-7
Large,1,28,Ni*,6.717038223239035e-12
Large,1,28,Sb^2,7.515803378170455e-18
Large,1,28,Sn*,0.00595126790235762
Small,1,29,Int,0.2401068128281472
Small,1,29,Hg,8.082650079777431e-4
Small,1,29,Ni*,0.0067949621201028
Small,1,29,Sb^2,9.392897536003594e-5
Small,1,29,Sn*,0.5197036521267625
Large,1,29,Int,0.9754922702187608
Large,1,29,Hg,5.872191786422135e-11
Large,1,29,Ni*,5.131122532019543e-11
Large,1,29,Sb^2,5.8649747296751426e-15
Large,1,29,Sn*,4.359841422953253e-5
Small,1,30,Int,0.04158324625170043
Small,1,30,Hg,0.00609047787379219
Small,1,30,Ni*,2.2458374169311417e-5
Small,1,30,Sb^2,3.3661719650081946e-5
Small,1,30,Sn*,0.13865061080899388
Large,1,30,Int,0.11527979523527336
Large,1,30,Hg,1.2653472555157342e-8
Large,1,30,Ni*,1.0830425561942275e-8
Large,1,30,Sb^2,1.0899383213495791e-11
Large,1,30,Sn*,1.9726736425332147e-5
Small,1,31,Int,0.13981437677069597
Small,1,31,Hg,3.0818260409428636e-4
Small,1,31,Ni*,9.792068100945496e-5
Small,1,31,Sb^2,9.379513967227567e-6
Small,1,31,Sn*,0.20622373988159776
Large,1,31,Int,4.7921283205841936e-4
Large,1,31,Hg,1.0072276520144384e-10
Large,1,31,Ni*,1.1992947259545437e-7
Large,1,31,Sb^2,2.763279731300549e-12
Large,1,31,Sn*,1.1286595345391842e-4
Small,1,32,Int,0.5242921167526946
Small,1,32,Hg,5.725750283891965e-5
Small,1,32,Ni*,8.897237151419778e-4
Small,1,32,Sb^2,2.9585713355674642e-8
Small,1,32,Sn*,0.03436762316474929
Large,1,32,Int,0.2859957125633279
Large,1,32,Hg,3.181488635838977e-13
Large,1,32,Ni*,5.4581613913419424e-15
Large,1,32,Sb^2,3.580477010268599e-13
Large,1,32,Sn*,2.498010019273786e-4
Small,1,33,Int,0.41660435240692306
Small,1,33,Hg,4.156060528331303e-4
Small,1,33,Ni*,3.069445429021771e-5
Small,1,33,Sb^2,2.2037307345451e-4
Small,1,33,Sn*,0.0917519633218505
Large,1,33,Int,0.17238221021013897
Large,1,33,Hg,1.56250781387713e-10
Large,1,33,Ni*,9.47530682213548e-10
Large,1,33,Sb^2,4.8878274174908785e-12
Large,1,33,Sn*,9.339651320684938e-6
Small,1,34,Int,0.6901059423399073
Small,1,34,Hg,0.01062680374103264
Small,1,34,Ni*,1.817351372707006e-6
Small,1,34,Sb^2,2.2732843296752312e-5
Small,1,34,Sn*,0.03037486925651768
Large,1,34,Int,0.25348446874476616
Large,1,34,Hg,6.659116587242834e-13
Large,1,34,Ni*,3.4635217641935753e-19
Large,1,34,Sb^2,1.250125845639543e-13
Large,1,34,Sn*,0.02738573081732032
Small,1,35,Int,0.15783254609541836
Small,1,35,Hg,1.9707192770764936e-4
Small,1,35,Ni*,6.588525493946125e-4
Small,1,35,Sb^2,0.00950086789594698
Small,1,35,Sn*,2.72034299774803e-4
Large,1,35,Int,0.18257405370072663
Large,1,35,Hg,1.0595148125104884e-8
Large,1,35,Ni*,5.728818439895222e-15
Large,1,35,Sb^2,1.3656284641976024e-15
Large,1,35,Sn*,0.0011772093601469
Small,1,36,Int,0.9807640625912104
Small,1,36,Hg,2.6362467962964375e-4
Small,1,36,Ni*,6.416946676262379e-5
Small,1,36,Sb^2,2.8832715766993606e-6
Small,1,36,Sn*,0.4352592013176369
Large,1,36,Int,0.28317359793004787
Large,1,36,Hg,6.884733506167929e-8
Large,1,36,Ni*,2.51139089835793e-15
Large,1,36,Sb^2,5.5255423813906816e-12
Large,1,36,Sn*,0.00329954615173633
Small,1,37,Int,0.4279382180047081
Small,1,37,Hg,9.674870844249224e-4
Small,1,37,Ni*,0.05382072406461805
Small,1,37,Sb^2,4.473209475504697e-7
Small,1,37,Sn*,0.26732624755379086
Large,1,37,Int,0.48749337343544175
Large,1,37,Hg,5.0761848822381564e-11
Large,1,37,Ni*,2.6223369196151026e-15
Large,1,37,Sb^2,5.836325537457068e-17
Large,1,37,Sn*,1.5622901321107856e-6
Small,1,38,Int,0.5549305028762332
Small,1,38,Hg,0.00159320423535663
Small,1,38,Ni*,0.00217289104610661
Small,1,38,Sb^2,0.03005275846730502
Small,1,38,Sn*,0.0685124566773383
Large,1,38,Int,0.3860054057394887
Large,1,38,Hg,1.885854873671364e-13
Large,1,38,Ni*,1.0709434937681287e-13
Large,1,38,Sb^2,7.28000049804362e-16
Large,1,38,Sn*,7.4932165236215e-4
Small,1,39,Int,0.588425021930164
Small,1,39,Hg,7.072960079829458e-5
Small,1,39,Ni*,0.01824122454755597
Small,1,39,Sb^2,0.3900011348404052
Small,1,39,Sn*,0.01993824351921387
Large,1,39,Int,0.6393013081181398
Large,1,39,Hg,1.1301529343835015e-7
Large,1,39,Ni*,2.714488752827302e-13
Large,1,39,Sb^2,2.7877927782402927e-9
Large,1,39,Sn*,1.415519240702398e-5
Small,1,40,Int,0.00366175686921948
Small,1,40,Hg,6.008215564982317e-5
Small,1,40,Ni*,3.3014242907977674e-5
Small,1,40,Sb^2,5.936907151500913e-5
Small,1,40,Sn*,0.08641882749452268
Large,1,40,Int,0.5199279745183245
Large,1,40,Hg,2.738823382462783e-12
Large,1,40,Ni*,4.956815847201923e-13
Large,1,40,Sb^2,9.822092769315819e-15
Large,1,40,Sn*,0.00200647684026545
Small,1,41,Int,0.5066780105019113
Small,1,41,Hg,8.751833403136e-5
Small,1,41,Ni*,3.178771174108965e-5
Small,1,41,Sb^2,1.4641454719582549e-5
Small,1,41,Sn*,0.00901668863866344
Large,1,41,Int,0.06567103571488514
Large,1,41,Hg,1.5998359975993968e-7
Large,1,41,Ni*,5.372832610525853e-9
Large,1,41,Sb^2,1.061560744972536e-19
Large,1,41,Sn*,9.36247997412466e-6
Small,1,42,Int,0.00652052942565756
Small,1,42,Hg,0.03673239755008607
Small,1,42,Ni*,8.872392476685871e-5
Small,1,42,Sb^2,2.140360044563584e-4
Small,1,42,Sn*,0.019915958653686672
Large,1,42,Int,0.19232012803525156
Large,1,42,Hg,1.2968633239711792e-7
Large,1,42,Ni*,1.4702157843661412e-16
Large,1,42,Sb^2,4.941756229552354e-13
Large,1,42,Sn*,0.01370793889213393
Small,1,43,Int,0.9122782316383216
Small,1,43,Hg,7.95594642492418e-6
Small,1,43,Ni*,4.6250332154316353e-4
Small,1,43,Sb^2,0.00129385667284024
Small,1,43,Sn*,0.0041623221198176
Large,1,43,Int,0.2070861892524034
Large,1,43,Hg,1.3343456627708285e-10
Large,1,43,Ni*,4.0550768611986254e-15
Large,1,43,Sb^2,2.778001185809008e-12
Large,1,43,Sn*,6.955729102396826e-5
Small,1,44,Int,0.01789093984716121
Small,1,44,Hg,0.09804232167537807
Small,1,44,Ni*,0.00139706513317618
Small,1,44,Sb^2,2.730826801273937e-4
Small,1,44,Sn*,0.04942098662887312
Large,1,44,Int,0.13385831280320093
Large,1,44,Hg,4.513650018582089e-13
Large,1,44,Ni*,3.91321262974567e-10
Large,1,44,Sb^2,1.400458543293786e-11
Large,1,44,Sn*,0.00108702566644878
Small,1,45,Int,0.4039248025134272
Small,1,45,Hg,8.555010469812078e-4
Small,1,45,Ni*,0.06230106093366994
Small,1,45,Sb^2,4.876742821950157e-6
Small,1,45,Sn*,0.09603758550617816
Large,1,45,Int,0.9820082230644348
Large,1,45,Hg,8.457662593273589e-8
Large,1,45,Ni*,6.25521466515581e-16
Large,1,45,Sb^2,3.080695912348247e-11
Large,1,45,Sn*,2.2503293565825344e-4
Small,1,46,Int,0.09358550906463796
Small,1,46,Hg,0.00225540802008085
Small,1,46,Ni*,1.3599337022617483e-4
Small,1,46,Sb^2,1.507401577618332e-4
Small,1,46,Sn*,0.903898808207862
Large,1,46,Int,0.6421450957096906
Large,1,46,Hg,1.81445269044979e-7
Large,1,46,Ni*,1.086508267835108e-10
Large,1,46,Sb^2,1.276899377017006e-13
Large,1,46,Sn*,7.095244992007155e-4
Small,1,47,Int,0.2702951430897625
Small,1,47,Hg,0.00124238999785356
Small,1,47,Ni*,0.00266100187638414
Small,1,47,Sb^2,3.4997519589473284e-6
Small,1,47,Sn*,0.4732643311760528
Large,1,47,Int,0.5006694092046857
Large,1,47,Hg,2.740527293157689e-8
Large,1,47,Ni*,2.5213615567742152e-9
Large,1,47,Sb^2,3.559169079534296e-17
Large,1,47,Sn*,1.629760486484673e-4
Small,1,48,Int,0.5501586274561621
Small,1,48,Hg,5.413466392664546e-4
Small,1,48,Ni*,0.00934895556517855
Small,1,48,Sb^2,5.803766766450867e-6
Small,1,48,Sn*,0.04175578137226957
Large,1,48,Int,0.28874648046187557
Large,1,48,Hg,1.6310001752762029e-6
Large,1,48,Ni*,6.777651273219727e-10
Large,1,48,Sb^2,4.206339466437083e-10
Large,1,48,Sn*,3.4212583172265102e-6
Small,1,49,Int,0.9457200579120808
Small,1,49,Hg,0.00247162219813325
Small,1,49,Ni*,0.0160730424458228
Small,1,49,Sb^2,0.0386256463832727
Small,1,49,Sn*,0.09501828200248329
Large,1,49,Int,0.3382802109160349
Large,1,49,Hg,1.0390169708367282e-6
Large,1,49,Ni*,8.07888200887487e-10
Large,1,49,Sb^2,4.4429517503168703e-10
Large,1,49,Sn*,0.00535914857616343
Small,1,50,Int,0.30207267841507124
Small,1,50,Hg,0.00390518734762554
Small,1,50,Ni*,0.0487962579808239
Small,1,50,Sb^2,0.00136941715992735
Small,1,50,Sn*,0.00746108586635723
Large,1,50,Int,0.03549439810380879
Large,1,50,Hg,5.642877374124226e-8
Large,1,50,Ni*,8.925944056761927e-18
Large,1,50,Sb^2,3.8621225538712954e-25
Large,1,50,Sn*,0.0080114552701646
Small,1,51,Int,0.7238457724500377
Small,1,51,Hg,6.797058575861934e-8
Small,1,51,Ni*,4.315052540353467e-7
Small,1,51,Sb^2,9.84479535458769e-5
Small,1,51,Sn*,0.35126621592698004
Large,1,51,Int,0.1878261621626522
Large,1,51,Hg,5.003340150371041e-10
Large,1,51,Ni*,3.377010544343257e-13
Large,1,51,Sb^2,4.624534153472769e-9
Large,1,51,Sn*,2.1138103719903803e-4
Small,1,52,Int,0.33757910484456677
Small,1,52,Hg,0.07143418003167872
Small,1,52,Ni*,0.00298679456540819
Small,1,52,Sb^2,0.03287247170111085
Small,1,52,Sn*,0.01796235698246498
Large,1,52,Int,0.124991508000886
Large,1,52,Hg,1.5705753716305537e-5
Large,1,52,Ni*,1.4069833059183814e-6
Large,1,52,Sb^2,3.044989374444169e-11
Large,1,52,Sn*,5.074708361547198e-4
Small,1,53,Int,0.08878565509893446
Small,1,53,Hg,0.02942118369758613
Small,1,53,Ni*,7.13009239871972e-5
Small,1,53,Sb^2,5.351229480486968e-5
Small,1,53,Sn*,0.02907017513432373
Large,1,53,Int,0.11856638334380734
Large,1,53,Hg,5.245553644824693e-7
Large,1,53,Ni*,1.028212746084324e-6
Large,1,53,Sb^2,5.317239108666275e-16
Large,1,53,Sn*,2.088375119770209e-6
Small,1,54,Int,0.33503317790666076
Small,1,54,Hg,0.10136200588059768
Small,1,54,Ni*,0.00109684744202876
Small,1,54,Sb^2,1.8179302991690677e-5
Small,1,54,Sn*,0.3877485949611328
Large,1,54,Int,0.44194485723977694
Large,1,54,Hg,7.359873258055711e-6
Large,1,54,Ni*,1.1898551129500784e-14
Large,1,54,Sb^2,9.951045385587749e-16
Large,1,54,Sn*,0.01154466908666346
Small,1,55,Int,0.00569650851200058
Small,1,55,Hg,0.01544861401800651
Small,1,55,Ni*,0.04740059369465495
Small,1,55,Sb^2,2.906466585817704e-5
Small,1,55,Sn*,0.01633065511721103
Large,1,55,Int,0.4071122610310042
Large,1,55,Hg,1.5367944725193024e-12
Large,1,55,Ni*,9.152409965432822e-10
Large,1,55,Sb^2,4.1062380279180664e-9
Large,1,55,Sn*,4.4755328191642266e-5
Small,1,56,Int,0.6859436825203662
Small,1,56,Hg,2.977097205688796e-4
Small,1,56,Ni*,5.49261765505964e-5
Small,1,56,Sb^2,2.495134057114538e-4
Small,1,56,Sn*,0.01996350537413372
Large,1,56,Int,0.02016512164713156
Large,1,56,Hg,0.00141229783005427
Large,1,56,Ni*,1.044285197373706e-15
Large,1,56,Sb^2,5.759457110262046e-16
Large,1,56,Sn*,1.1371933560490522e-4
Small,1,57,Int,0.9089207226875532
Small,1,57,Hg,0.00168201093753313
Small,1,57,Ni*,0.01443298956579957
Small,1,57,Sb^2,0.00237547353887046
Small,1,57,Sn*,0.06129657226576514
Large,1,57,Int,0.00163208136521061
Large,1,57,Hg,0.00418660297157733
Large,1,57,Ni*,1.0005752449029549e-11
Large,1,57,Sb^2,9.274692847079978e-17
Large,1,57,Sn*,0.00350245948276098
Small,1,58,Int,0.10787789546588657
Small,1,58,Hg,0.3504969986232891
Small,1,58,Ni*,0.05525018511272665
Small,1,58,Sb^2,8.518396191418755e-5
Small,1,58,Sn*,0.29174798350049297
Large,1,58,Int,0.09171340185259426
Large,1,58,Hg,4.09178120329338e-12
Large,1,58,Ni*,1.8427792751533665e-7
Large,1,58,Sb^2,1.2062322585353234e-13
Large,1,58,Sn*,7.117221200977918e-7
Small,1,59,Int,0.5396949026355558
Small,1,59,Hg,0.02282642700856739
Small,1,59,Ni*,0.06301849433175312
Small,1,59,Sb^2,0.00189714740864977
Small,1,59,Sn*,0.476238620097973
Large,1,59,Int,0.3527473962939729
Large,1,59,Hg,2.0801485581729137e-14
Large,1,59,Ni*,1.7565269748104223e-11
Large,1,59,Sb^2,6.012315512371036e-15
Large,1,59,Sn*,8.469520521173691e-4
Small,1,60,Int,0.467278980761588
Small,1,60,Hg,0.04992781846642361
Small,1,60,Ni*,4.058412936364022e-6
Small,1,60,Sb^2,1.3033923389433023e-6
Small,1,60,Sn*,0.09427518722372973
Large,1,60,Int,0.01372967602432319
Large,1,60,Hg,5.201518893528075e-7
Large,1,60,Ni*,2.2042173028649145e-11
Large,1,60,Sb^2,2.322954859498456e-10
Large,1,60,Sn*,4.8638016017104465e-6
Small,1,61,Int,0.8291049200161316
Small,1,61,Hg,0.02544107990427854
Small,1,61,Ni*,0.00157353703563337
Small,1,61,Sb^2,1.8784123853184105e-5
Small,1,61,Sn*,0.02284215021825964
Large,1,61,Int,0.04741936174038174
Large,1,61,Hg,1.540815189550615e-7
Large,1,61,Ni*,2.437303582711333e-9
Large,1,61,Sb^2,6.829883515844614e-16
Large,1,61,Sn*,3.90982116561752e-8
Small,1,62,Int,0.21973504238603464
Small,1,62,Hg,0.00418616072814626
Small,1,62,Ni*,0.01497403547641658
Small,1,62,Sb^2,3.7012356819597195e-8
Small,1,62,Sn*,0.08948968851090172
Large,1,62,Int,0.04141243667715035
Large,1,62,Hg,1.25547351512491e-5
Large,1,62,Ni*,8.513473772413088e-15
Large,1,62,Sb^2,1.4278235010733264e-18
Large,1,62,Sn*,0.03037083243318724
Small,1,63,Int,0.9889698354579104
Small,1,63,Hg,0.00376443332338497
Small,1,63,Ni*,0.00127503850442834
Small,1,63,Sb^2,1.3732106651110165e-4
Small,1,63,Sn*,0.17310242876134416
Large,1,63,Int,0.24413986148701952
Large,1,63,Hg,1.1314048003629321e-8
Large,1,63,Ni*,1.1255630587372328e-11
Large,1,63,Sb^2,3.6309122459291866e-11
Large,1,63,Sn*,5.01308233094429e-4
Small,1,64,Int,0.4925478511033172
Small,1,64,Hg,3.437306592828065e-5
Small,1,64,Ni*,0.01449731656376628
Small,1,64,Sb^2,0.09297719622063912
Small,1,64,Sn*,0.00654988462142839
Large,1,64,Int,0.00868356422974061
Large,1,64,Hg,5.74226768285075e-6
Large,1,64,Ni*,3.1732262820913164e-15
Large,1,64,Sb^2,4.501490603863688e-13
