mod,size,case,inter2,sign,sensitivity
BSR,Small,12,Co-Ni,TRUE,0
BSR,Small,12,none,FALSE,0.0034090909090909
BSR,Small,13,Co-Ni,TRUE,0.02
BSR,Small,13,none,FALSE,0.00295454545454545
BSR,Small,14,Hg-Ni,TRUE,0.01
BSR,Small,14,Hg-Tl,TRUE,0
BSR,Small,14,Ni-Tl,TRUE,0
BSR,Small,14,none,FALSE,0.00142857142857142
BSR,Small,15,Hg-Ni,TRUE,0.04
BSR,Small,15,Hg-Tl,TRUE,0
BSR,Small,15,Ni-Tl,TRUE,0
BSR,Small,15,none,FALSE,0.00119047619047619
BSR,Small,16,Hg-Ni,TRUE,0.01
BSR,Small,16,Hg-Tl,TRUE,0
BSR,Small,16,Ni-Tl,TRUE,0
BSR,Small,16,none,FALSE,0.0019047619047619
BSR,Small,17,Hg-Ni,TRUE,0.01
BSR,Small,17,Hg-Tl,TRUE,0.03
BSR,Small,17,Ni-Tl,TRUE,0
BSR,Small,17,none,FALSE,0.00261904761904761
