mod,case,size,var,sign,sensitivity
Naive MLR,6,Small,Hg,TRUE,0.78
Naive MLR,6,Small,Mo,FALSE,0.04
Naive MLR,6,Small,Ni,TRUE,0.65
Naive MLR,6,Small,Pb,FALSE,0.02
Naive MLR,6,Small,Sb,TRUE,0.16
Naive MLR,6,Small,Sn,TRUE,0.25
Naive MLR,6,Small,Tl,FALSE,0.04
Naive MLR,7,Large,As,TRUE,0.14
Naive MLR,7,Large,Cd,TRUE,0.05
Naive MLR,7,Large,Co,FALSE,0.06
Naive MLR,7,Large,Hg,TRUE,1
Naive MLR,7,Large,Mo,FALSE,0.04
Naive MLR,7,Large,Ni,TRUE,0.99
Naive MLR,7,Large,Pb,FALSE,0.08
Naive MLR,7,Large,Sb,TRUE,0.39
Naive MLR,7,Large,Sn,TRUE,0.76
Naive MLR,7,Large,Tl,FALSE,0.02
Naive MLR,7,Small,As,TRUE,0.05
Naive MLR,7,Small,Cd,TRUE,0.01
Naive MLR,7,Small,Co,FALSE,0.01
Naive MLR,7,Small,Hg,TRUE,0.75
Naive MLR,7,Small,Mo,FALSE,0.05
Naive MLR,7,Small,Ni,TRUE,0.67
Naive MLR,7,Small,Pb,FALSE,0.06
Naive MLR,7,Small,Sb,TRUE,0.17
Naive MLR,7,Small,Sn,TRUE,0.24
Naive MLR,7,Small,Tl,FALSE,0.03
Naive MLR,8,Large,As,TRUE,0.05
Naive MLR,8,Large,Cd,TRUE,0.27
Naive MLR,8,Large,Co,FALSE,0.05
Naive MLR,8,Large,Hg,TRUE,1
Naive MLR,8,Large,Mo,FALSE,0.02
Naive MLR,8,Large,Ni,TRUE,1
Naive MLR,8,Large,Pb,FALSE,0.03
Naive MLR,8,Large,Sb,TRUE,0.57
Naive MLR,8,Large,Sn,TRUE,0.72
Naive MLR,8,Large,Tl,FALSE,0.06
Naive MLR,8,Small,As,TRUE,0.05
Naive MLR,8,Small,Cd,TRUE,0.08
Naive MLR,8,Small,Co,FALSE,0.06
Naive MLR,8,Small,Hg,TRUE,0.79
Naive MLR,8,Small,Mo,FALSE,0.03
Naive MLR,8,Small,Ni,TRUE,0.71
Naive MLR,8,Small,Pb,FALSE,0.05
Naive MLR,8,Small,Sb,TRUE,0.12
Naive MLR,8,Small,Sn,TRUE,0.23
Naive MLR,8,Small,Tl,FALSE,0.02
Naive MLR,9,Large,As,TRUE,0.14
Naive MLR,9,Large,Cd,TRUE,0.67
Naive MLR,9,Large,Co,FALSE,0.07
Naive MLR,9,Large,Hg,TRUE,1
Naive MLR,9,Large,Mo,FALSE,0.04
Naive MLR,9,Large,Ni,TRUE,1
Naive MLR,9,Large,Pb,FALSE,0.02
Naive MLR,9,Large,Sb,TRUE,0.43
Naive MLR,9,Large,Sn,TRUE,0.78
Naive MLR,9,Large,Tl,FALSE,0.05
Naive MLR,9,Small,As,TRUE,0.04
Naive MLR,9,Small,Cd,TRUE,0.16
Naive MLR,9,Small,Co,FALSE,0.05
Naive MLR,9,Small,Hg,TRUE,0.73
Naive MLR,9,Small,Mo,FALSE,0.08
Naive MLR,9,Small,Ni,TRUE,0.69
Naive MLR,9,Small,Pb,FALSE,0.04
