size,case,variable,sensitivity,sign
Large,17,Mo,0.01,FALSE
Large,17,Ni,1,TRUE
Large,17,Pb,0.02,FALSE
Large,17,Sb,1,TRUE
Large,17,Sn,0.7,TRUE
Large,17,Tl,0.06,TRUE
Small,1,As,0.06,FALSE
Small,1,Cd,0.04,FALSE
Small,1,Co,0.04,FALSE
Small,1,Hg,0.51,TRUE
Small,1,Mo,0.04,FALSE
Small,1,Ni,0.67,TRUE
Small,1,Pb,0.04,FALSE
Small,1,Sb,0.88,TRUE
Small,1,Sn,0.17,TRUE
Small,1,Tl,0.05,FALSE
Small,2,As,0.02,FALSE
Small,2,Cd,0.03,FALSE
Small,2,Co,0.04,FALSE
Small,2,Hg,0.67,TRUE
Small,2,Mo,0.07,FALSE
Small,2,Ni,0.69,TRUE
Small,2,Pb,0,FALSE
Small,2,Sb,0.77,TRUE
Small,2,Sn,0.18,TRUE
Small,2,Tl,0.02,FALSE
Small,3,As,0.04,FALSE
Small,3,Cd,0.05,FALSE
Small,3,Co,0.11,FALSE
Small,3,Hg,0.58,TRUE
Small,3,Mo,0,FALSE
Small,3,Ni,0.77,TRUE
Small,3,Pb,0.08,FALSE
Small,3,Sb,0.81,TRUE
Small,3,Sn,0.12,TRUE
Small,3,Tl,0.02,FALSE
Small,4,As,0.04,FALSE
Small,4,Cd,0.02,FALSE
Small,4,Co,0.07,FALSE
Small,4,Hg,0.81,TRUE
Small,4,Mo,0.03,FALSE
Small,4,Ni,0.73,TRUE
Small,4,Pb,0.03,FALSE
Small,4,Sb,0.8,TRUE
Small,4,Sn,0.23,TRUE
Small,4,Tl,0.02,FALSE
Small,5,As,0.02,FALSE
Small,5,Cd,0.06,FALSE
Small,5,Co,0.01,FALSE
Small,5,Hg,0.93,TRUE
Small,5,Mo,0.03,FALSE
Small,5,Ni,0.75,TRUE
Small,5,Pb,0.06,FALSE
Small,5,Sb,0.86,TRUE
Small,5,Sn,0.17,TRUE
Small,5,Tl,0.05,FALSE
Small,6,As,0.06,TRUE
Small,6,Cd,0.02,TRUE
Small,6,Co,0.07,FALSE
Small,6,Hg,0.52,TRUE
Small,6,Mo,0.01,FALSE
Small,6,Ni,0.66,TRUE
Small,6,Pb,0.03,FALSE
Small,6,Sb,0.87,TRUE
Small,6,Sn,0.2,TRUE
Small,6,Tl,0.01,FALSE
Small,7,As,0.13,TRUE
Small,7,Cd,0.06,TRUE
Small,7,Co,0.03,FALSE
Small,7,Hg,0.42,TRUE
Small,7,Mo,0.05,FALSE
Small,7,Ni,0.69,TRUE
Small,7,Pb,0.06,FALSE
Small,7,Sb,0.85,TRUE
Small,7,Sn,0.14,TRUE
Small,7,Tl,0.04,FALSE
Small,8,As,0.02,TRUE
Small,8,Cd,0.06,TRUE
Small,8,Co,0.08,FALSE
Small,8,Hg,0.53,TRUE
Small,8,Mo,0.02,FALSE
Small,8,Ni,0.67,TRUE
Small,8,Pb,0.02,FALSE
Small,8,Sb,0.83,TRUE
Small,8,Sn,0.19,TRUE
Small,8,Tl,0.02,FALSE
Small,9,As,0.04,TRUE
Small,9,Cd,0.1,TRUE
Small,9,Co,0.09,FALSE
Small,9,Hg,0.45,TRUE
Small,9,Mo,0.05,FALSE
Small,9,Ni,0.69,TRUE
Small,9,Pb,0.09,FALSE
Small,9,Sb,0.9,TRUE
Small,9,Sn,0.16,TRUE
Small,9,Tl,0.04,FALSE
Small,10,As,0.05,FALSE
Small,10,Cd,0.02,FALSE
Small,10,Co,0.07,TRUE
Small,10,Hg,0.55,TRUE
Small,10,Mo,0.03,FALSE
Small,10,Ni,0.72,TRUE
Small,10,Pb,0.03,FALSE
Small,10,Sb,0.84,TRUE
Small,10,Sn,0.28,TRUE
Small,10,Tl,0.04,FALSE
Small,11,As,0.04,FALSE
Small,11,Cd,0.05,FALSE
Small,11,Co,0.15,TRUE
Small,11,Hg,0.51,TRUE
Small,11,Mo,0.01,FALSE
Small,11,Ni,0.77,TRUE
Small,11,Pb,0.04,FALSE
Small,11,Sb,0.75,TRUE
Small,11,Sn,0.22,TRUE
Small,11,Tl,0.03,FALSE
Small,12,As,0.02,FALSE
Small,12,Cd,0.03,FALSE
Small,12,Co,0.07,TRUE
Small,12,Hg,0.6,TRUE
Small,12,Mo,0.03,FALSE
Small,12,Ni,0.9,TRUE
Small,12,Pb,0.09,FALSE
Small,12,Sb,0.88,TRUE
Small,12,Sn,0.18,TRUE
Small,12,Tl,0.02,FALSE
Small,13,As,0.03,FALSE
Small,13,Cd,0.03,FALSE
Small,13,Co,0.16,TRUE
Small,13,Hg,0.46,TRUE
Small,13,Mo,0,FALSE
Small,13,Ni,0.95,TRUE
Small,13,Pb,0.03,FALSE
Small,13,Sb,0.83,TRUE
Small,13,Sn,0.15,TRUE
Small,13,Tl,0.03,FALSE
Small,14,As,0.02,FALSE
Small,14,Cd,0.05,FALSE
Small,14,Co,0.12,FALSE
Small,14,Hg,0.63,TRUE
Small,14,Mo,0.01,FALSE
Small,14,Ni,0.76,TRUE
Small,14,Pb,0.04,FALSE
Small,14,Sb,0.83,TRUE
Small,14,Sn,0.11,TRUE
Small,14,Tl,0.03,TRUE
Small,15,As,0.02,FALSE
Small,15,Cd,0.01,FALSE
Small,15,Co,0.07,FALSE
Small,15,Hg,0.57,TRUE
Small,15,Mo,0.01,FALSE
Small,15,Ni,0.86,TRUE
Small,15,Pb,0.03,FALSE
Small,15,Sb,0.91,TRUE
Small,15,Sn,0.16,TRUE
Small,15,Tl,0.06,TRUE
Small,16,As,0.03,FALSE
Small,16,Cd,0.08,FALSE
Small,16,Co,0.05,FALSE
Small,16,Hg,0.6,TRUE
Small,16,Mo,0.04,FALSE
Small,16,Ni,0.62,TRUE
Small,16,Pb,0.08,FALSE
Small,16,Sb,0.82,TRUE
Small,16,Sn,0.15,TRUE
Small,16,Tl,0.02,TRUE
Small,17,As,0.01,FALSE
Small,17,Cd,0.06,FALSE
Small,17,Co,0.06,FALSE
Small,17,Hg,0.61,TRUE
Small,17,Mo,0.01,FALSE
Small,17,Ni,0.56,TRUE
Small,17,Pb,0.02,FALSE
Small,17,Sb,0.81,TRUE
Small,17,Sn,0.27,TRUE
Small,17,Tl,0.06,TRUE
