name,power
am1,0.27
am2,0.56
ap1,0.27
ap2,0.61
bm1,0.18
bm2,0.61
bp1,0.14
bp2,0.61
cm1,0.18
cm2,0.63
cp1,0.16
cp2,0.57
dm1,0.17
dm2,0.63
dp1,0.2
dp2,0.55
