variable,PIP,trial,case
Cd,0.30784,29,1
Co,0.29724,29,1
Hg,0.90628,29,1
Ni,0.9594,29,1
Tl,0.34488,29,1
Pb,0.55308,29,1
Mo,0.27364,29,1
Sb,0.71072,29,1
Sn,0.3918,29,1
As,0.23976,3,1
Cd,0.47744,3,1
Co,0.3838,3,1
Hg,0.98328,3,1
Ni,0.99816,3,1
Tl,0.23704,3,1
Pb,0.24144,3,1
Mo,0.22584,3,1
Sb,0.38508,3,1
Sn,0.38696,3,1
As,0.3842,30,1
Cd,0.2686,30,1
Co,0.37204,30,1
Hg,0.85948,30,1
Ni,0.54392,30,1
Tl,0.43504,30,1
Pb,0.41492,30,1
Mo,0.36324,30,1
Sb,1,30,1
Sn,0.25156,30,1
As,0.50448,31,1
Cd,0.52548,31,1
Co,0.81,31,1
Hg,0.96468,31,1
Ni,0.52064,31,1
Tl,0.54044,31,1
Pb,0.56508,31,1
Mo,0.5388,31,1
Sb,0.84868,31,1
Sn,0.6348,31,1
As,0.3818,32,1
Cd,0.22912,32,1
Co,0.3192,32,1
Hg,0.99572,32,1
Ni,0.92984,32,1
Tl,0.19812,32,1
Pb,0.61996,32,1
Mo,0.26192,32,1
Sb,0.99668,32,1
Sn,0.40924,32,1
As,0.41808,33,1
Cd,0.28588,33,1
Co,0.32016,33,1
Hg,0.98068,33,1
Ni,0.8734,33,1
Tl,0.25172,33,1
Pb,0.2708,33,1
Mo,0.37876,33,1
Sb,0.84696,33,1
Sn,0.9438,33,1
As,0.62756,34,1
Cd,0.43072,34,1
Co,0.62964,34,1
Hg,0.77492,34,1
Ni,0.91544,34,1
Tl,0.56784,34,1
Pb,0.4036,34,1
Mo,0.4728,34,1
Sb,0.80528,34,1
Sn,0.47364,34,1
As,0.615,35,1
Cd,0.85856,35,1
Co,0.75196,35,1
Hg,0.94792,35,1
Ni,0.92764,35,1
Tl,0.67324,35,1
Pb,0.59808,35,1
Mo,0.6524,35,1
Sb,0.94432,35,1
Sn,0.97572,35,1
As,0.43512,36,1
Cd,0.284,36,1
Co,0.3246,36,1
Hg,0.44336,36,1
Ni,0.78816,36,1
Tl,0.35884,36,1
Pb,0.66808,36,1
Mo,0.4498,36,1
Sb,0.94488,36,1
Sn,0.87612,36,1
As,0.64156,37,1
Cd,0.53532,37,1
Co,0.76644,37,1
Hg,0.89864,37,1
Ni,0.94548,37,1
Tl,0.69812,37,1
Pb,0.50572,37,1
Mo,0.58296,37,1
Sb,0.61752,37,1
Sn,0.65644,37,1
As,0.77644,38,1
Cd,0.5014,38,1
Co,0.64264,38,1
Hg,0.87308,38,1
Ni,0.92576,38,1
Tl,0.61332,38,1
Pb,0.5274,38,1
Mo,0.53976,38,1
Sb,0.88252,38,1
Sn,0.9304,38,1
As,0.4172,39,1
Cd,0.40832,39,1
Co,0.4928,39,1
Hg,0.92588,39,1
Ni,0.7418,39,1
Tl,0.53088,39,1
Pb,0.45164,39,1
Mo,0.77288,39,1
Sb,0.96996,39,1
Sn,0.65816,39,1
As,0.3992,4,1
Cd,0.57896,4,1
Co,0.39228,4,1
Hg,0.60056,4,1
Ni,0.60344,4,1
Tl,0.431,4,1
Pb,0.48352,4,1
Mo,0.44248,4,1
Sb,0.98524,4,1
Sn,0.67856,4,1
As,0.17584,40,1
Cd,0.12808,40,1
Co,0.29376,40,1
Hg,0.99356,40,1
Ni,0.80272,40,1
Tl,0.20296,40,1
Pb,0.23148,40,1
Mo,0.20424,40,1
Sb,1,40,1
Sn,0.3046,40,1
As,0.44884,41,1
Cd,0.43808,41,1
Co,0.44964,41,1
Hg,0.757,41,1
Ni,0.8528,41,1
Tl,0.36032,41,1
Pb,0.58492,41,1
Mo,0.59036,41,1
Sb,0.99948,41,1
Sn,0.42728,41,1
As,0.449,42,1
Cd,0.43748,42,1
Co,0.61844,42,1
Hg,0.72484,42,1
Ni,0.84188,42,1
Tl,0.40888,42,1
Pb,0.72532,42,1
Mo,0.49304,42,1
Sb,0.99688,42,1
