size,case,variable,sensitivity,sign
Large,8,LBX138LA,0.15,FALSE
Large,8,LBX153LA,0.08,FALSE
Large,8,LBX170LA,0.18,FALSE
Large,8,LBX180LA,0.1,FALSE
Large,8,LBX187LA,0.21,FALSE
Large,8,LBX194LA,0.83,TRUE
Large,8,LBXD03LA,0.22,FALSE
Large,8,LBXD05LA,0.85,TRUE
Large,8,LBXD07LA,0.11,FALSE
Large,8,LBXF03LA,0.17,TRUE
Large,8,LBXF04LA,0.89,TRUE
Large,8,LBXF05LA,0.18,FALSE
Large,8,LBXF08LA,0.5,TRUE
Large,8,LBXHXCLA,0.12,FALSE
Large,8,LBXPCBLA,0.47,TRUE
Large,9,LBX074LA,0.69,TRUE
Large,9,LBX099LA,0.13,FALSE
Large,9,LBX118LA,0.26,FALSE
Large,9,LBX138LA,0.14,FALSE
Large,9,LBX153LA,0.15,FALSE
Large,9,LBX170LA,0.18,FALSE
Large,9,LBX180LA,0.15,FALSE
Large,9,LBX187LA,0.23,FALSE
Large,9,LBX194LA,0.83,TRUE
Large,9,LBXD03LA,0.21,FALSE
Large,9,LBXD05LA,0.91,TRUE
Large,9,LBXD07LA,0.2,FALSE
Large,9,LBXF03LA,0.35,TRUE
Large,9,LBXF04LA,0.94,TRUE
Large,9,LBXF05LA,0.25,FALSE
Large,9,LBXF08LA,0.92,TRUE
Large,9,LBXHXCLA,0.19,FALSE
Large,9,LBXPCBLA,0.37,TRUE
Large,10,LBX074LA,0.67,TRUE
Large,10,LBX099LA,0.08,FALSE
Large,10,LBX118LA,0.23,FALSE
Large,10,LBX138LA,0.07,FALSE
Large,10,LBX153LA,0.03,FALSE
Large,10,LBX170LA,0.1,FALSE
Large,10,LBX180LA,0.06,FALSE
Large,10,LBX187LA,0.14,FALSE
Large,10,LBX194LA,0.85,TRUE
Large,10,LBXD03LA,0.09,FALSE
Large,10,LBXD05LA,0.83,TRUE
Large,10,LBXD07LA,0.07,FALSE
Large,10,LBXF03LA,0.08,FALSE
Large,10,LBXF04LA,0.81,TRUE
Large,10,LBXF05LA,0.07,FALSE
Large,10,LBXF08LA,0.11,FALSE
Large,10,LBXHXCLA,0.07,FALSE
Large,10,LBXPCBLA,0.31,TRUE
Large,11,LBX074LA,0.88,TRUE
Large,11,LBX099LA,0.09,FALSE
Large,11,LBX118LA,0.22,FALSE
Large,11,LBX138LA,0.05,FALSE
Large,11,LBX153LA,0.04,FALSE
Large,11,LBX170LA,0.11,FALSE
Large,11,LBX180LA,0.08,FALSE
Large,11,LBX187LA,0.11,FALSE
Large,11,LBX194LA,0.98,TRUE
Large,11,LBXD03LA,0.06,FALSE
Large,11,LBXD05LA,0.74,TRUE
Large,11,LBXD07LA,0.09,FALSE
Large,11,LBXF03LA,0.09,FALSE
Large,11,LBXF04LA,0.83,TRUE
Large,11,LBXF05LA,0.1,FALSE
Large,11,LBXF08LA,0.04,FALSE
Large,11,LBXHXCLA,0.07,FALSE
Large,11,LBXPCBLA,0.3,TRUE
Large,12,LBX074LA,0.89,TRUE
Large,12,LBX099LA,0.08,FALSE
Large,12,LBX118LA,0.19,FALSE
Large,12,LBX138LA,0.05,FALSE
Large,12,LBX153LA,0.03,FALSE
Large,12,LBX170LA,0.14,FALSE
Large,12,LBX180LA,0.1,FALSE
Large,12,LBX187LA,0.12,FALSE
Large,12,LBX194LA,0.89,TRUE
Large,12,LBXD03LA,0.13,FALSE
Large,12,LBXD05LA,0.84,TRUE
Large,12,LBXD07LA,0.08,FALSE
Large,12,LBXF03LA,0.12,FALSE
Large,12,LBXF04LA,0.85,TRUE
Large,12,LBXF05LA,0.14,FALSE
Large,12,LBXF08LA,0.07,FALSE
Large,12,LBXHXCLA,0.09,FALSE
Large,12,LBXPCBLA,0.31,TRUE
Large,13,LBX074LA,0.97,TRUE
Large,13,LBX099LA,0.07,FALSE
Large,13,LBX118LA,0.18,FALSE
Large,13,LBX138LA,0.02,FALSE
Large,13,LBX153LA,0.06,FALSE
Large,13,LBX170LA,0.06,FALSE
Large,13,LBX180LA,0.08,FALSE
Large,13,LBX187LA,0.05,FALSE
Large,13,LBX194LA,0.89,TRUE
Large,13,LBXD03LA,0.13,FALSE
Large,13,LBXD05LA,0.8,TRUE
Large,13,LBXD07LA,0.08,FALSE
Large,13,LBXF03LA,0.06,FALSE
Large,13,LBXF04LA,0.82,TRUE
Large,13,LBXF05LA,0.08,FALSE
Large,13,LBXF08LA,0.06,FALSE
Large,13,LBXHXCLA,0.09,FALSE
Large,13,LBXPCBLA,0.32,TRUE
Large,14,LBX074LA,0.67,TRUE
Large,14,LBX099LA,0.09,FALSE
Large,14,LBX118LA,0.19,FALSE
Large,14,LBX138LA,0.09,FALSE
Large,14,LBX153LA,0.09,FALSE
Large,14,LBX170LA,0.15,FALSE
Large,14,LBX180LA,0.06,FALSE
Large,14,LBX187LA,0.2,FALSE
Large,14,LBX194LA,0.93,TRUE
