mod,case,size,var,sign,sensitivity
Naive MLR,17,Large,F03,FALSE,0.05
Naive MLR,17,Large,F04,TRUE,0.12
Naive MLR,17,Large,F05,FALSE,0.07
Naive MLR,17,Large,F08,FALSE,0.04
Naive MLR,17,Large,HXC,FALSE,0.05
Naive MLR,17,Large,PCB,TRUE,0.08
Naive MLR,17,Small,074,TRUE,0.08
Naive MLR,17,Small,099,FALSE,0.09
Naive MLR,17,Small,118,FALSE,0.06
Naive MLR,17,Small,138,FALSE,0.04
Naive MLR,17,Small,153,FALSE,0.06
Naive MLR,17,Small,170,FALSE,0.06
Naive MLR,17,Small,180,FALSE,0.05
Naive MLR,17,Small,187,FALSE,0.03
Naive MLR,17,Small,194,TRUE,0.1
Naive MLR,17,Small,D03,FALSE,0.09
Naive MLR,17,Small,D05,TRUE,0.19
Naive MLR,17,Small,D07,FALSE,0.06
Naive MLR,17,Small,F03,FALSE,0.08
Naive MLR,17,Small,F04,TRUE,0.03
Naive MLR,17,Small,F05,FALSE,0.05
Naive MLR,17,Small,F08,FALSE,0.07
Naive MLR,17,Small,HXC,FALSE,0.08
Naive MLR,17,Small,PCB,TRUE,0.07
