mod,case,size,var,sign,sensitivity
Naive MLR,4,Large,D05,TRUE,0.98
Naive MLR,4,Large,D07,FALSE,0.11
Naive MLR,4,Large,F03,FALSE,0.1
Naive MLR,4,Large,F04,TRUE,0.05
Naive MLR,4,Large,F05,FALSE,0.02
Naive MLR,4,Large,F08,FALSE,0.1
Naive MLR,4,Large,HXC,FALSE,0.06
Naive MLR,4,Large,PCB,TRUE,0.25
Naive MLR,4,Small,074,TRUE,0.12
Naive MLR,4,Small,099,FALSE,0.04
Naive MLR,4,Small,118,FALSE,0.05
Naive MLR,4,Small,138,FALSE,0.01
Naive MLR,4,Small,153,FALSE,0.01
Naive MLR,4,Small,170,FALSE,0.05
Naive MLR,4,Small,180,FALSE,0.07
Naive MLR,4,Small,187,FALSE,0.03
Naive MLR,4,Small,194,TRUE,0.14
Naive MLR,4,Small,D03,FALSE,0.07
Naive MLR,4,Small,D05,TRUE,0.37
Naive MLR,4,Small,D07,FALSE,0.1
Naive MLR,4,Small,F03,FALSE,0.03
Naive MLR,4,Small,F04,TRUE,0.03
Naive MLR,4,Small,F05,FALSE,0.04
Naive MLR,4,Small,F08,FALSE,0.07
Naive MLR,4,Small,HXC,FALSE,0.04
Naive MLR,4,Small,PCB,TRUE,0.14
Naive MLR,5,Large,074,TRUE,0.46
Naive MLR,5,Large,099,FALSE,0.03
Naive MLR,5,Large,118,FALSE,0.06
Naive MLR,5,Large,138,FALSE,0.03
Naive MLR,5,Large,153,FALSE,0.07
Naive MLR,5,Large,170,FALSE,0.07
Naive MLR,5,Large,180,FALSE,0.04
Naive MLR,5,Large,187,FALSE,0.11
Naive MLR,5,Large,194,TRUE,0.56
Naive MLR,5,Large,D03,FALSE,0.32
Naive MLR,5,Large,D05,TRUE,0.99
Naive MLR,5,Large,D07,FALSE,0.1
Naive MLR,5,Large,F03,FALSE,0.01
Naive MLR,5,Large,F04,TRUE,0.03
Naive MLR,5,Large,F05,FALSE,0.04
Naive MLR,5,Large,F08,FALSE,0.09
Naive MLR,5,Large,HXC,FALSE,0.07
Naive MLR,5,Large,PCB,TRUE,0.45
Naive MLR,5,Small,074,TRUE,0.13
Naive MLR,5,Small,099,FALSE,0.04
Naive MLR,5,Small,118,FALSE,0.04
Naive MLR,5,Small,138,FALSE,0.03
Naive MLR,5,Small,153,FALSE,0.03
Naive MLR,5,Small,170,FALSE,0.03
Naive MLR,5,Small,180,FALSE,0.06
Naive MLR,5,Small,187,FALSE,0.05
Naive MLR,5,Small,194,TRUE,0.07
Naive MLR,5,Small,D03,FALSE,0.11
Naive MLR,5,Small,D05,TRUE,0.55
Naive MLR,5,Small,D07,FALSE,0.06
Naive MLR,5,Small,F03,FALSE,0.04
Naive MLR,5,Small,F04,TRUE,0.1
Naive MLR,5,Small,F05,FALSE,0.06
Naive MLR,5,Small,F08,FALSE,0.04
Naive MLR,5,Small,HXC,FALSE,0.05
