mod,case,size,var,variable,sensitivity
Oracle MLR,10,Small,F04^2,F04^2,0.48
Oracle MLR,10,Small,LBX074LA:LBX194LA,Int,0.27
Oracle MLR,11,Large,074,074,0.84
Oracle MLR,11,Large,194*,194*,0.49
Oracle MLR,11,Large,D05,D05,0.85
Oracle MLR,11,Large,F04,F04,0.35
Oracle MLR,11,Large,F04^2,F04^2,1
Oracle MLR,11,Large,LBX074LA:LBX194LA,Int,1
Oracle MLR,11,Small,074,074,0.21
Oracle MLR,11,Small,194*,194*,0.2075
Oracle MLR,11,Small,D05,D05,0.35
Oracle MLR,11,Small,F04,F04,0.08
Oracle MLR,11,Small,F04^2,F04^2,0.46
Oracle MLR,11,Small,LBX074LA:LBX194LA,Int,0.5
Oracle MLR,12,Large,074,074,0.71
Oracle MLR,12,Large,194*,194*,0.7
Oracle MLR,12,Large,D05,D05,0.89
Oracle MLR,12,Large,F04,F04,0.23
Oracle MLR,12,Large,F04^2,F04^2,0.99
Oracle MLR,12,Large,I(LBX074LA * ((LBX194LA - 1)^2)),Int,0.57
Oracle MLR,12,Small,074,074,0.19
Oracle MLR,12,Small,194*,194*,0.25333333333333335
Oracle MLR,12,Small,D05,D05,0.39
Oracle MLR,12,Small,F04,F04,0.1
Oracle MLR,12,Small,F04^2,F04^2,0.55
Oracle MLR,12,Small,I(LBX074LA * ((LBX194LA - 1)^2)),Int,0.16
Oracle MLR,13,Large,074,074,0.81
Oracle MLR,13,Large,194*,194*,0.8066666666666666
Oracle MLR,13,Large,D05,D05,0.86
Oracle MLR,13,Large,F04,F04,0.32
Oracle MLR,13,Large,F04^2,F04^2,1
Oracle MLR,13,Large,I(LBX074LA * ((LBX194LA - 1)^2)),Int,0.97
Oracle MLR,13,Small,074,074,0.16
Oracle MLR,13,Small,194*,194*,0.39
Oracle MLR,13,Small,D05,D05,0.36
Oracle MLR,13,Small,F04,F04,0.11
Oracle MLR,13,Small,F04^2,F04^2,0.51
Oracle MLR,13,Small,I(LBX074LA * ((LBX194LA - 1)^2)),Int,0.51
Oracle MLR,14,Large,074,074,0.82
Oracle MLR,14,Large,194*,194*,0.66
Oracle MLR,14,Large,D05,D05,0.88
Oracle MLR,14,Large,F04,F04,0.27
Oracle MLR,14,Large,F04^2,F04^2,0.99
Oracle MLR,14,Large,LBXD05LA:LBXPCBLA:LBX194LA,Int,0.6
Oracle MLR,14,Small,074,074,0.28
Oracle MLR,14,Small,194*,194*,0.23666666666666666
Oracle MLR,14,Small,D05,D05,0.33
Oracle MLR,14,Small,F04,F04,0.09
Oracle MLR,14,Small,F04^2,F04^2,0.6
Oracle MLR,14,Small,LBXD05LA:LBXPCBLA:LBX194LA,Int,0.18
Oracle MLR,15,Large,074,074,0.83
Oracle MLR,15,Large,194*,194*,0.8033333333333333
Oracle MLR,15,Large,D05,D05,0.86
Oracle MLR,15,Large,F04,F04,0.38
Oracle MLR,15,Large,F04^2,F04^2,1
Oracle MLR,15,Large,LBXD05LA:LBXPCBLA:LBX194LA,Int,0.98
Oracle MLR,15,Small,074,074,0.24
Oracle MLR,15,Small,194*,194*,0.38666666666666666
Oracle MLR,15,Small,D05,D05,0.24
Oracle MLR,15,Small,F04,F04,0.12
Oracle MLR,15,Small,F04^2,F04^2,0.66
Oracle MLR,15,Small,LBXD05LA:LBXPCBLA:LBX194LA,Int,0.52
Oracle MLR,16,Large,074,074,0.77
Oracle MLR,16,Large,194*,194*,0.6866666666666666
Oracle MLR,16,Large,D05,D05,0.88
Oracle MLR,16,Large,F04,F04,0.32
Oracle MLR,16,Large,F04^2,F04^2,0.99
Oracle MLR,16,Large,I(LBXD05LA * ((LBX194LA - 1)^2) * LBXPCBLA),Int,0.63
Oracle MLR,16,Small,074,074,0.34
Oracle MLR,16,Small,194*,194*,0.21333333333333335
Oracle MLR,16,Small,D05,D05,0.32
Oracle MLR,16,Small,F04,F04,0.14
Oracle MLR,16,Small,F04^2,F04^2,0.54
Oracle MLR,16,Small,I(LBXD05LA * ((LBX194LA - 1)^2) * LBXPCBLA),Int,0.16
Oracle MLR,17,Large,074,074,0.8
Oracle MLR,17,Large,194*,194*,0.83
Oracle MLR,17,Large,D05,D05,0.86
Oracle MLR,17,Large,F04,F04,0.33
Oracle MLR,17,Large,F04^2,F04^2,0.99
Oracle MLR,17,Large,I(LBXD05LA * ((LBX194LA - 1)^2) * LBXPCBLA),Int,0.98
Oracle MLR,17,Small,074,074,0.2
Oracle MLR,17,Small,194*,194*,0.36666666666666664
Oracle MLR,17,Small,D05,D05,0.32
Oracle MLR,17,Small,F04,F04,0.16
Oracle MLR,17,Small,F04^2,F04^2,0.49
Oracle MLR,17,Small,I(LBXD05LA * ((LBX194LA - 1)^2) * LBXPCBLA),Int,0.54
