variable,PIP,trial,df,case
As,0.01888,27,2,1
Cd,0.04144,27,2,1
Co,0.05776,27,2,1
Hg,0.9832,27,2,1
Ni,0.99712,27,2,1
Tl,0.04256,27,2,1
Pb,0.01872,27,2,1
Mo,0.02144,27,2,1
Sb,0.72784,27,2,1
Sn,0.13552,27,2,1
As,0.02688,28,2,1
Cd,0.58272,28,2,1
Co,0.06912,28,2,1
Hg,0.73488,28,2,1
Ni,0.93632,28,2,1
Tl,0.02112,28,2,1
Pb,0.03088,28,2,1
Mo,0.03744,28,2,1
Sb,0.66656,28,2,1
Sn,0.05184,28,2,1
As,0.0232,29,3,1
Cd,0.06208,29,3,1
Co,0.05456,29,3,1
Hg,0.70272,29,3,1
Ni,0.93008,29,3,1
Tl,0.07312,29,3,1
Pb,0.26144,29,3,1
Mo,0.04384,29,3,1
Sb,0.8944,29,3,1
Sn,0.18,29,3,1
As,0.04176,2,3,1
Cd,0.07648,2,3,1
Co,0.22816,2,3,1
Hg,0.37088,2,3,1
Ni,0.36944,2,3,1
Tl,0.08352,2,3,1
Pb,0.05968,2,3,1
Mo,0.09104,2,3,1
Sb,0.98816,2,3,1
Sn,0.92464,2,3,1
As,0.02912,30,2,1
Cd,0.01536,30,2,1
Co,0.02496,30,2,1
Hg,0.80224,30,2,1
Ni,0.12656,30,2,1
Tl,0.09856,30,2,1
Pb,0.01376,30,2,1
Mo,0.0192,30,2,1
Sb,1,30,2,1
Sn,0.01984,30,2,1
As,0.0336,31,1,1
Cd,0.05088,31,1,1
Co,0.65776,31,1,1
Hg,0.9072,31,1,1
Ni,0.14576,31,1,1
Tl,0.06608,31,1,1
Pb,0.06544,31,1,1
Mo,0.04672,31,1,1
Sb,0.144,31,1,1
Sn,0.09024,31,1,1
As,0.01424,32,3,1
Cd,0.0176,32,3,1
Co,0.03008,32,3,1
Hg,0.8856,32,3,1
Ni,0.87488,32,3,1
Tl,0.00848,32,3,1
Pb,0.19792,32,3,1
Mo,0.05184,32,3,1
Sb,0.99696,32,3,1
Sn,0.0464,32,3,1
As,0.6176,33,3,1
Cd,0.02848,33,3,1
Co,0.029760000000000002,33,3,1
Hg,0.90304,33,3,1
Ni,0.72208,33,3,1
Tl,0.02368,33,3,1
Pb,0.02496,33,3,1
Mo,0.304,33,3,1
Sb,0.96048,33,3,1
Sn,0.9512,33,3,1
As,0.32704,34,4,1
Cd,0.0248,34,4,1
Co,0.27296,34,4,1
Hg,0.1776,34,4,1
Ni,0.9048,34,4,1
Tl,0.1472,34,4,1
Pb,0.01984,34,4,1
Mo,0.03072,34,4,1
Sb,0.26992,34,4,1
Sn,0.03936,34,4,1
As,0.05568,35,3,1
Cd,0.11584,35,3,1
Co,0.02608,35,3,1
Hg,0.60064,35,3,1
Ni,0.90384,35,3,1
Tl,0.07744,35,3,1
Pb,0.0352,35,3,1
Mo,0.072,35,3,1
Sb,0.89552,35,3,1
Sn,0.49328,35,3,1
As,0.16176,36,2,1
Cd,0.0368,36,2,1
Co,0.03488,36,2,1
Hg,0.04896,36,2,1
Ni,0.3984,36,2,1
Tl,0.0768,36,2,1
Pb,0.35952,36,2,1
Mo,0.27408,36,2,1
Sb,0.96368,36,2,1
Sn,0.69584,36,2,1
As,0.0544,37,2,1
Cd,0.02336,37,2,1
Co,0.12016,37,2,1
Hg,0.91568,37,2,1
Ni,0.36576,37,2,1
Tl,0.05024,37,2,1
Pb,0.00976,37,2,1
Mo,0.0136,37,2,1
Sb,0.24112,37,2,1
Sn,0.07104,37,2,1
As,0.16752,38,2,1
Cd,0.07216,38,2,1
Co,0.14192,38,2,1
Hg,0.59136,38,2,1
Ni,0.86352,38,2,1
Tl,0.1376,38,2,1
Pb,0.04528,38,2,1
Mo,0.17056,38,2,1
Sb,0.9888,38,2,1
Sn,0.66832,38,2,1
As,0.03712,39,3,1
Cd,0.1368,39,3,1
Co,0.15424,39,3,1
Hg,0.79952,39,3,1
Ni,0.1992,39,3,1
Tl,0.02272,39,3,1
Pb,0.08256,39,3,1
Mo,0.2808,39,3,1
Sb,0.99552,39,3,1
Sn,0.60864,39,3,1
As,0.01872,3,3,1
Cd,0.06864,3,3,1
Co,0.36528,3,3,1
Hg,0.98288,3,3,1
Ni,1,3,3,1
Tl,0.0224,3,3,1
Pb,0.0296,3,3,1
Mo,0.02224,3,3,1
Sb,0.22176,3,3,1
Sn,0.02368,3,3,1
As,0.00208,40,4,1
Cd,0.00336,40,4,1
Co,0.0104,40,4,1
