variable,PIP,trial,case
LBXD05LA,1,18,1
LBXD07LA,0.11288,18,1
LBXF03LA,0.09256,18,1
LBXF04LA,0.50292,18,1
LBXF05LA,0.10908,18,1
LBXF08LA,0.05548,18,1
LBX074LA,0.7434,19,1
LBX099LA,0.16568,19,1
LBX138LA,0.16836,19,1
LBX153LA,0.19572,19,1
LBX170LA,0.2316,19,1
LBX180LA,0.23552,19,1
LBX187LA,0.22532,19,1
LBX194LA,0.9108,19,1
LBXPCBLA,0.59964,19,1
LBXHXCLA,0.18444,19,1
LBX118LA,0.27284,19,1
LBXD03LA,0.15904,19,1
LBXD05LA,0.9886,19,1
LBXD07LA,0.30524,19,1
LBXF03LA,0.13116,19,1
LBXF04LA,0.52784,19,1
LBXF05LA,0.11724,19,1
LBXF08LA,0.13144,19,1
LBX074LA,0.80036,2,1
LBX099LA,0.43148,2,1
LBX138LA,0.59148,2,1
LBX153LA,0.51152,2,1
LBX170LA,0.50272,2,1
LBX180LA,0.55432,2,1
LBX187LA,0.4136,2,1
LBX194LA,0.819,2,1
LBXPCBLA,0.9952,2,1
LBXHXCLA,0.40176,2,1
LBX118LA,0.56504,2,1
LBXD03LA,0.72384,2,1
LBXD05LA,0.90908,2,1
LBXD07LA,0.4056,2,1
LBXF03LA,0.5862,2,1
LBXF04LA,0.7402,2,1
LBXF05LA,0.64016,2,1
LBXF08LA,0.47992,2,1
LBX074LA,0.45436,20,1
LBX099LA,0.12444,20,1
LBX138LA,0.17492,20,1
LBX153LA,0.18448,20,1
LBX170LA,0.1516,20,1
LBX180LA,0.2126,20,1
LBX187LA,0.13008,20,1
LBX194LA,0.9886,20,1
LBXPCBLA,0.05524,20,1
LBXHXCLA,0.19564,20,1
LBX118LA,0.35816,20,1
LBXD03LA,0.32756,20,1
LBXD05LA,0.94424,20,1
LBXD07LA,0.19128,20,1
LBXF03LA,0.14812,20,1
LBXF04LA,0.99288,20,1
LBXF05LA,0.25108,20,1
LBXF08LA,0.3012,20,1
LBX074LA,0.98484,21,1
LBX099LA,0.30392,21,1
LBX138LA,0.26612,21,1
LBX153LA,0.31556,21,1
LBX170LA,0.51996,21,1
LBX180LA,0.29248,21,1
LBX187LA,0.31168,21,1
LBX194LA,0.75928,21,1
LBXPCBLA,0.48688,21,1
LBXHXCLA,0.267,21,1
LBX118LA,0.19932,21,1
LBXD03LA,0.44144,21,1
LBXD05LA,0.91964,21,1
LBXD07LA,0.13864,21,1
LBXF03LA,0.16532,21,1
LBXF04LA,0.3196,21,1
LBXF05LA,0.21996,21,1
LBXF08LA,0.23704,21,1
LBX074LA,0.19744,22,1
LBX099LA,0.206,22,1
LBX138LA,0.22524,22,1
LBX153LA,0.36608,22,1
LBX170LA,0.11688,22,1
LBX180LA,0.20476,22,1
LBX187LA,0.11376,22,1
LBX194LA,0.68684,22,1
LBXPCBLA,0.47256,22,1
LBXHXCLA,0.13044,22,1
LBX118LA,0.5746,22,1
LBXD03LA,0.11836,22,1
LBXD05LA,0.09576,22,1
LBXD07LA,0.0668,22,1
LBXF03LA,0.07148,22,1
LBXF04LA,0.99344,22,1
LBXF05LA,0.41296,22,1
LBXF08LA,0.04244,22,1
LBX074LA,0.79864,23,1
LBX099LA,0.5742,23,1
LBX138LA,0.60508,23,1
LBX153LA,0.54228,23,1
LBX170LA,0.64524,23,1
LBX180LA,0.59388,23,1
LBX187LA,0.51596,23,1
LBX194LA,0.98992,23,1
LBXPCBLA,0.8444,23,1
LBXHXCLA,0.72524,23,1
LBX118LA,0.63444,23,1
LBXD03LA,0.41792,23,1
LBXD05LA,1,23,1
LBXD07LA,0.58108,23,1
LBXF03LA,0.49536,23,1
LBXF04LA,0.86592,23,1
LBXF05LA,0.8048,23,1
LBXF08LA,0.70448,23,1
LBX074LA,0.55116,24,1
LBX099LA,0.30836,24,1
LBX138LA,0.33,24,1
LBX153LA,0.42452,24,1
LBX170LA,0.57048,24,1
LBX180LA,0.51448,24,1
LBX187LA,0.50152,24,1
LBX194LA,0.77864,24,1
LBXPCBLA,0.98328,24,1
LBXHXCLA,0.548,24,1
LBX118LA,0.61524,24,1
LBXD03LA,0.43816,24,1
LBXD05LA,0.245,24,1
LBXD07LA,0.75112,24,1
LBXF03LA,0.26992,24,1
LBXF04LA,0.99948,24,1
LBXF05LA,0.39168,24,1
LBXF08LA,0.3276,24,1
LBX074LA,0.2494,25,1
LBX099LA,0.2862,25,1
LBX138LA,0.10348,25,1
LBX153LA,0.10668,25,1
LBX170LA,0.114,25,1
LBX180LA,0.132,25,1
LBX187LA,0.18452,25,1
LBX194LA,0.98676,25,1
LBXPCBLA,0.82772,25,1
LBXHXCLA,0.1222,25,1
LBX118LA,0.10588,25,1
LBXD03LA,0.24376,25,1
LBXD05LA,0.0778,25,1
LBXD07LA,0.1652,25,1
LBXF03LA,0.17924,25,1
LBXF04LA,0.57844,25,1
LBXF05LA,0.10508,25,1
LBXF08LA,0.07808,25,1
LBX074LA,0.65584,26,1
LBX099LA,0.10292,26,1
LBX138LA,0.17268,26,1
LBX153LA,0.16768,26,1
LBX170LA,0.21128,26,1
LBX180LA,0.16636,26,1
LBX187LA,0.18948,26,1
LBX194LA,0.89064,26,1
LBXPCBLA,0.25312,26,1
LBXHXCLA,0.70936,26,1
LBX118LA,0.26528,26,1
LBXD03LA,0.15184,26,1
LBXD05LA,0.93876,26,1
LBXD07LA,0.22516,26,1
LBXF03LA,0.11616,26,1
LBXF04LA,0.17704,26,1
LBXF05LA,0.472,26,1
LBXF08LA,0.1438,26,1
LBX074LA,0.90348,27,1
LBX099LA,0.29884,27,1
LBX138LA,0.26248,27,1
LBX153LA,0.24964,27,1
LBX170LA,0.34928,27,1
LBX180LA,0.244,27,1
LBX187LA,0.36644,27,1
LBX194LA,0.86752,27,1
LBXPCBLA,0.38384,27,1
LBXHXCLA,0.2522,27,1
LBX118LA,0.3742,27,1
LBXD03LA,0.30288,27,1
LBXD05LA,0.84056,27,1
LBXD07LA,0.27816,27,1
LBXF03LA,0.36728,27,1
LBXF04LA,0.87636,27,1
LBXF05LA,0.243,27,1
LBXF08LA,0.10324,27,1
LBX074LA,0.97976,28,1
LBX099LA,0.04948,28,1
LBX138LA,0.10464,28,1
LBX153LA,0.12736,28,1
LBX170LA,0.0918,28,1
LBX180LA,0.07468,28,1
LBX187LA,0.08856,28,1
LBX194LA,0.27232,28,1
LBXPCBLA,0.40248,28,1
LBXHXCLA,0.05256,28,1
LBX118LA,0.14992,28,1
LBXD03LA,0.14948,28,1
LBXD05LA,1,28,1
LBXD07LA,0.1054,28,1
LBXF03LA,0.04476,28,1
LBXF04LA,0.99868,28,1
LBXF05LA,0.06204,28,1
LBXF08LA,0.03364,28,1
LBX074LA,0.8102,29,1
LBX099LA,0.1382,29,1
LBX138LA,0.2018,29,1
LBX153LA,0.21712,29,1
LBX170LA,0.2016,29,1
LBX180LA,0.37288,29,1
LBX187LA,0.15576,29,1
LBX194LA,0.61456,29,1
LBXPCBLA,0.16484,29,1
LBXHXCLA,0.31672,29,1
LBX118LA,0.27668,29,1
LBXD03LA,0.11096,29,1
LBXD05LA,0.92124,29,1
LBXD07LA,0.091,29,1
LBXF03LA,0.11024,29,1
LBXF04LA,0.9998,29,1
LBXF05LA,0.21984,29,1
LBXF08LA,0.17724,29,1
LBX074LA,0.58404,3,1
LBX099LA,0.57264,3,1
LBX138LA,0.312,3,1
LBX153LA,0.3878,3,1
LBX170LA,0.36492,3,1
LBX180LA,0.3348,3,1
LBX187LA,0.72104,3,1
LBX194LA,0.36892,3,1
LBXPCBLA,0.25876,3,1
LBXHXCLA,0.30892,3,1
LBX118LA,0.30576,3,1
LBXD03LA,0.48596,3,1
LBXD05LA,0.90144,3,1
LBXD07LA,0.24148,3,1
LBXF03LA,0.30452,3,1
LBXF04LA,0.7984,3,1
LBXF05LA,0.49308,3,1
LBXF08LA,0.2294,3,1
LBX074LA,0.8774,30,1
LBX099LA,0.50752,30,1
LBX138LA,0.35116000000000003,30,1
LBX153LA,0.3472,30,1
LBX170LA,0.32492,30,1
LBX180LA,0.3592,30,1
LBX187LA,0.31708,30,1
LBX194LA,0.57888,30,1
LBXPCBLA,0.52076,30,1
LBXHXCLA,0.38604,30,1
LBX118LA,0.33368,30,1
LBXD03LA,0.2894,30,1
LBXD05LA,0.49604,30,1
LBXD07LA,0.42692,30,1
LBXF03LA,0.244,30,1
LBXF04LA,0.99496,30,1
LBXF05LA,0.29316,30,1
LBXF08LA,0.2114,30,1
LBX074LA,0.4332,31,1
LBX099LA,0.16552,31,1
LBX138LA,0.19136,31,1
LBX153LA,0.1692,31,1
LBX170LA,0.21172,31,1
LBX180LA,0.10664,31,1
LBX187LA,0.10688,31,1
LBX194LA,0.22476,31,1
LBXPCBLA,0.22936,31,1
LBXHXCLA,0.15532,31,1
LBX118LA,0.63416,31,1
LBXD03LA,0.12844,31,1
LBXD05LA,0.55468,31,1
LBXD07LA,0.26804,31,1
LBXF03LA,0.09252,31,1
LBXF04LA,0.99896,31,1
LBXF05LA,0.16908,31,1
LBXF08LA,0.07212,31,1
LBX074LA,0.45008,32,1
LBX099LA,0.37372,32,1
LBX138LA,0.24848,32,1
LBX153LA,0.18328,32,1
LBX170LA,0.20248,32,1
LBX180LA,0.1302,32,1
LBX187LA,0.19868,32,1
LBX194LA,0.99044,32,1
LBXPCBLA,0.13968,32,1
LBXHXCLA,0.35572,32,1
LBX118LA,0.51012,32,1
LBXD03LA,0.17972,32,1
LBXD05LA,0.99564,32,1
LBXD07LA,0.21312,32,1
LBXF03LA,0.17068,32,1
LBXF04LA,0.591,32,1
LBXF05LA,0.3072,32,1
LBXF08LA,0.18152,32,1
LBX074LA,0.91968,33,1
LBX099LA,0.46912,33,1
LBX138LA,0.46792,33,1
LBX153LA,0.56268,33,1
LBX170LA,0.46912,33,1
LBX180LA,0.48792,33,1
LBX187LA,0.5508,33,1
LBX194LA,0.98528,33,1
LBXPCBLA,0.45592,33,1
LBXHXCLA,0.59916,33,1
LBX118LA,0.53624,33,1
LBXD03LA,0.3962,33,1
LBXD05LA,0.90624,33,1
LBXD07LA,0.42088,33,1
LBXF03LA,0.32128,33,1
LBXF04LA,0.75972,33,1
LBXF05LA,0.56212,33,1
LBXF08LA,0.29596,33,1
LBX074LA,0.31252,34,1
LBX099LA,0.33876,34,1
LBX138LA,0.22676,34,1
LBX153LA,0.22448,34,1
LBX170LA,0.81648,34,1
LBX180LA,0.30388,34,1
LBX187LA,0.30508,34,1
LBX194LA,0.55036,34,1
LBXPCBLA,0.13112,34,1
LBXHXCLA,0.20704,34,1
LBX118LA,0.35176,34,1
LBXD03LA,0.16296,34,1
LBXD05LA,0.9924,34,1
LBXD07LA,0.25176,34,1
LBXF03LA,0.96252,34,1
LBXF04LA,0.31744,34,1
LBXF05LA,0.1376,34,1
LBXF08LA,0.07492,34,1
LBX074LA,0.63336,35,1
LBX099LA,0.20496,35,1
LBX138LA,0.18736,35,1
LBX153LA,0.169,35,1
LBX170LA,0.21132,35,1
LBX180LA,0.14576,35,1
LBX187LA,0.17364,35,1
LBX194LA,0.95496,35,1
LBXPCBLA,0.61296,35,1
LBXHXCLA,0.12348,35,1
LBX118LA,0.2642,35,1
LBXD03LA,0.19068,35,1
LBXD05LA,0.74612,35,1
LBXD07LA,0.18132,35,1
LBXF03LA,0.24348,35,1
LBXF04LA,0.98456,35,1
LBXF05LA,0.36464,35,1
LBXF08LA,0.14944,35,1
LBX074LA,0.75976,36,1
LBX099LA,0.217,36,1
LBX138LA,0.16816,36,1
LBX153LA,0.31228,36,1
LBX170LA,0.17436,36,1
LBX180LA,0.19996,36,1
LBX187LA,0.25428,36,1
LBX194LA,0.8598,36,1
LBXPCBLA,0.13808,36,1
LBXHXCLA,0.15492,36,1
LBX118LA,0.15512,36,1
LBXD03LA,0.40684,36,1
LBXD05LA,0.9818,36,1
LBXD07LA,0.08752,36,1
LBXF03LA,0.07568,36,1
LBXF04LA,0.99736,36,1
LBXF05LA,0.0926,36,1
LBXF08LA,0.06864,36,1
LBX074LA,0.74956,37,1
LBX099LA,0.29244,37,1
LBX138LA,0.23856,37,1
LBX153LA,0.29388,37,1
LBX170LA,0.573,37,1
LBX180LA,0.3486,37,1
LBX187LA,0.27124,37,1
LBX194LA,0.99924,37,1
LBXPCBLA,0.97216,37,1
LBXHXCLA,0.29728,37,1
LBX118LA,0.22264,37,1
LBXD03LA,0.17408,37,1
LBXD05LA,0.54052,37,1
LBXD07LA,0.89948,37,1
LBXF03LA,0.15948,37,1
LBXF04LA,0.98332,37,1
LBXF05LA,0.2242,37,1
LBXF08LA,0.14268,37,1
LBX074LA,0.22112,38,1
LBX099LA,0.09752,38,1
LBX138LA,0.10908,38,1
LBX153LA,0.15048,38,1
LBX170LA,0.28052,38,1
LBX180LA,0.15316,38,1
LBX187LA,0.2012,38,1
LBX194LA,0.97076,38,1
LBXPCBLA,0.27124,38,1
LBXHXCLA,0.16124,38,1
LBX118LA,0.332,38,1
LBXD03LA,0.13088,38,1
LBXD05LA,0.97792,38,1
LBXD07LA,0.14604,38,1
LBXF03LA,0.12992,38,1
LBXF04LA,0.90316,38,1
LBXF05LA,0.18312,38,1
LBXF08LA,0.20036,38,1
LBX074LA,0.83544,39,1
LBX099LA,0.10904,39,1
LBX138LA,0.15164,39,1
LBX153LA,0.18764,39,1
LBX170LA,0.20136,39,1
LBX180LA,0.15864,39,1
LBX187LA,0.46216,39,1
LBX194LA,0.23552,39,1
LBXPCBLA,0.37008,39,1
LBXHXCLA,0.156,39,1
LBX118LA,0.39204,39,1
LBXD03LA,0.32128,39,1
LBXD05LA,0.99044,39,1
LBXD07LA,0.10628,39,1
LBXF03LA,0.19188,39,1
LBXF04LA,0.54852,39,1
LBXF05LA,0.378,39,1
LBXF08LA,0.11352,39,1
LBX074LA,0.8728,4,1
LBX099LA,0.25044,4,1
LBX138LA,0.30656,4,1
LBX153LA,0.25448,4,1
LBX170LA,0.38592,4,1
LBX180LA,0.36484,4,1
LBX187LA,0.36396,4,1
LBX194LA,0.93972,4,1
LBXPCBLA,0.13884,4,1
LBXHXCLA,0.25204,4,1
LBX118LA,0.2738,4,1
LBXD03LA,0.16176,4,1
LBXD05LA,1,4,1
LBXD07LA,0.27616,4,1
LBXF03LA,0.24304,4,1
LBXF04LA,0.96664,4,1
LBXF05LA,0.2258,4,1
LBXF08LA,0.38452,4,1
LBX074LA,0.19192,40,1
LBX099LA,0.1426,40,1
LBX138LA,0.26788,40,1
LBX153LA,0.23864,40,1
LBX170LA,0.27216,40,1
LBX180LA,0.1804,40,1
LBX187LA,0.24184,40,1
LBX194LA,0.99744,40,1
LBXPCBLA,0.25024,40,1
LBXHXCLA,0.27452,40,1
LBX118LA,0.36784,40,1
LBXD03LA,0.21292,40,1
LBXD05LA,0.86168,40,1
LBXD07LA,0.33036,40,1
LBXF03LA,0.13848,40,1
LBXF04LA,0.47004,40,1
LBXF05LA,0.15256,40,1
LBXF08LA,0.20888,40,1
LBX074LA,0.83584,41,1
LBX099LA,0.37524,41,1
LBX138LA,0.43768,41,1
LBX153LA,0.42636,41,1
LBX170LA,0.83276,41,1
LBX180LA,0.57592,41,1
LBX187LA,0.46724,41,1
LBX194LA,0.45656,41,1
LBXPCBLA,0.63356,41,1
LBXHXCLA,0.43828,41,1
LBX118LA,0.64944,41,1
LBXD03LA,0.4616,41,1
LBXD05LA,0.98996,41,1
LBXD07LA,0.25836,41,1
LBXF03LA,0.47788,41,1
LBXF04LA,0.9494,41,1
LBXF05LA,0.32744,41,1
LBXF08LA,0.80772,41,1
LBX074LA,0.45876,42,1
LBX099LA,0.26376,42,1
LBX138LA,0.31176,42,1
LBX153LA,0.32236,42,1
LBX170LA,0.36888,42,1
LBX180LA,0.24192,42,1
LBX187LA,0.44912,42,1
LBX194LA,0.6792,42,1
LBXPCBLA,0.26972,42,1
LBXHXCLA,0.25908,42,1
LBX118LA,0.51832,42,1
LBXD03LA,0.6722,42,1
LBXD05LA,0.8192,42,1
LBXD07LA,0.30928,42,1
LBXF03LA,0.73556,42,1
LBXF04LA,0.99188,42,1
LBXF05LA,0.25312,42,1
LBXF08LA,0.12908,42,1
LBX074LA,0.85692,43,1
LBX099LA,0.2942,43,1
LBX138LA,0.3522,43,1
LBX153LA,0.31124,43,1
LBX170LA,0.5326,43,1
LBX180LA,0.34452,43,1
LBX187LA,0.3672,43,1
LBX194LA,0.48816,43,1
LBXPCBLA,0.19848,43,1
LBXHXCLA,0.35912,43,1
LBX118LA,0.2532,43,1
LBXD03LA,0.393,43,1
LBXD05LA,0.99924,43,1
LBXD07LA,0.1708,43,1
LBXF03LA,0.16728,43,1
LBXF04LA,0.4244,43,1
LBXF05LA,0.601,43,1
LBXF08LA,0.23592,43,1
LBX074LA,0.42848,44,1
LBX099LA,0.23236,44,1
LBX138LA,0.29412,44,1
LBX153LA,0.295,44,1
LBX170LA,0.29376,44,1
LBX180LA,0.29904,44,1
LBX187LA,0.25288,44,1
LBX194LA,0.99468,44,1
LBXPCBLA,0.73068,44,1
LBXHXCLA,0.24248,44,1
LBX118LA,0.39456,44,1
LBXD03LA,0.53324,44,1
LBXD05LA,0.94804,44,1
LBXD07LA,0.48624,44,1
LBXF03LA,0.24772,44,1
LBXF04LA,0.78456,44,1
LBXF05LA,0.27568,44,1
LBXF08LA,0.1602,44,1
LBX074LA,0.3354,45,1
LBX099LA,0.32688,45,1
LBX138LA,0.32244,45,1
LBX153LA,0.37088,45,1
LBX170LA,0.39428,45,1
LBX180LA,0.431,45,1
LBX187LA,0.76164,45,1
LBX194LA,0.50672,45,1
LBXPCBLA,0.445,45,1
LBXHXCLA,0.39156,45,1
LBX118LA,0.27528,45,1
LBXD03LA,0.32732,45,1
LBXD05LA,0.92116,45,1
LBXD07LA,0.34364,45,1
LBXF03LA,0.26312,45,1
LBXF04LA,0.88064,45,1
LBXF05LA,0.41828,45,1
LBXF08LA,0.55924,45,1
LBX074LA,0.85596,46,1
LBX099LA,0.41624,46,1
LBX138LA,0.53256,46,1
LBX153LA,0.51064,46,1
LBX170LA,0.71456,46,1
LBX180LA,0.59464,46,1
LBX187LA,0.75304,46,1
LBX194LA,0.99164,46,1
LBXPCBLA,0.8104,46,1
LBXHXCLA,0.39996,46,1
LBX118LA,0.40376,46,1
LBXD03LA,0.59044,46,1
LBXD05LA,0.64352,46,1
LBXD07LA,0.35372,46,1
LBXF03LA,0.51016,46,1
LBXF04LA,0.9086,46,1
LBXF05LA,0.48724,46,1
LBXF08LA,0.5692,46,1
LBX074LA,0.50408,47,1
LBX099LA,0.3008,47,1
LBX138LA,0.43108,47,1
LBX153LA,0.49268,47,1
LBX170LA,0.42528,47,1
LBX180LA,0.42212,47,1
LBX187LA,0.66508,47,1
LBX194LA,0.92768,47,1
LBXPCBLA,0.50296,47,1
LBXHXCLA,0.30432,47,1
LBX118LA,0.36908,47,1
LBXD03LA,0.3124,47,1
LBXD05LA,0.78928,47,1
LBXD07LA,0.38224,47,1
LBXF03LA,0.51416,47,1
LBXF04LA,0.88996,47,1
LBXF05LA,0.23532,47,1
LBXF08LA,0.3656,47,1
LBX074LA,0.42872,48,1
LBX099LA,0.2366,48,1
LBX138LA,0.35336,48,1
LBX153LA,0.46296,48,1
LBX170LA,0.3442,48,1
LBX180LA,0.3284,48,1
LBX187LA,0.87916,48,1
LBX194LA,0.625,48,1
LBXPCBLA,0.50048,48,1
LBXHXCLA,0.35844,48,1
LBX118LA,0.87464,48,1
LBXD03LA,0.24316,48,1
LBXD05LA,0.89112,48,1
LBXD07LA,0.23384,48,1
LBXF03LA,0.44524,48,1
LBXF04LA,0.98372,48,1
LBXF05LA,0.56572,48,1
LBXF08LA,0.34056,48,1
LBX074LA,0.3132,49,1
LBX099LA,0.05692,49,1
LBX138LA,0.10416,49,1
LBX153LA,0.10344,49,1
LBX170LA,0.11648,49,1
LBX180LA,0.06788,49,1
LBX187LA,0.1014,49,1
LBX194LA,0.99908,49,1
LBXPCBLA,0.08564,49,1
LBXHXCLA,0.07388,49,1
LBX118LA,0.21844,49,1
LBXD03LA,0.12988,49,1
LBXD05LA,0.99976,49,1
LBXD07LA,0.13972,49,1
LBXF03LA,0.11836,49,1
LBXF04LA,0.93468,49,1
LBXF05LA,0.23336,49,1
LBXF08LA,0.0344,49,1
LBX074LA,0.96252,5,1
LBX099LA,0.14936,5,1
LBX138LA,0.4328,5,1
LBX153LA,0.1968,5,1
LBX170LA,0.48748,5,1
LBX180LA,0.22452,5,1
LBX187LA,0.2682,5,1
LBX194LA,0.21716,5,1
LBXPCBLA,0.34864,5,1
LBXHXCLA,0.17812,5,1
LBX118LA,0.28,5,1
LBXD03LA,0.218,5,1
LBXD05LA,0.68004,5,1
LBXD07LA,0.6506,5,1
LBXF03LA,0.42212,5,1
LBXF04LA,0.99376,5,1
LBXF05LA,0.30072,5,1
LBXF08LA,0.08888,5,1
LBX074LA,0.1416,50,1
LBX099LA,0.14916,50,1
LBX138LA,0.14868,50,1
LBX153LA,0.19392,50,1
LBX170LA,0.12656,50,1
LBX180LA,0.17924,50,1
LBX187LA,0.10964,50,1
LBX194LA,1,50,1
LBXPCBLA,0.85132,50,1
LBXHXCLA,0.0602,50,1
LBX118LA,0.16568,50,1
LBXD03LA,0.0762,50,1
LBXD05LA,0.9956,50,1
LBXD07LA,0.0966,50,1
LBXF03LA,0.1358,50,1
LBXF04LA,0.78908,50,1
