variable,fixedat1,fixedat2,est,sd,trial,case
LBXPCBLA,LBX194LA,LBXD05LA,0.40235015001813323,0.6644844092781992,1320,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.35183364388419136,0.8979495570036765,1320,14
LBXD05LA,LBXPCBLA,LBX194LA,0.3989603353420481,0.6525096829216133,1321,14
LBXPCBLA,LBX194LA,LBXD05LA,0.11425038528140341,0.2881328959376389,1321,14
LBX194LA,LBXD05LA,LBXPCBLA,0.4030588403116093,0.6650993825196041,1321,14
LBXD05LA,LBXPCBLA,LBX194LA,0.14353480846531586,0.4378176021523334,1322,14
LBXPCBLA,LBX194LA,LBXD05LA,-1.168271172207997,0.7316988004247515,1322,14
LBX194LA,LBXD05LA,LBXPCBLA,-1.02533895196804,0.7649088952238577,1322,14
LBXD05LA,LBXPCBLA,LBX194LA,-0.18871016680188202,0.5364349935168912,1323,14
LBXPCBLA,LBX194LA,LBXD05LA,0.011323626199588155,0.24473916194281062,1323,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.17898940340543934,0.5285253432878758,1323,14
LBXD05LA,LBXPCBLA,LBX194LA,0.022847272008182706,0.6401089608184903,1324,14
LBXPCBLA,LBX194LA,LBXD05LA,-0.1518338037882332,0.4290305455217563,1324,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.10830892297532113,0.6148212233947525,1324,14
LBXD05LA,LBXPCBLA,LBX194LA,-0.3941750583218937,0.5517304912380584,1325,14
LBXPCBLA,LBX194LA,LBXD05LA,0.006706182437682173,0.2840440857017834,1325,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.3043427242690706,0.5461095655992574,1325,14
LBXD05LA,LBXPCBLA,LBX194LA,0.24814658858484417,0.5984580255173718,1326,14
LBXPCBLA,LBX194LA,LBXD05LA,-0.002684976808228434,0.45912788354751444,1326,14
LBX194LA,LBXD05LA,LBXPCBLA,0.2237230649123667,0.6135921802520258,1326,14
LBXD05LA,LBXPCBLA,LBX194LA,0.048123619728940525,0.48900935685834035,1327,14
LBXPCBLA,LBX194LA,LBXD05LA,0.044103978378407405,0.24945173916715158,1327,14
LBX194LA,LBXD05LA,LBXPCBLA,0.035900481717067834,0.46250421480666026,1327,14
LBXD05LA,LBXPCBLA,LBX194LA,-0.2395646600500898,0.7981779063003455,1328,14
LBXPCBLA,LBX194LA,LBXD05LA,0.18712253486676111,0.5747379521678994,1328,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.43850360866187277,0.8003002800540433,1328,14
LBXD05LA,LBXPCBLA,LBX194LA,0.3948385012454336,0.8197375214403286,1329,14
LBXPCBLA,LBX194LA,LBXD05LA,0.14302060260066973,0.4401826399071173,1329,14
LBX194LA,LBXD05LA,LBXPCBLA,0.557671462562225,0.8262854506773945,1329,14
LBXD05LA,LBXPCBLA,LBX194LA,0.12683497238156605,0.620897731192896,1330,14
LBXPCBLA,LBX194LA,LBXD05LA,-0.09924408827120956,0.4647106283320528,1330,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.07615723075538705,0.6273330293389209,1330,14
LBXD05LA,LBXPCBLA,LBX194LA,0.1622866415595423,0.5875573657233177,1331,14
LBXPCBLA,LBX194LA,LBXD05LA,-0.0831452149224976,0.38650235739396094,1331,14
LBX194LA,LBXD05LA,LBXPCBLA,0.08702874383209291,0.6052396613768632,1331,14
LBXD05LA,LBXPCBLA,LBX194LA,0.39197864060200516,0.6481811379770686,1332,14
LBXPCBLA,LBX194LA,LBXD05LA,0.007476940847764624,0.3539718521972293,1332,14
LBX194LA,LBXD05LA,LBXPCBLA,0.4915654589403804,0.6590401785375648,1332,14
LBXD05LA,LBXPCBLA,LBX194LA,0.17185198206613794,0.5250827791677005,1333,14
LBXPCBLA,LBX194LA,LBXD05LA,0.018775570046524415,0.6094382880126498,1333,14
LBX194LA,LBXD05LA,LBXPCBLA,0.06602826942824436,0.6104859249958199,1333,14
LBXD05LA,LBXPCBLA,LBX194LA,-0.2591954990143295,0.8281316564086401,1334,14
LBXPCBLA,LBX194LA,LBXD05LA,0.12715529284062121,0.5640913911248215,1334,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.5267409886841676,0.8387939379706898,1334,14
LBXD05LA,LBXPCBLA,LBX194LA,0.023543436175635257,0.49690202054177207,1335,14
LBXPCBLA,LBX194LA,LBXD05LA,-0.10148926240377687,0.49401820542650193,1335,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.17785103005719094,0.5964267190861235,1335,14
LBXD05LA,LBXPCBLA,LBX194LA,0.468426363781683,0.6514809317539179,1336,14
LBXPCBLA,LBX194LA,LBXD05LA,0.03947150608458294,0.24011714768547296,1336,14
LBX194LA,LBXD05LA,LBXPCBLA,0.49647169162031535,0.6545981673098229,1336,14
LBXD05LA,LBXPCBLA,LBX194LA,-0.019634689223920532,0.5017214901771182,1337,14
LBXPCBLA,LBX194LA,LBXD05LA,0.06998031724327713,0.24201186614705966,1337,14
LBX194LA,LBXD05LA,LBXPCBLA,0.006257360450458549,0.49080928305478394,1337,14
LBXD05LA,LBXPCBLA,LBX194LA,0.05655167843090947,0.6673876735761347,1338,14
LBXPCBLA,LBX194LA,LBXD05LA,-0.3739026730846948,0.5861744715268105,1338,14
LBX194LA,LBXD05LA,LBXPCBLA,0.08783802679788444,0.7001408448514714,1338,14
LBXD05LA,LBXPCBLA,LBX194LA,2.2098839651776743,1.063367910734767,1339,14
LBXPCBLA,LBX194LA,LBXD05LA,0.47697469005102455,0.9374684957910041,1339,14
LBX194LA,LBXD05LA,LBXPCBLA,2.2609605582960217,1.2017298175211217,1339,14
LBXD05LA,LBXPCBLA,LBX194LA,0.30394110982663314,0.7731893514060565,1340,14
LBXPCBLA,LBX194LA,LBXD05LA,-0.03497962989881298,0.45063318569108823,1340,14
LBX194LA,LBXD05LA,LBXPCBLA,0.4246243350183523,0.7762823535558799,1340,14
LBXD05LA,LBXPCBLA,LBX194LA,-0.061424384399831666,0.5109481378873062,1341,14
LBXPCBLA,LBX194LA,LBXD05LA,-0.08146858626910447,0.26260288545204113,1341,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.14215622197149003,0.5387773645912908,1341,14
LBXD05LA,LBXPCBLA,LBX194LA,0.18097037138443905,0.9378461108191967,1342,14
LBXPCBLA,LBX194LA,LBXD05LA,0.27922646622171765,0.6798527237355733,1342,14
LBX194LA,LBXD05LA,LBXPCBLA,0.10197066736121574,0.859289845182688,1342,14
LBXD05LA,LBXPCBLA,LBX194LA,0.24274670326549153,0.620263644033434,1343,14
LBXPCBLA,LBX194LA,LBXD05LA,0.08631080842747085,0.6147876012132417,1343,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.3147277263588597,0.6972717085957383,1343,14
LBXD05LA,LBXPCBLA,LBX194LA,0.03757936650462668,0.518575961112034,1344,14
LBXPCBLA,LBX194LA,LBXD05LA,0.05227994178816875,0.23926302789982598,1344,14
LBX194LA,LBXD05LA,LBXPCBLA,0.027650934742474043,0.5207330132646696,1344,14
LBXD05LA,LBXPCBLA,LBX194LA,-0.017273351753961386,0.6457050514067577,1345,14
LBXPCBLA,LBX194LA,LBXD05LA,0.011892034278125685,0.2614641074821301,1345,14
LBX194LA,LBXD05LA,LBXPCBLA,0.04608272266416602,0.6445431472109249,1345,14
LBXD05LA,LBXPCBLA,LBX194LA,-0.12999279617818704,0.44796336619992105,1346,14
LBXPCBLA,LBX194LA,LBXD05LA,0.020429581747701153,0.38241388216988564,1346,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.1182807888058397,0.5195408493600554,1346,14
LBXD05LA,LBXPCBLA,LBX194LA,0.3651701131296967,0.6833210260299584,1347,14
LBXPCBLA,LBX194LA,LBXD05LA,0.1999967965663938,0.5556730685949038,1347,14
LBX194LA,LBXD05LA,LBXPCBLA,0.7308495519453668,0.731032946035917,1347,14
LBXD05LA,LBXPCBLA,LBX194LA,-0.04551696615015732,0.6372189057291323,1348,14
LBXPCBLA,LBX194LA,LBXD05LA,0.205915422868868,0.42273408979951244,1348,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.10435080575592615,0.6623111426215357,1348,14
LBXD05LA,LBXPCBLA,LBX194LA,0.12657963953264417,0.5394595924073169,1349,14
LBXPCBLA,LBX194LA,LBXD05LA,0.10145864545272953,0.46424700309915307,1349,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.16064327630727515,0.49400196152105474,1349,14
LBXD05LA,LBXPCBLA,LBX194LA,-0.1564557964778448,0.4972781841131097,1350,14
LBXPCBLA,LBX194LA,LBXD05LA,0.0766701225741544,0.41340634623853384,1350,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.04209056145055268,0.5571119500487263,1350,14
LBXD05LA,LBXPCBLA,LBX194LA,0.11284449327949364,0.41151285949052,1351,14
LBXPCBLA,LBX194LA,LBXD05LA,0.05407677545675238,0.20104441772989382,1351,14
