variable,PIP,race,trial,case
LBX187LA,0.27292,3,100,1
LBX194LA,0.33312,3,100,1
LBXPCBLA,0.23324,3,100,1
LBXHXCLA,0.2056,3,100,1
LBX118LA,0.58276,3,100,1
LBXD03LA,0.20316,3,100,1
LBXD05LA,0.38984,3,100,1
LBXD07LA,0.20468,3,100,1
LBXF03LA,0.22784,3,100,1
LBXF04LA,0.34904,3,100,1
LBXF05LA,0.21128,3,100,1
LBXF08LA,0.28172,3,100,1
LBX074LA,0.63312,1,11,1
LBX099LA,0.4914,1,11,1
LBX138LA,0.48292,1,11,1
LBX153LA,0.54436,1,11,1
LBX170LA,0.46368,1,11,1
LBX180LA,0.49008,1,11,1
LBX187LA,0.51372,1,11,1
LBX194LA,0.54424,1,11,1
LBXPCBLA,0.58788,1,11,1
LBXHXCLA,0.46468,1,11,1
LBX118LA,0.6774,1,11,1
LBXD03LA,0.74256,1,11,1
LBXD05LA,0.5698,1,11,1
LBXD07LA,0.47252,1,11,1
LBXF03LA,0.43328,1,11,1
LBXF04LA,0.76552,1,11,1
LBXF05LA,0.50652,1,11,1
LBXF08LA,0.50392,1,11,1
LBX074LA,0.47976,2,11,1
LBX099LA,0.28332,2,11,1
LBX138LA,0.32868000000000003,2,11,1
LBX153LA,0.32796,2,11,1
LBX170LA,0.36336,2,11,1
LBX180LA,0.30168,2,11,1
LBX187LA,0.49216,2,11,1
LBX194LA,0.63276,2,11,1
LBXPCBLA,0.31848,2,11,1
LBXHXCLA,0.32192,2,11,1
LBX118LA,0.40212,2,11,1
LBXD03LA,0.26288,2,11,1
LBXD05LA,0.88584,2,11,1
LBXD07LA,0.27628,2,11,1
LBXF03LA,0.37888,2,11,1
LBXF04LA,0.94804,2,11,1
LBXF05LA,0.32688,2,11,1
LBXF08LA,0.26672,2,11,1
LBX074LA,0.48932,3,11,1
LBX099LA,0.50244,3,11,1
LBX138LA,0.545,3,11,1
LBX153LA,0.50388,3,11,1
LBX170LA,0.5272,3,11,1
LBX180LA,0.52764,3,11,1
LBX187LA,0.46996,3,11,1
LBX194LA,0.54924,3,11,1
LBXPCBLA,0.60424,3,11,1
LBXHXCLA,0.5244,3,11,1
LBX118LA,0.47128,3,11,1
LBXD03LA,0.51816,3,11,1
LBXD05LA,0.60708,3,11,1
LBXD07LA,0.44432,3,11,1
LBXF03LA,0.48348,3,11,1
LBXF04LA,0.53376,3,11,1
LBXF05LA,0.50988,3,11,1
LBXF08LA,0.47284,3,11,1
LBX074LA,0.3152,1,12,1
LBX099LA,0.32296,1,12,1
LBX138LA,0.32908,1,12,1
LBX153LA,0.39416,1,12,1
LBX170LA,0.33248,1,12,1
LBX180LA,0.35532,1,12,1
LBX187LA,0.45796,1,12,1
LBX194LA,0.35832,1,12,1
LBXPCBLA,0.38364,1,12,1
LBXHXCLA,0.34488,1,12,1
LBX118LA,0.34772,1,12,1
LBXD03LA,0.358,1,12,1
LBXD05LA,0.47228,1,12,1
LBXD07LA,0.44168,1,12,1
LBXF03LA,0.3286,1,12,1
LBXF04LA,0.66776,1,12,1
LBXF05LA,0.33,1,12,1
LBXF08LA,0.34436,1,12,1
LBX074LA,0.5442,2,12,1
LBX099LA,0.65312,2,12,1
LBX138LA,0.47152,2,12,1
LBX153LA,0.44332,2,12,1
LBX170LA,0.3872,2,12,1
LBX180LA,0.44652,2,12,1
LBX187LA,0.42228,2,12,1
LBX194LA,0.48368,2,12,1
LBXPCBLA,0.48688,2,12,1
LBXHXCLA,0.39632,2,12,1
LBX118LA,0.36668,2,12,1
LBXD03LA,0.36864,2,12,1
LBXD05LA,0.48408,2,12,1
LBXD07LA,0.39988,2,12,1
LBXF03LA,0.3172,2,12,1
LBXF04LA,0.42988,2,12,1
LBXF05LA,0.4916,2,12,1
LBXF08LA,0.76064,2,12,1
LBX074LA,0.54764,3,12,1
LBX099LA,0.41076,3,12,1
LBX138LA,0.34176,3,12,1
LBX153LA,0.3834,3,12,1
LBX170LA,0.39244,3,12,1
