z1,est,se,race,trial,case
-2.8644055190315356,0.15665890475673905,2.1673253601003077,1,1,1
-2.7464547077584274,0.16800450413564505,2.092404304489945,1,1,1
-2.6285038964853187,0.17825082311275064,2.018026540333813,1,1,1
-2.5105530852122104,0.18738950606381177,1.9442515582764248,1,1,1
-2.392602273939102,0.1954129907919926,1.8711465638801685,1,1,1
-2.274651462665994,0.20231451833288716,1.7987880100271492,1,1,1
-2.1567006513928852,0.20808814182066193,1.727263433545342,1,1,1
-2.038749840119777,0.21272873440222995,1.6566736555671029,1,1,1
-1.9207990288466685,0.21623199618247746,1.5871354133274547,1,1,1
-1.80284821757356,0.218594460191472,1.5187844973093816,1,1,1
-1.6848974063004518,0.21981349736013733,1.4517794686934833,1,1,1
-1.5669465950273433,0.2198873204958085,1.3863060226274049,1,1,1
-1.4489957837542349,0.21881498725111292,1.3225820339268652,1,1,1
-1.3310449724811266,0.21659640207781194,1.2608632593972475,1,1,1
-1.2130941612080182,0.21323231716470037,1.2014495538957468,1,1,1
-1.09514334993491,0.20872433235304655,1.1446912567142866,1,1,1
-0.9771925386618014,0.20307489403123125,1.0909950863518625,1,1,1
-0.8592417273886932,0.19628729300960845,1.040828415567204,1,1,1
-0.7412909161155845,0.18836566137530575,0.9947201856028408,1,1,1
-0.6233401048424763,0.1793149683338422,0.9532560398283622,1,1,1
-0.505389293569368,0.1691410150427597,0.9170647466581628,1,1,1
-0.3874384822962593,0.15785042844287656,0.8867930869271043,1,1,1
-0.2694876710231511,0.14545065409902946,0.8630677162125522,1,1,1
-0.15153685975004283,0.13194994805974414,0.8464455604368151,1,1,1
-0.03358604847693414,0.11735736774756322,0.8373588142203909,1,1,1
0.08436476279617411,0.10168276189516412,0.8360650338004441,1,1,1
0.20231557406928236,0.0849367595431616,0.8426145362962049,1,1,1
0.3202663853423906,0.06713075811424307,0.8568442509824615,1,1,1
0.4382171966154993,0.04827691058615713,0.8783998052733297,1,1,1
0.5561680078886075,0.028388111779970693,0.9067793788897625,1,1,1
0.6741188191617158,0.007477983787082643,0.9413877804213058,1,1,1
0.7920696304348245,-0.014439139442834481,0.9815890909718212,1,1,1
0.9100204417079327,-0.03734822832762763,1.026749850505628,1,1,1
1.027971252981041,-0.06123357466881263,1.076269485879,1,1,1
1.1459220642541492,-0.0860788094288143,1.1295984109096913,1,1,1
1.263872875527258,-0.11186692124365649,1.1862462308954134,1,1,1
1.3818236868003666,-0.13858027564003983,1.245783020847775,1,1,1
1.4997744980734744,-0.1662006349278764,1.307836329494854,1,1,1
1.617725309346583,-0.19470917873740312,1.372085919116603,1,1,1
1.7356761206196918,-0.22408652516723127,1.4382576002705318,1,1,1
1.8536269318927996,-0.2543127525120701,1.5061169945253536,1,1,1
1.9715777431659083,-0.285367421535363,1.5754636840138003,1,1,1
2.089528554439017,-0.3172295982523843,1.646125962902768,1,1,1
2.2074793657121248,-0.3498778771884137,1.7179562587954198,1,1,1
2.3254301769852335,-0.3832904050773931,1.790827210130616,1,1,1
2.443380988258342,-0.4174449049624718,1.8646283448235241,1,1,1
2.56133179953145,-0.45231870066365776,1.9392632889635206,1,1,1
2.6792826108045587,-0.48788874157419126,2.0146474316748044,1,1,1
2.7972334220776673,-0.5241316277483477,2.090705976531064,1,1,1
2.9151842333507756,-0.5610236352424374,2.167372317339265,1,1,1
-3.288723806948354,-1.6950824254850252,1.8904213253815987,2,1,1
-3.166003914823827,-1.6321058545238565,1.8233203186121985,2,1,1
-3.043284022699299,-1.5680432411768153,1.7566833344442645,2,1,1
-2.920564130574772,-1.5029408582501451,1.6905452700606205,2,1,1
-2.797844238450245,-1.4368469997421975,1.624942813105402,2,1,1
-2.6751243463257177,-1.3698119254292151,1.5599151721847775,2,1,1
-2.55240445420119,-1.301887800872552,1.4955049892893597,2,1,1
-2.429684562076663,-1.2331286329393571,1.431759478331522,2,1,1
-2.306964669952136,-1.163590200938692,1.3687318460125129,2,1,1
-2.184244777827608,-1.0933299834890817,1.306483066559284,2,1,1
-2.061524885703081,-1.0224070812466848,1.245084101168418,2,1,1
-1.9388049935785538,-0.9508821356336592,1.1846186768189244,2,1,1
-1.8160851014540265,-0.8788172437193427,1.1251867674855158,2,1,1
-1.6933652093294993,-0.8062758694179912,1.06690895251418,2,1,1
-1.570645317204972,-0.7333227511810294,1.009931858022628,2,1,1
-1.4479254250804448,-0.6600238063638153,0.9544349081788851,2,1,1
-1.3252055329559174,-0.586446032470727,0.9006386040395543,2,1,1
-1.20248564083139,-0.5126574054771451,0.8488144693465509,2,1,1
-1.0797657487068628,-0.43872677544982364,0.7992965850574502,2,1,1
-0.9570458565823357,-0.36472375968376847,0.752494161253027,2,1,1
-0.834325964457808,-0.2907186335917693,0.7089036985832223,2,1,1
-0.7116060723332809,-0.21678221958349275,0.6691177871299562,2,1,1
-0.5888861802087537,-0.14298577417967828,0.6338254236139238,2,1,1
-0.46616628808422655,-0.06940087361458591,0.603796326737161,2,1,1
-0.34344639595969895,0.0039007018173249364,0.5798405651085964,2,1,1
-0.22072650383517178,0.07684708440980037,0.5627376904985688,2,1,1
-0.09800661171064462,0.14936643641971115,0.5531393996279413,2,1,1
0.024713280413882988,0.2213870679048422,0.5514656484157107,2,1,1
0.14743317253841015,0.2928375547510087,0.5578274022275559,2,1,1
0.2701530646629373,0.36364685661630514,0.5720067075779542,2,1,1
0.3928729567874645,0.43374443452289313,0.5935024959665886,2,1,1
0.5155928489119921,0.5030603678213748,0.6216223127944797,2,1,1
0.6383127410365192,0.5715254702579924,0.6555858170843007,2,1,1
