est,sd,race,variable,trial,case
-0.14306500865066463,3.6692653461599973,1,1,1,1
1.4962932306337067,2.2081915067578146,1,2,1,1
-0.10188448878071178,1.9122593291692855,1,3,1,1
0.6735409491962147,2.235920406436418,1,4,1,1
1.1473918950411872,2.6444705583614136,1,5,1,1
-0.1547258968765063,2.0370279149835726,1,6,1,1
-0.33304328818673323,2.478527332206809,1,7,1,1
4.7995990012666,2.9478671956686364,1,8,1,1
-0.5435743639514217,1.3226420285908105,1,9,1,1
0.2537509651783596,2.408662205140025,1,10,1,1
-0.34755919189418427,1.9916695573292877,1,11,1,1
0.13683185663851982,1.3943008776501624,1,12,1,1
-0.9323757387934741,2.3217273753708816,1,14,1,1
-1.3396334287570228,2.083158584338685,1,15,1,1
1.7062751337434214,2.577698741092218,1,16,1,1
0.8869682556145884,2.4170512338466215,1,17,1,1
0.6262246996337523,1.1106574196929384,1,18,1,1
0.8989597552464783,1.7964342142221157,2,1,1,1
1.202747789099007,1.8859575956687467,2,2,1,1
0.35447035338585486,1.805671665546735,2,3,1,1
-0.9877542414060461,1.698207736487947,2,4,1,1
0.0665620538926861,1.9922648552921185,2,5,1,1
0.26630922298016735,1.7303534039161845,2,6,1,1
0.7092882277000925,1.8266916052356912,2,7,1,1
-0.02034829658204451,1.5752047388906218,2,8,1,1
0.6330739624524302,1.0708438122433641,2,9,1,1
-0.642269084494898,1.6030481170170576,2,10,1,1
-0.13081105259850112,1.9818965116344744,2,11,1,1
-1.351705980393164,1.0429027049705766,2,12,1,1
0.7772115558947972,1.4279533696395532,2,14,1,1
0.7006250111166956,1.5165759461395178,2,15,1,1
0.2999221411175155,1.0587454274842485,2,16,1,1
0.04713133383993107,1.2273144185934826,2,17,1,1
0.6481631361214992,1.0911385032543839,2,18,1,1
0.6527179766110596,2.0390026749561785,3,1,1,1
0.1350537008817163,2.075433373175813,3,2,1,1
-0.14345111863507665,2.6549604556585242,3,3,1,1
-0.4580683622732078,2.4397241538753933,3,4,1,1
0.13456664635052729,2.211182275551919,3,5,1,1
-0.07346442294793398,2.1166702636030457,3,6,1,1
-0.027336435871916365,1.6988913984252771,3,7,1,1
-0.22655995048060795,1.2971618495265111,3,8,1,1
2.1308226908047603,1.3720307435311683,3,9,1,1
2.5735960239868794,2.300704152659672,3,10,1,1
-0.2585128973401707,2.319957795092824,3,11,1,1
1.2119920444666006,1.7102812535078231,3,12,1,1
0.05694293647759796,1.5323542979842828,3,14,1,1
-0.6546669734292863,1.520426610110894,3,15,1,1
-0.9802865698689089,1.7638876066315354,3,16,1,1
0.22124661980822502,1.7205886080150297,3,17,1,1
0.05920343689745433,1.2025707100853054,3,18,1,1
-0.9968345552103068,1.9079391066910873,1,1,10,1
3.6619011536650214,2.9050002800482964,1,2,10,1
0.11531995289851965,2.506328048418925,1,3,10,1
-0.10800897729386202,2.305576274745496,1,4,10,1
-0.6395041596235468,2.590917220371111,1,5,10,1
-0.7139024364063716,2.568353923827029,1,6,10,1
1.1725073741282865,2.8311589058439797,1,7,10,1
-0.6289868061762925,2.5560894497752806,1,8,10,1
-0.9355436438083318,2.1014801782274195,1,9,10,1
1.9354579326696437,2.415461668106377,1,10,10,1
0.2658346666245521,2.820279768388509,1,11,10,1
-0.5189325212987635,1.584776064358821,1,12,10,1
-0.05511973021360739,1.9885919242583916,1,14,10,1
2.009528863697854,2.5014932683398143,1,15,10,1
1.249981623389603,1.891592453990021,1,16,10,1
-0.2984726274925372,1.8556771423320382,1,17,10,1
-0.23570161937188416,1.5537756818895831,1,18,10,1
0.6304015019579383,1.8775473303924088,2,1,10,1
-0.049770840560976026,2.0174259634398712,2,2,10,1
0.28897091534308395,1.6198699953534546,2,3,10,1
1.3155591312662978,1.9373471734630292,2,4,10,1
0.6581913105007633,2.0454060676239885,2,5,10,1
-0.5630298986053113,1.607234474780113,2,6,10,1
0.16378628593039313,1.7280089120852802,2,7,10,1
0.21691280143573266,1.848024266763956,2,8,10,1
-0.13998686504177726,0.7272302231615052,2,9,10,1
-1.5164498399226685,1.538870506597487,2,10,10,1
-0.3020770024759809,1.8081889790315493,2,11,10,1
0.349078283362398,1.5866824707888811,2,12,10,1
0.22435564585260703,1.1299618680307373,2,14,10,1
-1.2278315931633204,1.4414333996362685,2,15,10,1
0.6798729082437092,1.3747906208154934,2,16,10,1
-0.2743260758696575,1.2665506639343704,2,17,10,1
0.6253992302963516,0.9140236986917935,2,18,10,1
0.07793792934903165,2.7307252552198107,3,1,10,1
-0.5425006182907126,3.4912662781907575,3,2,10,1
-0.8020417328269629,2.4316856652206718,3,3,10,1
-0.3199556947492974,2.0388840444256964,3,4,10,1
0.5028513068853508,4.272605897244089,3,5,10,1
-0.8698296433190671,2.7079525898790067,3,6,10,1
0.17011563360106274,2.885262665831035,3,7,10,1
1.913971313809208,3.3188293467602428,3,8,10,1
0.2575140341240325,1.5054036668620867,3,9,10,1
0.7652550054990792,2.402143177218412,3,10,10,1
1.412141808986268,4.464262063487486,3,11,10,1
-0.2814662295999222,2.064270574674819,3,12,10,1
0.7736533698335792,2.534599482925368,3,14,10,1
