variable,PIP,df,race,trial,case
LBXHXCLA,0.08928,1,2,100,1
LBX118LA,0.20864,1,2,100,1
LBXD03LA,0.09344,1,2,100,1
LBXD05LA,0.05888,1,2,100,1
LBXD07LA,0.08544,1,2,100,1
LBXF03LA,0.06368,1,2,100,1
LBXF04LA,0.07776,1,2,100,1
LBXF05LA,0.07792,1,2,100,1
LBXF08LA,0.056,1,2,100,1
LBX074LA,0.2112,3,3,100,1
LBX099LA,0.8,3,3,100,1
LBX138LA,0.24208,3,3,100,1
LBX153LA,0.12288,3,3,100,1
LBX170LA,0.19744,3,3,100,1
LBX180LA,0.17904,3,3,100,1
LBX187LA,0.55328,3,3,100,1
LBX194LA,0.9712,3,3,100,1
LBXPCBLA,0.09936,3,3,100,1
LBXHXCLA,0.0776,3,3,100,1
LBX118LA,0.20768,3,3,100,1
LBXD03LA,0.07344,3,3,100,1
LBXD05LA,0.39536,3,3,100,1
LBXD07LA,0.14064,3,3,100,1
LBXF03LA,0.49232,3,3,100,1
LBXF04LA,0.85296,3,3,100,1
LBXF05LA,0.59696,3,3,100,1
LBXF08LA,0.10512,3,3,100,1
LBX074LA,0.18448,4,1,11,1
LBX099LA,0.04144,4,1,11,1
LBX138LA,0.04016,4,1,11,1
LBX153LA,0.06816,4,1,11,1
LBX170LA,0.052,4,1,11,1
LBX180LA,0.05072,4,1,11,1
LBX187LA,0.05008,4,1,11,1
LBX194LA,0.31376,4,1,11,1
LBXPCBLA,0.10768,4,1,11,1
LBXHXCLA,0.31024,4,1,11,1
LBX118LA,0.63968,4,1,11,1
LBXD03LA,0.65552,4,1,11,1
LBXD05LA,0.0464,4,1,11,1
LBXD07LA,0.1376,4,1,11,1
LBXF03LA,0.02112,4,1,11,1
LBXF04LA,0.40256,4,1,11,1
LBXF05LA,0.14496,4,1,11,1
LBXF08LA,0.03344,4,1,11,1
LBX074LA,0.22336,2,2,11,1
LBX099LA,0.09648,2,2,11,1
LBX138LA,0.11744,2,2,11,1
LBX153LA,0.18384,2,2,11,1
LBX170LA,0.16224,2,2,11,1
LBX180LA,0.11616,2,2,11,1
LBX187LA,0.2736,2,2,11,1
LBX194LA,0.75824,2,2,11,1
LBXPCBLA,0.11904000000000001,2,2,11,1
LBXHXCLA,0.14736,2,2,11,1
LBX118LA,0.17392,2,2,11,1
LBXD03LA,0.1088,2,2,11,1
LBXD05LA,0.87616,2,2,11,1
LBXD07LA,0.07968,2,2,11,1
LBXF03LA,0.12784,2,2,11,1
LBXF04LA,0.97632,2,2,11,1
LBXF05LA,0.08784,2,2,11,1
LBXF08LA,0.03664,2,2,11,1
LBX074LA,0.09984,1,3,11,1
LBX099LA,0.10016,1,3,11,1
LBX138LA,0.16896,1,3,11,1
LBX153LA,0.1832,1,3,11,1
