z1,est,se,race,trial,case
-2.6134739015402566,-1.5998272238314881,3.7298674861049324,1,1,1
-2.513666388586272,-1.5376741701179455,3.621054832253343,1,1,1
-2.4138588756322865,-1.4746515150427904,3.512615059615025,1,1,1
-2.3140513626783017,-1.4108131394606271,3.4046586221876423,1,1,1
-2.2142438497243164,-1.3462139168023688,3.297307586291557,1,1,1
-2.1144363367703316,-1.2809096349961826,3.190697431873602,1,1,1
-2.014628823816347,-1.2149569166737604,3.0849791383804583,1,1,1
-1.9148213108623615,-1.1484131378206284,2.9803215925475812,1,1,1
-1.8150137979083765,-1.0813363450331783,2.876914354871496,1,1,1
-1.7152062849543914,-1.013785171548772,2.7749708169375955,1,1,1
-1.6153987720004064,-0.9458187522181678,2.6747317705699927,1,1,1
-1.5155912590464213,-0.8774966375923439,2.576469388165193,1,1,1
-1.4157837460924365,-0.8088787072972596,2.480491576256055,1,1,1
-1.3159762331384515,-0.7400250828733554,2.387146604176203,1,1,1
-1.2161687201844664,-0.6709960402558257,2.2968278177662884,1,1,1
-1.1163612072304814,-0.6018519220737728,2.209978114427073,1,1,1
-1.0165536942764963,-0.5326530499472635,2.127093671812145,1,1,1
-0.9167461813225113,-0.46345963695886633,2.048726185397302,1,1,1
-0.8169386683685262,-0.3943317004787294,1.975482592097817,1,1,1
-0.7171311554145412,-0.3253289755181639,1.908020977604857,1,1,1
-0.6173236424605562,-0.2565108287879096,1.8470411666894069,1,1,1
-0.5175161295065713,-0.18793617363296183,1.7932685141042477,1,1,1
-0.41770861655258607,-0.11966338601515747,1.7474298276863254,1,1,1
-0.31790110359860124,-0.051750221711072575,1.7102213342508072,1,1,1
-0.21809359064461642,0.01574626511079158,1.6822701947552412,1,1,1
-0.11828607769063115,0.08276980177221765,1.66409308142066,1,1,1
-0.01847856473664633,0.14926497527071633,1.6560571951810301,1,1,1
0.08132894821733894,0.215177308616196,1.6583500308805064,1,1,1
0.18113646117132376,0.280453335171192,1.6709634974874674,1,1,1
0.280943974125309,0.3450406708535044,1.6936955426367832,1,1,1
0.38075148707929385,0.4088880840638529,1.7261688899427128,1,1,1
0.4805590000332791,0.47194556320922904,1.7678631034077494,1,1,1
0.5803665129872639,0.5341643816971047,1.8181540957942437,1,1,1
0.6801740259412488,0.595497160282795,1.8763548907952565,1,1,1
0.779981538895234,0.6558979266597702,1.941752642286097,1,1,1
0.8797890518492189,0.7153221721885223,2.013638855679597,1,1,1
0.9795965648032041,0.7737269056676301,2.09133168921907,1,1,1
1.079404077757189,0.8310707040582619,2.174190667183063,1,1,1
1.1792115907111742,0.8873137600805701,2.2616249759755354,1,1,1
1.279019103665159,0.9424179266086785,2.3530968263431475,1,1,1
1.3788266166191443,0.9963467577982468,2.4481213267564184,1,1,1
1.4786341295731287,1.0490655468899863,2.5462640937660113,1,1,1
1.578441642527114,1.1005413606392958,2.647137547048734,1,1,1
1.6782491554810992,1.150743070330851,2.7503965708259135,1,1,1
1.7780566684350845,1.1996413793461829,2.8557340013989396,1,1,1
1.8778641813890689,1.2472088472589171,2.962876230646147,1,1,1
1.9776716943430541,1.2934199104421553,3.0715790931875695,1,1,1
2.0774792072970394,1.3382508991795792,3.1816241215718732,1,1,1
2.1772867202510238,1.381680051281159,3.292815199683256,1,1,1
2.2770942332050086,1.4236875222111876,3.404975611247003,1,1,1
-2.0795935577457674,-2.917331799760626,2.6226193791553367,2,1,1
-1.9696183726143897,-2.8104382742185425,2.497994100773584,2,1,1
-1.8596431874830122,-2.701320374710016,2.3756325547056267,2,1,1
-1.7496680023516344,-2.5900607870030434,2.2556714011502224,2,1,1
-1.639692817220257,-2.47674814815006,2.13826598492829,2,1,1
-1.5297176320888792,-2.3614769595962137,2.0235966884897967,2,1,1
-1.4197424469575015,-2.24434748244408,1.9118769618166274,2,1,1
-1.3097672618261238,-2.125465614929159,1.8033634142282227,2,1,1
-1.1997920766947463,-2.004942752226829,1.698368385066811,2,1,1
-1.0898168915633688,-1.8828956287757777,1.597275377712275,2,1,1
-0.9798417064319911,-1.7594461433728115,1.5005575645338085,2,1,1
-0.8698665213006134,-1.6347211673537378,1.4087991067262249,2,1,1
-0.7598913361692357,-1.5088523362485389,1.3227180512920589,2,1,1
-0.6499161510378582,-1.3819758253542558,1.2431877448287676,2,1,1
-0.5399409659064804,-1.254232109742174,1.171250719219482,2,1,1
-0.42996578077510295,-1.125765709270084,1.1081148735151614,2,1,1
-0.31999059564372523,-0.9967249192350929,1.0551176022332922,2,1,1
-0.2100154105123475,-0.8672615273601778,1.013642542175822,2,1,1
-0.10004022538097002,-0.7375305178637026,0.9849813747630168,2,1,1
0.00993495975040748,-0.6076897634129237,0.9701541505652035,2,1,1
0.1199101448817852,-0.4778997058185226,0.9697313068190608,2,1,1
0.22988533001316291,-0.34832302636806034,0.9837195826233227,2,1,1
0.33986051514454063,-0.2191243067476094,1.0115597738562474,2,1,1
0.44983570027591835,-0.09046968153661261,1.0522373752026588,2,1,1
0.5598108854072961,0.03747351669808108,1.1044594839374022,2,1,1
0.6697860705386733,0.1645371186503688,1.1668355526520415,2,1,1
0.7797612556700511,0.29055248477849727,1.2380176887123397,2,1,1
0.8897364408014288,0.4153508759500859,1.3167859674341191,2,1,1
0.9997116259328065,0.5387638270946935,1.402085792955002,2,1,1
1.1096868110641842,0.6606235227131254,1.4930325706545924,2,1,1
1.2196619961955615,0.78076317308133,1.5888981942922076,2,1,1
1.3296371813269392,0.8990173899768745,1.6890897119531476,2,1,1
1.439612366458317,1.015222560757775,1.793126361764884,2,1,1
1.5495875515896946,1.1292172196209282,1.9006181292674285,2,1,1
1.6595627367210724,1.2408424148747752,2.0112471132545746,2,1,1
1.7695379218524496,1.3499420710761552,2.124751978342752,2,1,1
1.8795131069838273,1.4563633448899385,2.2409152939468973,2,1,1
1.989488292115205,1.5599569735573384,2.359553375115784,2,1,1
2.0994634772465823,1.6605776148788705,2.480508205028273,2,1,1
2.2094386623779605,1.7580841776499803,2.603641050013011,2,1,1
2.3194138475093378,1.8523401415180238,2.7288274330968982,2,1,1
2.429389032640716,1.9432138652701019,2.8559531907455145,2,1,1
2.539364217772093,2.030578882598773,2.984911390927538,2,1,1
2.6493394029034705,2.1143141844400892,3.115599935901305,2,1,1
2.7593145880348486,2.19430448702803,3.247919710037796,2,1,1
2.869289773166226,2.2704404848561257,3.381773162433723,2,1,1
2.979264958297604,2.3426190877983313,3.5170632372288795,2,1,1
3.0892401434289813,2.410743641693487,3.653692582700948,2,1,1
3.1992153285603595,2.4747241317627697,3.7915629843599286,2,1,1
3.309190513691737,2.534477368284123,3.9305749783357937,2,1,1
-3.5991616267404316,-0.14289696320458667,4.825740548322002,3,1,1
-3.479140326340601,-0.05112805267796272,4.6586979167103735,3,1,1
-3.3591190259407706,0.035689766541728396,4.493656208246683,3,1,1
-3.23909772554094,0.11737957950446276,4.330719900746866,3,1,1
-3.1190764251411096,0.19377824309904934,4.169985400100893,3,1,1
-2.999055124741279,0.2647369997422375,4.011541436300004,3,1,1
-2.879033824341448,0.33012203417817343,3.8554697491397163,3,1,1
-2.759012523941618,0.3898149704097378,3.701846123845491,3,1,1
-2.6389912235417876,0.44371330608903037,3.5507418492639187,3,1,1
-2.518969923141957,0.49173078201439857,3.4022256867644574,3,1,1
-2.398948622742126,0.5337976847196471,3.2563664574770894,3,1,1
-2.278927322342296,0.5698610804932116,3.113236379949214,3,1,1
-2.158906021942465,0.5998849795268768,2.9729153209190704,3,1,1
-2.038884721542635,0.6238504292688987,2.835496159732936,3,1,1
-1.9188634211428042,0.6417555364342009,2.701091512668485,3,1,1
-1.7988421207429737,0.6536154175093314,2.5698421164900798,3,1,1
-1.6788208203431432,0.6594620779777403,2.4419272275542947,3,1,1
-1.5587995199433125,0.6593442208746509,2.317577444556806,3,1,1
-1.4387782195434822,0.6533269856655872,2.1970903892041513,3,1,1
-1.3187569191436515,0.6414916188203703,2.0808496392400846,3,1,1
-1.1987356187438212,0.6239350778219839,1.9693471271479683,3,1,1
-1.0787143183439905,0.6007695707117824,1.8632087659158296,3,1,1
-0.9586930179441602,0.5721220336155319,1.7632221357935691,3,1,1
-0.8386717175443295,0.538133549028684,1.6703633824619988,3,1,1
-0.7186504171444987,0.49895870795248154,1.58581775233396,3,1,1
-0.5986291167446685,0.45476491926534557,1.5109843814971424,3,1,1
-0.47860781634483773,0.40573166999112686,1.4474518083372516,3,1,1
-0.35858651594500746,0.3520497403720908,1.3969285458797014,3,1,1
-0.23856521554517673,0.29392037788402625,1.3611172844946207,3,1,1
-0.11854391514534646,0.23155443452919222,1.341536546679109,3,1,1
0.0014773852544842647,0.16517147191476322,1.339319444189604,3,1,1
0.12149868565431454,0.09499883877168624,1.3550438904847086,3,1,1
0.24151998605414526,0.02127072568285371,1.3886520142427106,3,1,1
0.361541286453976,-0.05577279812499114,1.4394874852282329,3,1,1
0.4815625868538067,-0.1358867610128245,1.5064324918325436,3,1,1
0.6015838872536365,-0.2188222732488052,1.5880919790791719,3,1,1
0.7216051876534673,-0.30432751447913553,1.6829698264469637,3,1,1
0.841626488053298,-0.39214871945413865,1.7896025364425519,3,1,1
0.9616477884531287,-0.482031157171404,1.9066413340239814,3,1,1
1.0816690888529585,-0.5737200986911883,2.032890254885091,3,1,1
1.2016903892527893,-0.6669617690015377,2.1673138068302866,3,1,1
1.32171168965262,-0.7615042784515786,2.309026967559084,3,1,1
1.4417329900524507,-0.8570985294501856,2.4572768653271018,3,1,1
1.5617542904522814,-0.9534990943159185,2.6114219860189114,3,1,1
1.6817755908521113,-1.050465060389059,2.770912097418158,3,1,1
1.801796891251942,-1.1477608387499476,2.935270366655263,3,1,1
1.9218181916517727,-1.2451569331503523,3.104078156090603,3,1,1
2.0418394920516034,-1.3424306660366203,3.276962467655703,3,1,1
2.161860792451434,-1.4393668588345414,3.453585772608796,3,1,1
2.281882092851264,-1.5357584639661153,3.6336378848774906,3,1,1
-3.373810808420114,-2.9404233415301197,5.53772430790145,1,10,1
-3.25583079574757,-2.8801685762005613,5.3476025053788465,1,10,1
-3.1378507830750255,-2.8143940307476525,5.158794831452761,1,10,1
-3.0198707704024814,-2.7431414971137436,4.971528147837942,1,10,1
-2.901890757729937,-2.666467030757545,4.786026522155541,1,10,1
-2.7839107450573928,-2.584440925641294,4.602512247306372,1,10,1
-2.6659307323848482,-2.4971476384025415,4.421207426598804,1,10,1
-2.547950719712304,-2.404685661953426,4.2423362461229726,1,10,1
-2.42997070703976,-2.307167348977737,4.066128078609296,1,10,1
-2.311990694367216,-2.2047186860174515,3.892821589337778,1,10,1
-2.1940106816946714,-2.0974790190540213,3.722670044212621,1,10,1
