est,sd,race,variable,trial,case
1.085244874965578,1.6109841838698975,1,1,1,1
-0.03507362972316752,1.3639565077006146,1,2,1,1
0.8526149921638142,1.476512438982199,1,3,1,1
-0.08718047437032528,1.2989530673249179,1,4,1,1
0.23021805121331607,1.7702189363051162,1,5,1,1
0.04777045544626546,1.3839955693658579,1,6,1,1
-0.6169650021814621,1.9545518344624626,1,7,1,1
1.5230508443446769,1.9572852066291904,1,8,1,1
1.7021782743341833,0.9940055967622586,1,9,1,1
0.16553842413831177,1.166491511755441,1,10,1,1
0.8516081815429182,1.809422123199006,1,11,1,1
-1.2938401320800503,1.1792134013303424,1,12,1,1
0.6640006993357979,1.114482917817896,1,14,1,1
-0.8333132958866334,1.1635436804698662,1,15,1,1
1.9116553558120621,1.5968901398003539,1,16,1,1
-0.3264556649060122,1.2693952638163255,1,17,1,1
-0.1601955734059155,0.713319290844825,1,18,1,1
0.5033472631766887,1.1935751034568276,2,1,1,1
0.24233661674039242,0.8389985801889973,2,2,1,1
8.321855849553472e-4,0.8987528503669634,2,3,1,1
0.6009067465874063,1.0796938036260533,2,4,1,1
-0.14487107473404226,1.124017955641179,2,5,1,1
0.5998467665983798,1.1868545918384046,2,6,1,1
0.7623270043937227,1.1706046989684629,2,7,1,1
1.4190157094712252,1.1693383409861378,2,8,1,1
0.23013879150310412,0.6190265161939004,2,9,1,1
0.02636230667145867,0.8548865578963794,2,10,1,1
0.11790038267879055,0.9510270121575634,2,11,1,1
-0.16160013075099444,0.6847744971278553,2,12,1,1
1.13949427008521,0.8373424202084085,2,14,1,1
-0.42286988779322643,0.7255351024629132,2,15,1,1
1.8616942070984306,0.8368809536311089,2,16,1,1
0.7290784821919543,0.7079095918823156,2,17,1,1
-0.20132542830186528,0.4202686990822626,2,18,1,1
0.19722274699843512,1.24639741780555,3,1,1,1
0.8070665376139594,1.232260143986786,3,2,1,1
0.8116627512892567,1.9196756569752207,3,3,1,1
1.5158510249193213,1.9039185430015795,3,4,1,1
-0.24989370951217227,1.6708103637945253,3,5,1,1
0.5053990611531689,1.6370702691849908,3,6,1,1
-0.3942596527321762,1.4367903858565318,3,7,1,1
0.4129064840284178,1.4073138128434495,3,8,1,1
-0.42055436303290206,1.2132787062641168,3,9,1,1
-0.282812588909402,1.280076885977722,3,10,1,1
0.4225864962403665,1.4220655100900943,3,11,1,1
0.7983953780543596,1.1758228978268443,3,12,1,1
0.5310343266614095,1.1002139486674152,3,14,1,1
1.333566971492954,1.255006358491781,3,15,1,1
0.16789703070179574,1.2441486120671967,3,16,1,1
