variable,est,sd,trial,case
LBXD05LA,-0.836967923497923,1.4974341102144269,101,2
LBX194LA,0.08847675820362966,1.5502443728661999,101,2
LBXD05LA,0.08152648580216049,0.8723383853263255,102,2
LBX194LA,0.007059438996196654,1.2827882446845462,102,2
LBXD05LA,1.1248661600071568,1.194466860550126,103,2
LBX194LA,2.1810330093420314,2.02492129810591,103,2
LBXD05LA,0.3883428676596443,1.400416872483075,104,2
LBX194LA,-0.09232224325829463,1.760227478248322,104,2
LBXD05LA,0.34947047881319104,0.9422274648273163,105,2
LBX194LA,0.8647964980932148,1.8123823403201083,105,2
LBXD05LA,0.6126360210150494,1.4195492788982493,106,2
LBX194LA,0.6262184087814466,1.602598540091591,106,2
LBXD05LA,-0.85049780541123,1.3540440934858347,107,2
LBX194LA,1.7397890160463376,2.7683014861639914,107,2
LBXD05LA,-0.2141564283675761,1.324237881957146,108,2
LBX194LA,0.893582793509121,1.6876859900656516,108,2
LBXD05LA,1.347284910501238,1.2322376887085458,109,2
LBX194LA,0.303520964721145,1.647265541252652,109,2
LBXD05LA,0.5144973791818463,0.9957683452254986,110,2
LBX194LA,1.402959767270806,1.9822520454975847,110,2
LBXD05LA,0.5757883204344729,0.7560552450806393,111,2
LBX194LA,0.33387178391900285,1.3586175777995242,111,2
LBXD05LA,-0.06773122862740699,1.0778121077701088,112,2
LBX194LA,0.2001004091338192,1.6182056026872724,112,2
LBXD05LA,0.6707243836977828,1.4173192227618374,113,2
LBX194LA,0.10521798535825777,1.6595557292373155,113,2
LBXD05LA,-0.07629928013019605,1.3710341777956654,114,2
LBX194LA,1.6677184574235357,3.1370141839068,114,2
LBXD05LA,0.6327230932040795,1.315275600927085,115,2
LBX194LA,0.40351218639154673,1.197715001366225,115,2
LBXD05LA,0.27724779923522647,1.2087817984528777,116,2
LBX194LA,-1.371224717953548,2.1146850164800006,116,2
LBXD05LA,0.02502767005049833,1.459782217056673,117,2
LBX194LA,-0.029219118893967,2.060231079286178,117,2
LBXD05LA,1.3379742633680656,1.8078588593565181,118,2
LBX194LA,1.3520639734270676,3.5258334029981,118,2
LBXD05LA,0.342112235561542,1.1600018938474677,119,2
LBX194LA,0.8660207342297452,2.0954206957088957,119,2
LBXD05LA,-0.47663746909856286,1.701618172461464,120,2
LBX194LA,1.1437962202138898,2.6568199146960696,120,2
LBXD05LA,0.20738706820356345,0.9929316081225693,121,2
LBX194LA,-0.13716839478579157,1.4761939388352994,121,2
LBXD05LA,-0.02545740471097524,0.8192300422941202,122,2
LBX194LA,-0.41833727146428945,1.654490893127581,122,2
LBXD05LA,0.05056272105708892,0.9891466999527773,123,2
LBX194LA,-0.013643051917727078,0.9638422007622266,123,2
LBXD05LA,-0.4064914980552894,1.2511336936013278,124,2
LBX194LA,0.8920821987106455,1.8418327884902654,124,2
LBXD05LA,0.6815202459206144,1.2888045815753655,125,2
LBX194LA,0.07432109282914451,1.3656189534152499,125,2
LBXD05LA,-0.3121719391082074,0.9435350361990147,126,2
LBX194LA,0.02670645877004585,1.1505546220181502,126,2
LBXD05LA,0.9292289048445319,1.1970689992483101,127,2
LBX194LA,2.0330319587209114,2.3454479378945527,127,2
LBXD05LA,0.49266621871633065,0.8238626755083457,128,2
LBX194LA,-0.4103572125125021,1.1225428958183838,128,2
LBXD05LA,-1.6766823853532866,1.5474428059769882,129,2
LBX194LA,1.4170251538799468,2.1633368312036088,129,2
LBXD05LA,-0.06860599781848276,0.6149645332362156,130,2
LBX194LA,0.4273218101641154,0.9571970333626065,130,2
LBXD05LA,-0.5702542204500975,1.56821078577278,131,2
LBX194LA,0.1334925568971821,2.1866382662806907,131,2
LBXD05LA,-0.15921420989251622,0.6309708611625294,132,2
LBX194LA,0.33593743189194925,1.0238911177640138,132,2
LBXD05LA,-0.06888647635710399,1.2654265401033127,133,2
LBX194LA,0.2044642630179574,2.194373040729509,133,2
LBXD05LA,-0.2562793140366759,1.2358232531034288,134,2
LBX194LA,1.008373362300063,1.4583169304014767,134,2
LBXD05LA,0.3130285236301562,1.727084677238446,135,2
LBX194LA,-0.11956375429500987,1.201218573056624,135,2
LBXD05LA,-0.1630257907309529,1.6104188313880323,136,2
LBX194LA,-0.3639695465360564,1.6206081386990219,136,2
LBXD05LA,0.366010747794161,1.0398819872354794,137,2
LBX194LA,0.64838186230714,2.448118395543528,137,2
LBXD05LA,0.5364886933666302,1.1453890991448268,138,2
LBX194LA,0.7939822727265557,1.3080130717600011,138,2
LBXD05LA,0.8585358092916486,1.7083155093439113,139,2
LBX194LA,-0.36593357382362157,1.8312023335870253,139,2
LBXD05LA,-0.5427091223738687,1.272458093390579,140,2
LBX194LA,2.0183678963797087,2.281338670969937,140,2
LBXD05LA,0.4446947814355253,0.8482716070853078,141,2
LBX194LA,0.183994089162673,1.028116073033376,141,2
LBXD05LA,-0.7818469827516665,1.0367117711678255,142,2
LBX194LA,0.3907561903858294,1.9064734285010194,142,2
LBXD05LA,0.41146375182124917,1.0828397194655281,143,2
LBX194LA,1.2503067026206613,1.6678256821802742,143,2
LBXD05LA,2.143785341938738,2.0144885081977097,144,2
LBX194LA,0.0062538946158587905,1.1064718327243217,144,2
LBXD05LA,0.09880681771489552,1.2282641402466206,145,2
LBX194LA,0.15975243667850503,2.0416895562221007,145,2
LBXD05LA,0.28073135734982646,1.1186406150233184,146,2
LBX194LA,0.1654830064541244,1.5490855889300537,146,2
LBXD05LA,-0.016199190395658647,1.090336949015304,147,2
LBX194LA,-0.44298830547430335,2.1129988206848678,147,2
LBXD05LA,1.9242852867854339,1.9731599010147645,148,2
LBX194LA,0.45396415860301165,1.8135288517426822,148,2
LBXD05LA,0.782727027898984,1.7072132613901612,149,2
LBX194LA,1.8984512726152696,1.9554217795546402,149,2
LBXD05LA,-1.026248394502507,1.8669359874731752,150,2
LBX194LA,1.2504971374316107,1.9674893560506659,150,2
LBXD05LA,-0.13551831944152326,0.7402783619017561,151,2
LBX194LA,0.07632560279478717,1.0665873778336954,151,2
LBXD05LA,-0.6491534380116519,1.9112673261307347,152,2
LBX194LA,-0.019732920590362468,2.3398950246889574,152,2
LBXD05LA,0.5091837770067782,1.1702390251653296,153,2
LBX194LA,0.32886772616554705,1.2269138799942527,153,2
LBXD05LA,0.32148878042698303,0.9086978627308161,154,2
LBX194LA,1.5457190388770394,1.6122769223439393,154,2
LBXD05LA,0.90217767142481,1.0154959183207142,155,2
LBX194LA,-0.21372174996924365,1.5937098280086512,155,2
LBXD05LA,0.6915300741481865,1.6077038128122128,156,2
LBX194LA,-1.9097685196125163,2.4952303146848247,156,2
LBXD05LA,4.029796564818692,3.135941996739299,157,2
LBX194LA,0.536866257179919,1.8253777879560873,157,2
LBXD05LA,0.7833067596138115,1.244761689098485,158,2
LBX194LA,-0.25959037284080955,2.1647261274283895,158,2
LBXD05LA,0.9134694660138631,1.5067529194176252,159,2
LBX194LA,0.2908322373441754,1.1668509608698963,159,2
LBXD05LA,0.8021785787917448,1.72756587328761,160,2
LBX194LA,0.6860935679135469,2.0999318888681673,160,2
LBXD05LA,-0.029350815597070756,1.2748305907286133,161,2
LBX194LA,-0.5973422009113909,2.1871755312057517,161,2
LBXD05LA,0.330623766661982,0.9377614806777325,162,2
LBX194LA,0.0571975587970428,1.7022141342193104,162,2
LBXD05LA,0.05263990246204919,2.1558062736979147,163,2
LBX194LA,-0.5370236640971662,2.3285218893901685,163,2
LBXD05LA,0.7551997848952965,1.6872357984183268,164,2
LBX194LA,2.9620174678386793,2.890595230260111,164,2
LBXD05LA,0.06315151418409037,0.4919853332738902,165,2
LBX194LA,0.032103385798613715,0.5062709536081524,165,2
LBXD05LA,-0.2639535911662918,0.8504407063440299,166,2
LBX194LA,0.42112527903391506,1.7396096460110793,166,2
LBXD05LA,-0.15577606959892254,0.7563487073282088,167,2
LBX194LA,0.07383609428107185,1.874262589820852,167,2
LBXD05LA,0.24660125372241382,1.3697975104495297,168,2
LBX194LA,-0.03828936808532024,1.8798969221449648,168,2
LBXD05LA,0.14027882572115935,1.1133646988800903,169,2
LBX194LA,0.18605055940515847,2.190710427974313,169,2
LBXD05LA,0.8961151172990132,1.403107213943761,170,2
LBX194LA,0.3614565912459877,2.7640733949333027,170,2
LBXD05LA,1.6369024332495776,1.4865403193157896,171,2
LBX194LA,1.0668832223948188,2.7166599788189028,171,2
LBXD05LA,0.48089626067294144,1.1607149941792705,172,2
LBX194LA,0.056916467496603396,1.9274768496350925,172,2
LBXD05LA,0.8859244378084892,1.2464040659037643,173,2
LBX194LA,1.0041367542431674,2.2648434218934215,173,2
LBXD05LA,2.706631329087256,1.9018245130163853,174,2
LBX194LA,2.009412143025017,2.1837788679877925,174,2
LBXD05LA,1.1193232052296151,1.1630889388127181,175,2
LBX194LA,0.12663219955102623,1.8730383764463736,175,2
LBXD05LA,-0.08805214554831764,1.2876744762832995,176,2
LBX194LA,-0.13753005433631316,3.01945462785665,176,2
LBXD05LA,-0.5219598145457311,1.067212989494955,177,2
LBX194LA,0.4075372824251984,1.702810056644845,177,2
LBXD05LA,0.20091053631643518,0.8745239580087277,178,2
