variable,PIP,trial,case
LBX187LA,0.45924,17,1
LBX194LA,0.617,17,1
LBXPCBLA,0.51296,17,1
LBXHXCLA,0.5256,17,1
LBX118LA,0.63076,17,1
LBXD03LA,0.79188,17,1
LBXD05LA,0.6726,17,1
LBXD07LA,0.52076,17,1
LBXF03LA,0.45772,17,1
LBXF04LA,0.7724,17,1
LBXF05LA,0.49224,17,1
LBXF08LA,0.53476,17,1
LBX074LA,0.39052,18,1
LBX099LA,0.25304,18,1
LBX138LA,0.24928,18,1
LBX153LA,0.28552,18,1
LBX170LA,0.28756,18,1
LBX180LA,0.25648,18,1
LBX187LA,0.25096,18,1
LBX194LA,0.87968,18,1
LBXPCBLA,0.27316,18,1
LBXHXCLA,0.33316,18,1
LBX118LA,0.42704,18,1
LBXD03LA,0.30744,18,1
LBXD05LA,0.25852,18,1
LBXD07LA,0.26188,18,1
LBXF03LA,0.22472,18,1
LBXF04LA,0.31324,18,1
LBXF05LA,0.23096,18,1
LBXF08LA,0.54084,18,1
LBX074LA,0.25484,19,1
LBX099LA,0.27032,19,1
LBX138LA,0.19508,19,1
LBX153LA,0.22896,19,1
LBX170LA,0.24632,19,1
LBX180LA,0.21572,19,1
LBX187LA,0.43704,19,1
LBX194LA,0.51256,19,1
LBXPCBLA,0.96536,19,1
LBXHXCLA,0.2632,19,1
LBX118LA,0.23936,19,1
LBXD03LA,0.24652,19,1
LBXD05LA,0.18568,19,1
LBXD07LA,0.14728,19,1
LBXF03LA,0.45548,19,1
LBXF04LA,0.27024,19,1
LBXF05LA,0.1962,19,1
LBXF08LA,0.2236,19,1
LBX074LA,0.36092,2,1
LBX099LA,0.36716,2,1
LBX138LA,0.38812,2,1
LBX153LA,0.46784,2,1
LBX170LA,0.61512,2,1
LBX180LA,0.63792,2,1
LBX187LA,0.49476,2,1
LBX194LA,0.50628,2,1
LBXPCBLA,0.89668,2,1
LBXHXCLA,0.39288,2,1
LBX118LA,0.40812,2,1
LBXD03LA,0.4304,2,1
LBXD05LA,0.44684,2,1
LBXD07LA,0.34388,2,1
LBXF03LA,0.37108,2,1
LBXF04LA,0.58384,2,1
LBXF05LA,0.65328,2,1
LBXF08LA,0.58836,2,1
LBX074LA,0.85188,20,1
LBX099LA,0.29144,20,1
LBX138LA,0.30604,20,1
LBX153LA,0.30048,20,1
LBX170LA,0.49732,20,1
LBX180LA,0.3614,20,1
LBX187LA,0.32768,20,1
LBX194LA,0.38052,20,1
LBXPCBLA,0.24324,20,1
LBXHXCLA,0.49764,20,1
LBX118LA,0.40172,20,1
LBXD03LA,0.3034,20,1
LBXD05LA,0.3174,20,1
LBXD07LA,0.1572,20,1
LBXF03LA,0.27616,20,1
LBXF04LA,0.72812,20,1
LBXF05LA,0.6826,20,1
LBXF08LA,0.19904,20,1
LBX074LA,0.52788,21,1
LBX099LA,0.2636,21,1
