z1,z2,est,sd,trial,case
LBXD05LA,LBX194LA,0.1497520798962393,0.6182653841437895,101,2
LBXD05LA,LBX194LA,5.337454091933758e-4,0.2067458571610794,102,2
LBXD05LA,LBX194LA,0.25354365685502334,0.5840680238545348,103,2
LBXD05LA,LBX194LA,-0.0681071150747603,0.42952519660561084,104,2
LBXD05LA,LBX194LA,0.1400766838661438,0.37277537282374534,105,2
LBXD05LA,LBX194LA,0.028518761457031694,0.43036001156496906,106,2
LBXD05LA,LBX194LA,-0.06143644807002957,0.5751408600752576,107,2
LBXD05LA,LBX194LA,0.0803424856764039,0.4250920390939719,108,2
LBXD05LA,LBX194LA,0.06559779945959376,0.4131981386882443,109,2
LBXD05LA,LBX194LA,0.08267333553037615,0.4048263226998749,110,2
LBXD05LA,LBX194LA,0.020612791282387022,0.21744529201426607,111,2
LBXD05LA,LBX194LA,0.05842833935104963,0.5559234494747552,112,2
LBXD05LA,LBX194LA,0.018459181395156232,0.5824666228026554,113,2
LBXD05LA,LBX194LA,-0.12337681909586085,0.9024039464119809,114,2
LBXD05LA,LBX194LA,0.10907536200595436,0.33863030554230383,115,2
LBXD05LA,LBX194LA,-0.04656000198407284,0.6022214475816542,116,2
LBXD05LA,LBX194LA,0.07563323839320724,0.5834462906502034,117,2
LBXD05LA,LBX194LA,0.33485624340190423,0.873086407164809,118,2
LBXD05LA,LBX194LA,0.07489638685741173,0.45704508515443265,119,2
LBXD05LA,LBX194LA,0.3708931798668491,1.043667934405055,120,2
LBXD05LA,LBX194LA,0.040873619546886175,0.3028922522895418,121,2
LBXD05LA,LBX194LA,-0.077585188251863,0.4897536139275214,122,2
LBXD05LA,LBX194LA,0.004017080613746948,0.22236699358214035,123,2
LBXD05LA,LBX194LA,0.12697872740803717,0.4622267982623682,124,2
LBXD05LA,LBX194LA,0.019967599767804045,0.3463630062605519,125,2
LBXD05LA,LBX194LA,0.027155922013330613,0.25357682120470804,126,2
LBXD05LA,LBX194LA,0.4680812791187696,0.6591651690391166,127,2
LBXD05LA,LBX194LA,0.03080802724705256,0.21038063506850888,128,2
LBXD05LA,LBX194LA,-0.048732218470339816,0.48025750661748556,129,2
LBXD05LA,LBX194LA,0.023086728227665887,0.19564385620314168,130,2
LBXD05LA,LBX194LA,0.04640979964713754,0.8378276475656721,131,2
LBXD05LA,LBX194LA,-0.018246883357238453,0.25552950226808036,132,2
LBXD05LA,LBX194LA,0.1534302646201322,0.5117571887199053,133,2
LBXD05LA,LBX194LA,0.2702394327911227,0.5184252471462122,134,2
LBXD05LA,LBX194LA,0.0626527137571733,0.5627047643194412,135,2
LBXD05LA,LBX194LA,-0.19466773763454626,0.913952638889577,136,2
LBXD05LA,LBX194LA,0.0340361198418897,0.5977429244533711,137,2
LBXD05LA,LBX194LA,0.1031899700131147,0.39107656366055155,138,2
LBXD05LA,LBX194LA,0.028976955447598485,0.6289262280161964,139,2
LBXD05LA,LBX194LA,0.056985477075159,0.6485543906812133,140,2
LBXD05LA,LBX194LA,0.007927869815437916,0.1823062630844344,141,2
LBXD05LA,LBX194LA,-0.10803582146282142,0.6451589762203023,142,2
LBXD05LA,LBX194LA,0.23002589120772843,0.48017397135367484,143,2
LBXD05LA,LBX194LA,-0.18439905732266215,0.7338304748912405,144,2
LBXD05LA,LBX194LA,-0.0026187990304853415,0.47951821923698323,145,2
LBXD05LA,LBX194LA,0.05187589629600842,0.33474299028283816,146,2
LBXD05LA,LBX194LA,0.06350163761929739,0.3891947512651761,147,2
LBXD05LA,LBX194LA,0.3627353869622576,0.9894199410287534,148,2
LBXD05LA,LBX194LA,0.4218020397025368,0.6697532654056589,149,2
LBXD05LA,LBX194LA,0.2890241671342815,0.6414314129334155,150,2
LBXD05LA,LBX194LA,-0.03659630876078701,0.22507138377406516,151,2
LBXD05LA,LBX194LA,0.0575963335419174,0.5414283496210834,152,2
LBXD05LA,LBX194LA,-0.02456021733833813,0.43971128442169854,153,2
LBXD05LA,LBX194LA,0.1321286401511479,0.39574304826981455,154,2
LBXD05LA,LBX194LA,0.16028235366242982,0.3477107397026389,155,2
LBXD05LA,LBX194LA,0.22163292668431112,0.9884327991083106,156,2
LBXD05LA,LBX194LA,0.4427473182738684,1.4566007548382216,157,2
LBXD05LA,LBX194LA,0.21365509781700132,0.7189792266615751,158,2
LBXD05LA,LBX194LA,0.06465208022487179,0.3867871509841843,159,2
LBXD05LA,LBX194LA,0.06188224572111656,0.6669681281688985,160,2
LBXD05LA,LBX194LA,0.06916743213849141,0.489695379765025,161,2
LBXD05LA,LBX194LA,0.01589074596576623,0.2761384759767681,162,2
LBXD05LA,LBX194LA,0.15839615880971625,0.8222663511553301,163,2
LBXD05LA,LBX194LA,0.357247902035116,1.0488721763606421,164,2
LBXD05LA,LBX194LA,5.796673855762435e-4,0.08687121226625635,165,2
LBXD05LA,LBX194LA,-0.01993596539562592,0.38559014493705657,166,2
LBXD05LA,LBX194LA,0.027149090593841407,0.4249944751512512,167,2
LBXD05LA,LBX194LA,0.1632788183797782,0.5125715658668981,168,2
LBXD05LA,LBX194LA,-0.005693978999616434,0.4640741450969079,169,2
LBXD05LA,LBX194LA,0.17326177658088326,0.7046510370019705,170,2
LBXD05LA,LBX194LA,0.23149134692923656,0.7446287075208993,171,2
LBXD05LA,LBX194LA,0.04561188490807755,0.5645990437700016,172,2
LBXD05LA,LBX194LA,0.24662347602880885,0.638710177418267,173,2
LBXD05LA,LBX194LA,0.9242193491898627,0.9421023563327882,174,2
LBXD05LA,LBX194LA,0.09243288666228278,0.4425200116905226,175,2
LBXD05LA,LBX194LA,0.09151985607077551,0.7031824463182877,176,2
LBXD05LA,LBX194LA,-0.07080716837126655,0.5556324024622734,177,2
LBXD05LA,LBX194LA,0.044628043720943644,0.3781997088791749,178,2
LBXD05LA,LBX194LA,0.12546289029765134,0.6062058016477956,179,2
LBXD05LA,LBX194LA,-0.027944888202171114,0.24966766631802956,180,2
LBXD05LA,LBX194LA,0.5255950939136094,1.200481274430678,181,2
LBXD05LA,LBX194LA,0.06018782781015486,0.2766566440488931,182,2
LBXD05LA,LBX194LA,0.0825231778057578,0.39349838258495706,183,2
LBXD05LA,LBX194LA,0.10840309978039642,0.4641758666993954,184,2
LBXD05LA,LBX194LA,0.002168444948792647,0.8937165476722753,185,2
LBXD05LA,LBX194LA,-0.05256920589151903,0.478064256829962,186,2
LBXD05LA,LBX194LA,-0.043864277677583274,0.8975810847908432,187,2
LBXD05LA,LBX194LA,1.0977234166012986,1.0867445350390497,188,2
LBXD05LA,LBX194LA,0.024918797775409507,0.5802084393804608,189,2
LBXD05LA,LBX194LA,-0.0052439548217151355,0.28048381522514465,190,2
LBXD05LA,LBX194LA,-0.22916415817838054,0.9776179126792902,191,2
LBXD05LA,LBX194LA,-0.18929413799623784,0.7541445205917713,192,2
LBXD05LA,LBX194LA,0.2616594024060577,0.530875280550182,193,2
LBXD05LA,LBX194LA,-0.5325529587148248,1.7640477893657853,194,2
LBXD05LA,LBX194LA,0.12485900007688056,0.5470073428515866,195,2
LBXD05LA,LBX194LA,0.2968155164777677,0.8769756308504785,196,2
LBXD05LA,LBX194LA,0.09481602382710541,0.4007060298024585,197,2
LBXD05LA,LBX194LA,-0.0355480723152648,0.47669686083076357,198,2
LBXD05LA,LBX194LA,0.386128034825191,0.7740843422757985,199,2
LBXD05LA,LBX194LA,0.11978569044665832,0.5206785508320293,200,2
LBXD05LA,LBX194LA,0.28234169096289996,0.6126379114646253,201,3
LBXD05LA,LBX194LA,0.32703162879374315,1.066074163823345,202,3
LBXD05LA,LBX194LA,0.49017131759027865,0.6245240735865979,203,3
LBXD05LA,LBX194LA,0.3397610693643438,0.7231437154344056,204,3
LBXD05LA,LBX194LA,0.3859207702599319,0.6344573716700532,205,3
LBXD05LA,LBX194LA,0.03247772033491669,0.29489254598973086,206,3
LBXD05LA,LBX194LA,0.2097643332523349,0.5868961258523104,207,3
LBXD05LA,LBX194LA,0.4165926111532734,0.8010435024840453,208,3
LBXD05LA,LBX194LA,0.0359815755573214,0.1949190550142229,209,3
LBXD05LA,LBX194LA,0.31667295453917177,0.7733986892482397,210,3
LBXD05LA,LBX194LA,0.13444692544866665,0.4836029026524957,211,3
LBXD05LA,LBX194LA,0.2939629404883881,0.672934012344048,212,3
LBXD05LA,LBX194LA,0.7211009757559994,2.0803128822238106,213,3
LBXD05LA,LBX194LA,0.18544751818484695,0.40145836096600734,214,3
LBXD05LA,LBX194LA,0.15532859568225987,0.35920871978593755,215,3
LBXD05LA,LBX194LA,0.03604217124788933,0.22566841991201314,216,3
LBXD05LA,LBX194LA,0.03799139601132673,0.5405226450303002,217,3
LBXD05LA,LBX194LA,0.5074815055051571,0.7293509318920178,218,3
LBXD05LA,LBX194LA,0.1294041370092125,0.34142308350238126,219,3
LBXD05LA,LBX194LA,0.33077367723267326,0.6871327349534757,220,3
LBXD05LA,LBX194LA,0.34063924987955563,0.5164103970781283,221,3
LBXD05LA,LBX194LA,0.2559806091919856,0.7893332856211478,222,3
LBXD05LA,LBX194LA,0.5212568115626244,0.8627600305792348,223,3
LBXD05LA,LBX194LA,0.1653613448422746,0.510204372458104,224,3
LBXD05LA,LBX194LA,0.32716469053996367,0.5773918450490948,225,3
LBXD05LA,LBX194LA,0.12945452570618077,0.6355773519231476,226,3
LBXD05LA,LBX194LA,0.7066676904046263,1.195706593592051,227,3
LBXD05LA,LBX194LA,0.03570945233706002,0.4944794405621672,228,3
LBXD05LA,LBX194LA,0.06218614924506216,0.268819486135629,229,3
LBXD05LA,LBX194LA,0.0347177708854014,0.5047300365476367,230,3
LBXD05LA,LBX194LA,0.5812540807918336,0.7362988643433791,231,3
LBXD05LA,LBX194LA,0.9238475233750947,1.0516679685416481,232,3
LBXD05LA,LBX194LA,0.34294313556098155,0.664779438667834,233,3
LBXD05LA,LBX194LA,0.23751274520619692,0.6841222481991422,234,3
LBXD05LA,LBX194LA,0.13154128740024085,0.48888854838909707,235,3
LBXD05LA,LBX194LA,0.9804177264385929,1.081474949867314,236,3
