variable,fixedat1,fixedat2,est,sd,trial,case
Tl,Hg,Ni,-0.2539123740768212,0.4180239452698568,1330,14
Hg,Ni,Tl,-0.42856797539776004,0.46757243507050333,1331,14
Ni,Tl,Hg,-0.33252675280704214,0.4762296805659575,1331,14
Tl,Hg,Ni,-0.0817825894856119,0.46085991575342994,1331,14
Hg,Ni,Tl,-0.07448856732250331,0.4354949374283731,1332,14
Ni,Tl,Hg,0.03236676192761134,0.3807419971948793,1332,14
Tl,Hg,Ni,-0.08624401687454775,0.36159862768256296,1332,14
Hg,Ni,Tl,-0.018943332268653634,0.42345473041517345,1333,14
Ni,Tl,Hg,7.361900060249837e-4,0.38456785873248567,1333,14
Tl,Hg,Ni,0.2220367178384519,0.4021203225534718,1333,14
Hg,Ni,Tl,0.27351588772132374,0.6303972095087376,1334,14
Ni,Tl,Hg,0.43989583044577607,0.6498503709661521,1334,14
Tl,Hg,Ni,-0.2071223843842125,0.7296823797325596,1334,14
Hg,Ni,Tl,-0.3287534370527869,0.5229383823975489,1335,14
Ni,Tl,Hg,0.0441867859398859,0.5070149763968376,1335,14
Tl,Hg,Ni,-0.2906272050869394,0.5062506201556244,1335,14
Hg,Ni,Tl,-0.6211910745039722,0.5338033509811854,1336,14
Ni,Tl,Hg,-0.5902390692972082,0.4809341716616134,1336,14
Tl,Hg,Ni,-0.0900479980366733,0.3969895924349509,1336,14
Hg,Ni,Tl,0.17870150658292183,0.5974425108590332,1337,14
Ni,Tl,Hg,-0.806460042115897,0.766001894527229,1337,14
Tl,Hg,Ni,-0.9507828928202939,0.8045014882488395,1337,14
Hg,Ni,Tl,0.28302963363544276,0.6050547035445736,1338,14
Ni,Tl,Hg,0.004339196068959161,0.5899678010975452,1338,14
Tl,Hg,Ni,-0.233600969393156,0.5603732640681706,1338,14
Hg,Ni,Tl,-0.04089772983525908,0.454953648878221,1339,14
Ni,Tl,Hg,0.026467074485349684,0.47262296463090414,1339,14
Tl,Hg,Ni,0.03501196280807495,0.43786155598224663,1339,14
Hg,Ni,Tl,-0.39053786955093284,0.48844366906933795,1340,14
Ni,Tl,Hg,0.051181530770166184,0.45632550679969414,1340,14
Tl,Hg,Ni,-0.07756823223538933,0.4399949985110965,1340,14
Hg,Ni,Tl,0.037873453044396044,0.3919564452309626,1341,14
Ni,Tl,Hg,0.01320986250134304,0.45996949371026047,1341,14
Tl,Hg,Ni,-0.08906950858383134,0.42593736773594476,1341,14
Hg,Ni,Tl,-0.5407027844474754,1.3308494995172966,1342,14
Ni,Tl,Hg,0.17909360664073137,2.0413299885546063,1342,14
Tl,Hg,Ni,0.544986021055121,1.655887434292994,1342,14
Hg,Ni,Tl,0.20651090122278737,0.5751048166764088,1343,14
Ni,Tl,Hg,-0.06664871346129375,0.5503736731661315,1343,14
Tl,Hg,Ni,-0.36349349763388783,0.505522544318418,1343,14
Hg,Ni,Tl,-0.7599370384965427,0.798868466732611,1344,14
Ni,Tl,Hg,0.5170618314245043,0.9279528970166901,1344,14
Tl,Hg,Ni,0.593658187024066,0.8805458535490864,1344,14
Hg,Ni,Tl,0.024081543869666433,0.646600801718255,1345,14
Ni,Tl,Hg,0.046848225844816405,0.6569362416294818,1345,14
Tl,Hg,Ni,0.001909077142872917,0.3629330488744411,1345,14
Hg,Ni,Tl,-0.06330400229738586,0.8444586564580014,1346,14
Ni,Tl,Hg,-0.03663697871370797,0.7949994357316589,1346,14
Tl,Hg,Ni,0.08186700993614204,0.452542209623511,1346,14
Hg,Ni,Tl,-0.3719919746355713,0.717035927426421,1347,14
Ni,Tl,Hg,-0.13381256046448575,0.7668618857004317,1347,14
Tl,Hg,Ni,0.467016819837317,0.5937131543500206,1347,14
Hg,Ni,Tl,0.1537534747134277,0.5250655661366896,1348,14
Ni,Tl,Hg,0.1551321047431813,0.48706296821735723,1348,14
